session_date,ticker,entry_time,exit_time,entry_price,exit_price,exit_reason,pnl_percent
2026-06-10,004990,2026-06-10 09:31:38,2026-06-10 10:33:16,25700,25800,take_profit,0.3891
2026-06-10,000430,2026-06-10 10:33:21,2026-06-10 10:35:27,5720,5790,take_profit,1.2238
2026-06-10,005090,2026-06-10 09:31:42,2026-06-10 11:51:37,52800,51700,force_exit_last_trace,-2.0833
2026-06-10,028670,2026-06-10 09:33:28,2026-06-10 11:51:38,5110,5080,force_exit_last_trace,-0.5871
2026-06-10,161390,2026-06-10 10:39:07,2026-06-10 11:51:41,71500,70900,force_exit_last_trace,-0.8392
2026-06-11,120110,2026-06-11 09:32:14,2026-06-11 09:35:59,68400,68800,take_profit,0.5848
2026-06-11,000430,2026-06-11 09:35:59,2026-06-11 09:48:35,5440,5140,stop_loss,-5.5147
2026-06-11,005090,2026-06-11 09:49:07,2026-06-11 09:51:15,49600,50200,take_profit,1.2097
2026-06-11,016380,2026-06-11 09:51:15,2026-06-11 10:00:04,5550,5570,take_profit,0.3604
2026-06-11,085620,2026-06-11 09:32:12,2026-06-11 10:08:30,20750,20950,take_profit,0.9639
2026-06-11,005090,2026-06-11 10:08:31,2026-06-11 10:10:44,50400,50700,take_profit,0.5952
2026-06-11,092200,2026-06-11 10:00:05,2026-06-11 10:49:14,9310,9360,take_profit,0.5371
2026-06-11,000370,2026-06-11 10:49:15,2026-06-11 10:58:57,6040,6090,take_profit,0.8278
2026-06-11,181710,2026-06-11 10:58:57,2026-06-11 11:01:22,39300,39500,take_profit,0.5089
2026-06-11,005090,2026-06-11 10:11:14,2026-06-11 13:05:16,50700,51300,take_profit,1.1834
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 14:59:54,23350,23100,force_exit_last_trace,-1.0707
2026-06-11,181710,2026-06-11 11:01:50,2026-06-11 14:59:57,39450,39100,force_exit_last_trace,-0.8872
2026-06-12,001800,2026-06-12 09:33:17,2026-06-12 09:52:27,26650,26800,take_profit,0.5629
2026-06-12,081660,2026-06-12 09:33:14,2026-06-12 10:02:18,43200,43400,take_profit,0.463
2026-06-12,009970,2026-06-12 10:02:18,2026-06-12 11:49:34,190000,190500,take_profit,0.2632
2026-06-12,120110,2026-06-12 11:49:36,2026-06-12 13:30:23,76500,76800,take_profit,0.3922
2026-06-12,195870,2026-06-12 09:33:19,2026-06-12 06:00:48,82500,79100,force_exit_last_trace,-4.1212
2026-06-12,192080,2026-06-12 09:52:28,2026-06-12 06:00:51,72500,71400,force_exit_last_trace,-1.5172
2026-06-15,103590,2026-06-15 09:34:24,2026-06-15 09:37:56,87900,88500,take_profit,0.6826
2026-06-15,001120,2026-06-15 09:34:38,2026-06-15 09:48:42,40000,40200,take_profit,0.5
2026-06-15,005090,2026-06-15 09:34:44,2026-06-15 11:08:31,55800,53000,stop_loss,-5.0179
2026-06-15,120110,2026-06-15 09:42:34,2026-06-15 14:26:44,75100,72600,force_exit_last_trace,-3.3289
2026-06-15,352820,2026-06-15 09:52:51,2026-06-15 14:26:47,222500,217500,force_exit_last_trace,-2.2472
2026-06-15,181710,2026-06-15 11:08:36,2026-06-15 14:26:49,39350,38750,force_exit_last_trace,-1.5248
