session_date,ticker,entry_time,exit_time,entry_price,exit_price,exit_reason,pnl_percent
2026-06-10,035420,2026-06-10 09:31:28,2026-06-10 09:38:29,240500,237500,stop_loss,-1.2474
2026-06-10,018260,2026-06-10 09:38:30,2026-06-10 09:44:06,237000,233500,stop_loss,-1.4768
2026-06-10,066570,2026-06-10 09:31:28,2026-06-10 09:47:32,234500,231500,stop_loss,-1.2793
2026-06-10,035420,2026-06-10 09:47:32,2026-06-10 09:54:50,235500,237000,take_profit,0.6369
2026-06-10,036570,2026-06-10 09:31:34,2026-06-10 10:00:26,257000,259500,take_profit,0.9728
2026-06-10,462870,2026-06-10 09:44:06,2026-06-10 10:00:31,30600,31100,take_profit,1.634
2026-06-10,181710,2026-06-10 10:00:32,2026-06-10 10:04:20,40350,40550,take_profit,0.4957
2026-06-10,066570,2026-06-10 09:54:50,2026-06-10 10:17:49,232000,233500,take_profit,0.6466
2026-06-10,000430,2026-06-10 10:04:23,2026-06-10 10:23:44,5750,5790,take_profit,0.6957
2026-06-10,028670,2026-06-10 10:00:29,2026-06-10 10:27:28,5070,5010,stop_loss,-1.1834
2026-06-10,181710,2026-06-10 10:27:31,2026-06-10 10:29:23,40250,41100,take_profit,2.1118
2026-06-10,018260,2026-06-10 10:31:13,2026-06-10 10:35:12,232500,233500,take_profit,0.4301
2026-06-10,005090,2026-06-10 10:17:49,2026-06-10 10:35:26,52100,52600,take_profit,0.9597
2026-06-10,014680,2026-06-10 10:37:14,2026-06-10 10:39:13,263500,264500,take_profit,0.3795
2026-06-10,028670,2026-06-10 10:39:13,2026-06-10 10:50:59,5020,5040,take_profit,0.3984
2026-06-10,035420,2026-06-10 10:25:30,2026-06-10 11:03:12,236000,233500,stop_loss,-1.0593
2026-06-10,014680,2026-06-10 10:50:59,2026-06-10 11:09:34,263000,260000,stop_loss,-1.1407
2026-06-10,028670,2026-06-10 11:09:35,2026-06-10 11:29:06,5020,5050,take_profit,0.5976
2026-06-10,018260,2026-06-10 11:03:13,2026-06-10 11:30:21,231500,232500,take_profit,0.432
2026-06-10,161390,2026-06-10 10:35:15,2026-06-10 11:51:41,71600,70900,force_exit_last_trace,-0.9777
2026-06-10,009420,2026-06-10 11:29:06,2026-06-10 11:51:41,49750,49750,force_exit_last_trace,0.0
2026-06-10,175330,2026-06-10 11:30:23,2026-06-10 11:51:44,25500,25450,force_exit_last_trace,-0.1961
2026-06-11,120110,2026-06-11 09:32:14,2026-06-11 09:35:59,68400,68800,take_profit,0.5848
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 09:37:56,23350,23000,stop_loss,-1.4989
2026-06-11,085620,2026-06-11 09:32:12,2026-06-11 09:37:59,20750,20450,stop_loss,-1.4458
2026-06-11,000430,2026-06-11 09:35:59,2026-06-11 09:40:40,5440,5370,stop_loss,-1.2868
2026-06-11,120110,2026-06-11 09:41:07,2026-06-11 09:43:10,68800,69200,take_profit,0.5814
2026-06-11,005090,2026-06-11 09:38:03,2026-06-11 09:51:15,49500,50200,take_profit,1.4141
2026-06-11,000430,2026-06-11 09:51:35,2026-06-11 09:54:22,5090,5030,stop_loss,-1.1788
2026-06-11,005090,2026-06-11 09:54:24,2026-06-11 09:57:10,50200,50600,take_profit,0.7968
2026-06-11,092200,2026-06-11 09:57:11,2026-06-11 10:03:34,9300,9200,stop_loss,-1.0753
2026-06-11,181710,2026-06-11 09:43:11,2026-06-11 10:05:25,39400,39750,take_profit,0.8883
2026-06-11,005090,2026-06-11 10:03:34,2026-06-11 10:05:58,50600,50800,take_profit,0.3953
2026-06-11,323410,2026-06-11 10:05:58,2026-06-11 10:08:01,22850,22950,take_profit,0.4376
2026-06-11,005090,2026-06-11 10:08:09,2026-06-11 10:10:44,50400,50700,take_profit,0.5952
2026-06-11,000370,2026-06-11 10:06:00,2026-06-11 10:11:15,6120,6160,take_profit,0.6536
2026-06-11,092200,2026-06-11 10:10:45,2026-06-11 10:13:56,9210,9240,take_profit,0.3257
2026-06-11,005090,2026-06-11 10:13:56,2026-06-11 10:19:20,50700,50100,stop_loss,-1.1834
2026-06-11,016380,2026-06-11 09:38:04,2026-06-11 10:25:28,5590,5630,take_profit,0.7156
2026-06-11,092200,2026-06-11 10:19:21,2026-06-11 10:28:27,9120,9180,take_profit,0.6579
2026-06-11,323410,2026-06-11 10:13:15,2026-06-11 10:36:54,23050,22800,stop_loss,-1.0846
2026-06-11,000430,2026-06-11 10:28:28,2026-06-11 10:49:13,5030,4970,stop_loss,-1.1928
2026-06-11,005090,2026-06-11 10:25:28,2026-06-11 10:55:12,49600,50400,take_profit,1.6129
2026-06-11,323410,2026-06-11 10:49:13,2026-06-11 10:58:54,22700,22800,take_profit,0.4405
2026-06-11,181710,2026-06-11 10:37:01,2026-06-11 11:04:12,39550,39000,stop_loss,-1.3906
2026-06-11,000370,2026-06-11 10:58:57,2026-06-11 11:14:31,6090,6110,take_profit,0.3284
2026-06-11,035420,2026-06-11 11:16:40,2026-06-11 11:17:36,221500,222500,take_profit,0.4515
2026-06-11,181710,2026-06-11 11:04:41,2026-06-11 11:30:36,39050,38600,stop_loss,-1.1524
2026-06-11,499790,2026-06-11 11:30:37,2026-06-11 11:33:58,50300,49750,stop_loss,-1.0934
2026-06-11,323410,2026-06-11 11:34:45,2026-06-11 11:41:36,22750,22850,take_profit,0.4396
2026-06-11,005090,2026-06-11 10:55:54,2026-06-11 12:07:57,50200,50400,take_profit,0.3984
2026-06-11,217590,2026-06-11 12:07:57,2026-06-11 12:12:03,23200,22900,stop_loss,-1.2931
2026-06-11,181710,2026-06-11 11:41:39,2026-06-11 12:13:48,38500,38100,stop_loss,-1.039
2026-06-11,003160,2026-06-11 12:13:52,2026-06-11 12:26:16,28050,28250,take_profit,0.713
2026-06-11,035420,2026-06-11 11:19:52,2026-06-11 12:32:49,221500,222500,take_profit,0.4515
2026-06-11,323410,2026-06-11 12:29:01,2026-06-11 12:36:49,22750,22850,take_profit,0.4396
2026-06-11,120110,2026-06-11 12:32:57,2026-06-11 12:40:25,71100,71400,take_profit,0.4219
2026-06-11,181710,2026-06-11 12:37:23,2026-06-11 12:44:10,38450,38800,take_profit,0.9103
2026-06-11,005090,2026-06-11 12:12:03,2026-06-11 12:44:12,50300,50700,take_profit,0.7952
2026-06-11,092200,2026-06-11 12:44:13,2026-06-11 12:45:11,9430,9480,take_profit,0.5302
2026-06-11,000430,2026-06-11 12:58:22,2026-06-11 13:01:42,5000,5020,take_profit,0.4
2026-06-11,005090,2026-06-11 12:45:11,2026-06-11 13:05:16,50600,51300,take_profit,1.3834
2026-06-11,181710,2026-06-11 12:45:13,2026-06-11 14:16:34,38800,39150,take_profit,0.9021
2026-06-12,000500,2026-06-12 09:33:06,2026-06-12 09:38:43,336000,330500,stop_loss,-1.6369
2026-06-12,195870,2026-06-12 09:38:56,2026-06-12 09:43:22,80800,81600,take_profit,0.9901
2026-06-12,001800,2026-06-12 09:33:17,2026-06-12 09:52:27,26650,26800,take_profit,0.5629
2026-06-12,081660,2026-06-12 09:33:14,2026-06-12 10:02:18,43200,43400,take_profit,0.463
2026-06-12,285130,2026-06-12 09:52:32,2026-06-12 10:02:26,43600,44050,take_profit,1.0321
2026-06-12,051600,2026-06-12 10:02:19,2026-06-12 10:03:43,50000,50200,take_profit,0.4
2026-06-12,192080,2026-06-12 09:43:22,2026-06-12 10:08:34,72900,72100,stop_loss,-1.0974
2026-06-12,062040,2026-06-12 10:06:57,2026-06-12 10:26:09,226500,224000,stop_loss,-1.1038
2026-06-12,298050,2026-06-12 10:03:36,2026-06-12 10:26:24,202500,200000,stop_loss,-1.2346
2026-06-12,018670,2026-06-12 10:08:34,2026-06-12 10:40:57,223500,224500,take_profit,0.4474
2026-06-12,078930,2026-06-12 10:26:09,2026-06-12 10:40:59,73000,73500,take_profit,0.6849
2026-06-12,085620,2026-06-12 10:40:57,2026-06-12 10:44:06,28550,28000,stop_loss,-1.9264
2026-06-12,285130,2026-06-12 10:26:25,2026-06-12 10:49:09,43550,43850,take_profit,0.6889
2026-06-12,000500,2026-06-12 10:50:32,2026-06-12 10:54:15,313000,315000,take_profit,0.639
2026-06-12,009970,2026-06-12 10:44:12,2026-06-12 10:54:23,188400,189500,take_profit,0.5839
2026-06-12,020150,2026-06-12 10:54:23,2026-06-12 11:00:13,56400,56600,take_profit,0.3546
2026-06-12,018670,2026-06-12 10:54:25,2026-06-12 11:05:26,223500,225000,take_profit,0.6711
2026-06-12,009970,2026-06-12 11:00:13,2026-06-12 11:39:46,189200,190400,take_profit,0.6342
2026-06-12,006360,2026-06-12 11:43:58,2026-06-12 11:49:35,29000,29100,take_profit,0.3448
2026-06-12,001800,2026-06-12 10:44:15,2026-06-12 12:13:04,26700,26300,stop_loss,-1.4981
2026-06-12,092200,2026-06-12 12:13:13,2026-06-12 12:14:58,9950,9990,take_profit,0.402
2026-06-12,499790,2026-06-12 11:05:31,2026-06-12 12:40:23,49800,49300,stop_loss,-1.004
2026-06-12,120110,2026-06-12 11:49:36,2026-06-12 13:06:49,76500,75500,stop_loss,-1.3072
2026-06-12,009420,2026-06-12 12:40:26,2026-06-12 13:15:11,53200,53800,take_profit,1.1278
2026-06-12,030200,2026-06-12 12:19:07,2026-06-12 13:20:12,56800,56200,stop_loss,-1.0563
2026-06-15,103590,2026-06-15 09:34:24,2026-06-15 09:37:56,87900,88500,take_profit,0.6826
2026-06-15,005090,2026-06-15 09:34:44,2026-06-15 09:42:44,55800,55200,stop_loss,-1.0753
2026-06-15,001120,2026-06-15 09:34:38,2026-06-15 09:48:42,40000,40200,take_profit,0.5
2026-06-15,005090,2026-06-15 09:44:10,2026-06-15 10:06:21,55100,54500,stop_loss,-1.0889
2026-06-15,352820,2026-06-15 09:52:51,2026-06-15 10:12:52,222500,220000,stop_loss,-1.1236
2026-06-15,499790,2026-06-15 10:12:52,2026-06-15 10:23:41,48600,49100,take_profit,1.0288
2026-06-15,005090,2026-06-15 10:08:30,2026-06-15 10:47:32,54300,53700,stop_loss,-1.105
2026-06-15,001120,2026-06-15 10:47:32,2026-06-15 10:53:48,41250,41450,take_profit,0.4848
2026-06-15,120110,2026-06-15 09:42:34,2026-06-15 11:06:13,75100,74300,stop_loss,-1.0652
2026-06-15,005090,2026-06-15 10:53:48,2026-06-15 11:39:30,53500,53800,take_profit,0.5607
2026-06-15,181710,2026-06-15 11:06:17,2026-06-15 12:25:37,39350,38950,stop_loss,-1.0165
2026-06-15,352820,2026-06-15 10:23:41,2026-06-15 12:55:59,220000,219000,force_exit_last_trace,-0.4545
2026-06-15,120110,2026-06-15 11:41:47,2026-06-15 12:55:56,74300,73900,force_exit_last_trace,-0.5384
2026-06-15,181710,2026-06-15 12:28:07,2026-06-15 12:56:01,39100,39250,force_exit_last_trace,0.3836
