session_date,ticker,entry_time,exit_time,entry_price,exit_price,exit_reason,pnl_percent
2026-06-10,035420,2026-06-10 09:31:28,2026-06-10 09:44:01,240500,236000,stop_loss,-1.8711
2026-06-10,014680,2026-06-10 09:44:01,2026-06-10 09:54:49,259000,261000,take_profit,0.7722
2026-06-10,028670,2026-06-10 09:54:50,2026-06-10 09:56:40,5060,5080,take_profit,0.3953
2026-06-10,004990,2026-06-10 09:56:40,2026-06-10 09:58:33,25500,25650,take_profit,0.5882
2026-06-10,036570,2026-06-10 09:31:34,2026-06-10 10:00:26,257000,259500,take_profit,0.9728
2026-06-10,181710,2026-06-10 09:58:34,2026-06-10 10:04:20,40250,40550,take_profit,0.7453
2026-06-10,000430,2026-06-10 10:04:23,2026-06-10 10:23:44,5750,5790,take_profit,0.6957
2026-06-10,005090,2026-06-10 10:25:30,2026-06-10 10:35:26,52100,52600,take_profit,0.9597
2026-06-10,066570,2026-06-10 09:31:28,2026-06-10 11:11:38,234500,230500,stop_loss,-1.7058
2026-06-10,035420,2026-06-10 10:37:14,2026-06-10 11:16:21,236500,232500,stop_loss,-1.6913
2026-06-10,028670,2026-06-10 10:00:29,2026-06-10 11:18:22,5070,4975,stop_loss,-1.8738
2026-06-10,066570,2026-06-10 11:16:21,2026-06-10 11:18:22,229500,231000,take_profit,0.6536
2026-06-10,018260,2026-06-10 11:11:40,2026-06-10 11:30:21,231000,232500,take_profit,0.6494
2026-06-10,192080,2026-06-10 11:18:27,2026-06-10 11:43:08,71300,71700,take_profit,0.561
2026-06-10,281820,2026-06-10 11:43:08,2026-06-10 11:51:43,66100,66500,take_profit,0.6051
2026-06-10,009420,2026-06-10 11:18:25,2026-06-10 11:51:41,50100,49750,force_exit_last_trace,-0.6986
2026-06-10,175330,2026-06-10 11:30:23,2026-06-10 11:51:44,25500,25450,force_exit_last_trace,-0.1961
2026-06-11,120110,2026-06-11 09:32:14,2026-06-11 09:35:59,68400,68800,take_profit,0.5848
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 09:38:29,23350,22900,stop_loss,-1.9272
2026-06-11,085620,2026-06-11 09:32:12,2026-06-11 09:38:29,20750,20400,stop_loss,-1.6867
2026-06-11,120110,2026-06-11 09:38:29,2026-06-11 09:43:10,68600,69200,take_profit,0.8746
2026-06-11,000430,2026-06-11 09:35:59,2026-06-11 09:43:14,5440,5330,stop_loss,-2.0221
2026-06-11,000430,2026-06-11 09:43:38,2026-06-11 09:46:17,5320,5220,stop_loss,-1.8797
2026-06-11,066570,2026-06-11 09:48:24,2026-06-11 09:51:05,211500,213500,take_profit,0.9456
2026-06-11,005090,2026-06-11 09:38:30,2026-06-11 09:51:15,49500,50200,take_profit,1.4141
2026-06-11,016380,2026-06-11 09:51:15,2026-06-11 10:00:04,5550,5570,take_profit,0.3604
2026-06-11,181710,2026-06-11 09:43:11,2026-06-11 10:05:25,39400,39750,take_profit,0.8883
2026-06-11,000430,2026-06-11 09:51:35,2026-06-11 10:05:28,5090,5120,take_profit,0.5894
2026-06-11,323410,2026-06-11 10:05:58,2026-06-11 10:08:01,22850,22950,take_profit,0.4376
2026-06-11,016380,2026-06-11 10:05:27,2026-06-11 10:08:09,5570,5590,take_profit,0.3591
2026-06-11,000370,2026-06-11 10:08:33,2026-06-11 10:11:15,6120,6160,take_profit,0.6536
2026-06-11,092200,2026-06-11 10:08:31,2026-06-11 10:19:45,9230,9090,stop_loss,-1.5168
2026-06-11,005090,2026-06-11 10:00:53,2026-06-11 10:22:00,50700,49900,stop_loss,-1.5779
2026-06-11,016380,2026-06-11 10:19:46,2026-06-11 10:25:28,5590,5630,take_profit,0.7156
2026-06-11,323410,2026-06-11 10:13:15,2026-06-11 10:45:27,23050,22650,stop_loss,-1.7354
2026-06-11,000430,2026-06-11 10:22:02,2026-06-11 10:48:35,5070,4985,stop_loss,-1.6765
2026-06-11,005090,2026-06-11 10:25:28,2026-06-11 10:55:12,49600,50400,take_profit,1.6129
2026-06-11,323410,2026-06-11 10:49:13,2026-06-11 10:58:54,22700,22800,take_profit,0.4405
2026-06-11,181710,2026-06-11 10:45:33,2026-06-11 11:16:47,39450,38850,stop_loss,-1.5209
2026-06-11,066570,2026-06-11 11:06:58,2026-06-11 11:23:22,212500,208500,stop_loss,-1.8824
2026-06-11,005090,2026-06-11 10:55:54,2026-06-11 12:07:57,50200,50400,take_profit,0.3984
2026-06-11,217590,2026-06-11 12:07:57,2026-06-11 12:12:52,23200,22700,stop_loss,-2.1552
2026-06-11,181710,2026-06-11 11:23:29,2026-06-11 12:13:48,38750,38100,stop_loss,-1.6774
2026-06-11,003160,2026-06-11 12:13:52,2026-06-11 12:26:16,28050,28250,take_profit,0.713
2026-06-11,035420,2026-06-11 11:19:52,2026-06-11 12:32:49,221500,222500,take_profit,0.4515
2026-06-11,323410,2026-06-11 12:29:01,2026-06-11 12:36:49,22750,22850,take_profit,0.4396
2026-06-11,120110,2026-06-11 12:32:57,2026-06-11 12:40:25,71100,71400,take_profit,0.4219
2026-06-11,181710,2026-06-11 12:40:26,2026-06-11 12:44:10,38550,38800,take_profit,0.6485
2026-06-11,005090,2026-06-11 12:36:58,2026-06-11 12:44:12,50500,50700,take_profit,0.396
2026-06-11,092200,2026-06-11 12:44:13,2026-06-11 12:45:11,9430,9480,take_profit,0.5302
2026-06-11,475150,2026-06-11 12:12:55,2026-06-11 12:48:25,41050,41200,take_profit,0.3654
2026-06-11,000430,2026-06-11 12:58:22,2026-06-11 13:01:42,5000,5020,take_profit,0.4
2026-06-11,005090,2026-06-11 12:45:11,2026-06-11 13:05:16,50600,51300,take_profit,1.3834
2026-06-11,181710,2026-06-11 12:45:13,2026-06-11 14:16:34,38800,39150,take_profit,0.9021
2026-06-12,000500,2026-06-12 09:33:06,2026-06-12 09:38:43,336000,330500,stop_loss,-1.6369
2026-06-12,195870,2026-06-12 09:38:56,2026-06-12 09:43:22,80800,81600,take_profit,0.9901
2026-06-12,001800,2026-06-12 09:33:17,2026-06-12 09:52:27,26650,26800,take_profit,0.5629
2026-06-12,081660,2026-06-12 09:33:14,2026-06-12 10:02:18,43200,43400,take_profit,0.463
2026-06-12,285130,2026-06-12 09:52:32,2026-06-12 10:02:26,43600,44050,take_profit,1.0321
2026-06-12,051600,2026-06-12 10:02:19,2026-06-12 10:03:43,50000,50200,take_profit,0.4
