session_date,ticker,entry_time,exit_time,entry_price,exit_price,exit_reason,pnl_percent
2026-06-10,014680,2026-06-10 00:31:37,2026-06-10 00:51:06,261500,258500,stop_loss,-1.1472
2026-06-10,035420,2026-06-10 00:31:28,2026-06-10 00:38:29,240500,237500,stop_loss,-1.2474
2026-06-10,036570,2026-06-10 00:31:34,2026-06-10 00:56:37,257000,258000,take_profit,0.3891
2026-06-10,005090,2026-06-10 00:31:42,2026-06-10 00:33:27,52800,52100,stop_loss,-1.3258
2026-06-10,066570,2026-06-10 00:31:28,2026-06-10 00:47:32,234500,231500,stop_loss,-1.2793
2026-06-11,120110,2026-06-11 00:32:14,2026-06-11 00:35:33,68400,68700,take_profit,0.4386
2026-06-11,000430,2026-06-11 00:32:19,2026-06-11 00:38:29,5490,5430,stop_loss,-1.0929
2026-06-11,085620,2026-06-11 00:32:12,2026-06-11 00:37:59,20750,20450,stop_loss,-1.4458
2026-06-11,323410,2026-06-11 00:32:10,2026-06-11 00:37:56,23350,23000,stop_loss,-1.4989
2026-06-11,279570,2026-06-11 00:32:14,2026-06-11 00:33:35,5780,5800,take_profit,0.346
2026-06-12,285130,2026-06-12 00:33:22,2026-06-12 01:02:26,43800,44050,take_profit,0.5708
2026-06-12,298050,2026-06-12 00:33:21,2026-06-12 00:43:24,202000,199500,stop_loss,-1.2376
2026-06-12,000500,2026-06-12 00:33:06,2026-06-12 00:38:43,336000,330500,stop_loss,-1.6369
2026-06-12,003160,2026-06-12 00:33:21,2026-06-12 00:35:22,29450,29550,take_profit,0.3396
2026-06-12,081660,2026-06-12 00:33:14,2026-06-12 01:02:18,43200,43400,take_profit,0.463
2026-06-15,005090,2026-06-15 00:34:44,2026-06-15 00:42:44,55800,55200,stop_loss,-1.0753
2026-06-15,001120,2026-06-15 00:34:38,2026-06-15 00:48:42,40000,40200,take_profit,0.5
2026-06-15,103590,2026-06-15 00:34:24,2026-06-15 00:37:56,87900,88500,take_profit,0.6826
2026-06-15,006360,2026-06-15 00:34:32,2026-06-15 00:53:09,30300,30550,take_profit,0.8251
2026-06-15,192650,2026-06-15 00:34:48,2026-06-15 00:37:57,6170,6210,take_profit,0.6483
