session_date,ticker,entry_time,exit_time,entry_price,exit_price,exit_reason,pnl_percent
2026-06-10,012330,2026-06-10 09:31:27,2026-06-10 09:38:28,586000,579000,stop_loss,-1.1945
2026-06-10,035420,2026-06-10 09:31:28,2026-06-10 09:38:29,240500,237500,stop_loss,-1.2474
2026-06-10,000810,2026-06-10 09:38:29,2026-06-10 09:42:01,608000,610000,take_profit,0.3289
2026-06-10,055550,2026-06-10 09:38:28,2026-06-10 09:45:33,98400,98800,take_profit,0.4065
2026-06-10,014680,2026-06-10 09:31:37,2026-06-10 09:51:06,261500,258500,stop_loss,-1.1472
2026-06-10,028670,2026-06-10 09:51:07,2026-06-10 09:56:40,5050,5080,take_profit,0.5941
2026-06-10,036570,2026-06-10 09:31:34,2026-06-10 10:00:26,257000,259500,take_profit,0.9728
2026-06-10,014680,2026-06-10 09:56:40,2026-06-10 10:00:29,259500,261500,take_profit,0.7707
2026-06-10,181710,2026-06-10 10:00:32,2026-06-10 10:04:20,40350,40550,take_profit,0.4957
2026-06-10,066570,2026-06-10 09:45:33,2026-06-10 10:17:49,232500,233500,take_profit,0.4301
2026-06-10,000430,2026-06-10 10:04:23,2026-06-10 10:23:44,5750,5790,take_profit,0.6957
2026-06-10,028670,2026-06-10 10:00:29,2026-06-10 10:27:28,5070,5010,stop_loss,-1.1834
2026-06-10,181710,2026-06-10 10:25:32,2026-06-10 10:29:23,40150,41100,take_profit,2.3661
2026-06-10,004990,2026-06-10 09:31:38,2026-06-10 10:33:16,25700,25800,take_profit,0.3891
2026-06-10,000810,2026-06-10 10:29:24,2026-06-10 10:35:11,617000,620000,take_profit,0.4862
2026-06-10,005090,2026-06-10 10:17:49,2026-06-10 10:35:26,52100,52600,take_profit,0.9597
2026-06-10,000430,2026-06-10 10:27:34,2026-06-10 10:35:27,5730,5790,take_profit,1.0471
2026-06-10,014680,2026-06-10 10:37:14,2026-06-10 10:39:13,263500,264500,take_profit,0.3795
2026-06-10,028670,2026-06-10 10:33:16,2026-06-10 10:48:46,5010,5030,take_profit,0.3992
2026-06-10,066570,2026-06-10 10:37:15,2026-06-10 10:50:49,232500,233500,take_profit,0.4301
2026-06-10,009155,2026-06-10 10:48:47,2026-06-10 10:51:02,605000,609000,take_profit,0.6612
2026-06-10,035420,2026-06-10 09:42:01,2026-06-10 10:54:53,237500,235000,stop_loss,-1.0526
2026-06-10,000430,2026-06-10 10:51:06,2026-06-10 10:57:03,5630,5690,take_profit,1.0657
2026-06-10,307950,2026-06-10 10:54:55,2026-06-10 11:05:23,702000,693000,stop_loss,-1.2821
2026-06-10,018260,2026-06-10 10:41:00,2026-06-10 11:16:22,233000,230500,stop_loss,-1.073
2026-06-10,028670,2026-06-10 10:50:59,2026-06-10 11:18:22,5040,4975,stop_loss,-1.2897
2026-06-10,042700,2026-06-10 11:16:22,2026-06-10 11:18:29,279500,280500,take_profit,0.3578
2026-06-10,281820,2026-06-10 11:05:23,2026-06-10 11:24:55,67000,66000,stop_loss,-1.4925
2026-06-10,195870,2026-06-10 11:18:29,2026-06-10 11:30:24,75800,76500,take_profit,0.9235
2026-06-10,005090,2026-06-10 11:24:57,2026-06-10 11:45:32,51600,51900,take_profit,0.5814
2026-06-10,009155,2026-06-10 11:18:23,2026-06-10 11:49:45,597000,601000,take_profit,0.67
2026-06-10,161390,2026-06-10 10:35:15,2026-06-10 11:51:41,71600,70900,force_exit_last_trace,-0.9777
2026-06-10,005930,2026-06-10 10:58:59,2026-06-10 11:51:40,307000,305500,force_exit_last_trace,-0.4886
2026-06-10,483650,2026-06-10 11:30:25,2026-06-10 11:51:46,205500,206000,force_exit_last_trace,0.2433
2026-06-10,004990,2026-06-10 11:47:22,2026-06-10 11:51:38,25600,25600,force_exit_last_trace,0.0
2026-06-10,281820,2026-06-10 11:49:46,2026-06-10 11:51:43,66100,66500,force_exit_last_trace,0.6051
2026-06-11,120110,2026-06-11 09:32:14,2026-06-11 09:35:59,68400,68800,take_profit,0.5848
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 09:37:56,23350,23000,stop_loss,-1.4989
2026-06-11,085620,2026-06-11 09:32:12,2026-06-11 09:37:59,20750,20450,stop_loss,-1.4458
2026-06-11,000430,2026-06-11 09:32:19,2026-06-11 09:38:29,5490,5430,stop_loss,-1.0929
2026-06-11,009420,2026-06-11 09:38:00,2026-06-11 09:40:34,47650,48300,take_profit,1.3641
2026-06-11,085620,2026-06-11 09:40:34,2026-06-11 09:41:08,20400,20500,take_profit,0.4902
2026-06-11,120110,2026-06-11 09:38:29,2026-06-11 09:43:10,68600,69200,take_profit,0.8746
2026-06-11,009155,2026-06-11 09:38:01,2026-06-11 09:43:41,556000,559000,take_profit,0.5396
2026-06-11,279570,2026-06-11 09:33:35,2026-06-11 09:45:41,5800,5710,stop_loss,-1.5517
2026-06-11,000430,2026-06-11 09:41:08,2026-06-11 09:45:45,5370,5250,stop_loss,-2.2346
2026-06-11,000430,2026-06-11 09:46:17,2026-06-11 09:48:35,5220,5140,stop_loss,-1.5326
2026-06-11,009155,2026-06-11 09:45:42,2026-06-11 09:51:38,555000,559000,take_profit,0.7207
2026-06-11,009420,2026-06-11 09:49:08,2026-06-11 09:53:43,49900,50200,take_profit,0.6012
2026-06-11,000370,2026-06-11 09:43:41,2026-06-11 09:54:59,6190,6120,stop_loss,-1.1309
2026-06-11,005090,2026-06-11 09:36:01,2026-06-11 09:57:10,49850,50600,take_profit,1.5045
2026-06-11,217590,2026-06-11 09:53:47,2026-06-11 09:57:10,25650,24050,stop_loss,-6.2378
2026-06-11,323410,2026-06-11 09:53:39,2026-06-11 09:57:50,22850,22950,take_profit,0.4376
2026-06-11,279570,2026-06-11 09:57:06,2026-06-11 10:00:00,5670,5700,take_profit,0.5291
2026-06-11,000430,2026-06-11 09:57:50,2026-06-11 10:00:05,5030,5090,take_profit,1.1928
2026-06-11,016380,2026-06-11 09:57:10,2026-06-11 10:03:03,5560,5580,take_profit,0.3597
2026-06-11,092200,2026-06-11 09:57:11,2026-06-11 10:03:34,9300,9200,stop_loss,-1.0753
2026-06-11,120110,2026-06-11 10:03:32,2026-06-11 10:05:23,68600,69200,take_profit,0.8746
2026-06-11,181710,2026-06-11 09:43:11,2026-06-11 10:05:25,39400,39750,take_profit,0.8883
2026-06-11,000810,2026-06-11 10:00:56,2026-06-11 10:06:01,625000,627000,take_profit,0.32
2026-06-11,323410,2026-06-11 10:05:58,2026-06-11 10:08:01,22850,22950,take_profit,0.4376
2026-06-11,016380,2026-06-11 10:05:27,2026-06-11 10:08:09,5570,5590,take_profit,0.3591
2026-06-11,000370,2026-06-11 10:03:35,2026-06-11 10:11:15,6120,6160,take_profit,0.6536
2026-06-11,005090,2026-06-11 10:00:53,2026-06-11 10:19:20,50700,50100,stop_loss,-1.1834
2026-06-11,092200,2026-06-11 10:08:31,2026-06-11 10:19:21,9230,9120,stop_loss,-1.1918
2026-06-11,016380,2026-06-11 10:13:24,2026-06-11 10:25:28,5600,5630,take_profit,0.5357
2026-06-11,180640,2026-06-11 10:11:14,2026-06-11 10:28:19,112600,113200,take_profit,0.5329
2026-06-11,000430,2026-06-11 10:25:29,2026-06-11 10:29:03,5070,5010,stop_loss,-1.1834
2026-06-11,005090,2026-06-11 10:19:45,2026-06-11 10:29:04,50100,49500,stop_loss,-1.1976
2026-06-11,004170,2026-06-11 10:28:20,2026-06-11 10:34:06,681000,687000,take_profit,0.8811
2026-06-11,323410,2026-06-11 10:13:15,2026-06-11 10:36:54,23050,22800,stop_loss,-1.0846
2026-06-11,009155,2026-06-11 10:34:10,2026-06-11 10:37:32,563000,575000,take_profit,2.1314
2026-06-11,003230,2026-06-11 10:31:19,2026-06-11 10:40:04,1143000,1149000,take_profit,0.5249
2026-06-11,004170,2026-06-11 10:36:56,2026-06-11 10:40:04,687000,690000,take_profit,0.4367
2026-06-11,004170,2026-06-11 10:42:19,2026-06-11 10:45:28,701000,712000,take_profit,1.5692
2026-06-11,000810,2026-06-11 10:37:33,2026-06-11 10:48:24,623000,627000,take_profit,0.6421
2026-06-11,009155,2026-06-11 10:45:32,2026-06-11 10:55:09,563000,557000,stop_loss,-1.0657
2026-06-11,005090,2026-06-11 10:48:33,2026-06-11 10:55:12,50100,50400,take_profit,0.5988
2026-06-11,009155,2026-06-11 10:55:56,2026-06-11 11:01:21,556000,560000,take_profit,0.7194
2026-06-11,181710,2026-06-11 10:29:07,2026-06-11 11:04:12,39500,39000,stop_loss,-1.2658
2026-06-11,004170,2026-06-11 11:01:51,2026-06-11 11:07:01,707000,696000,stop_loss,-1.5559
2026-06-11,000810,2026-06-11 11:09:59,2026-06-11 11:10:39,629000,632000,take_profit,0.4769
2026-06-11,323410,2026-06-11 10:42:17,2026-06-11 11:13:00,22850,22950,take_profit,0.4376
2026-06-11,000370,2026-06-11 10:19:47,2026-06-11 11:14:31,6090,6110,take_profit,0.3284
2026-06-11,004170,2026-06-11 11:10:39,2026-06-11 11:14:32,694000,686000,stop_loss,-1.1527
2026-06-11,000430,2026-06-11 11:14:28,2026-06-11 11:16:50,4855,4870,take_profit,0.309
2026-06-11,003230,2026-06-11 11:14:33,2026-06-11 11:17:34,1154000,1159000,take_profit,0.4333
2026-06-11,035420,2026-06-11 11:16:40,2026-06-11 11:17:36,221500,222500,take_profit,0.4515
2026-06-11,009155,2026-06-11 11:17:32,2026-06-11 11:24:20,553000,547000,stop_loss,-1.085
2026-06-11,009420,2026-06-11 11:24:20,2026-06-11 11:27:11,49500,49750,take_profit,0.5051
2026-06-11,307950,2026-06-11 11:17:34,2026-06-11 11:30:30,665000,667000,take_profit,0.3008
2026-06-11,181710,2026-06-11 11:04:41,2026-06-11 11:30:36,39050,38600,stop_loss,-1.1524
2026-06-11,012330,2026-06-11 11:27:11,2026-06-11 11:31:25,548000,550000,take_profit,0.365
2026-06-11,499790,2026-06-11 11:30:37,2026-06-11 11:33:58,50300,49750,stop_loss,-1.0934
2026-06-11,323410,2026-06-11 11:30:31,2026-06-11 11:41:36,22750,22850,take_profit,0.4396
2026-06-11,016380,2026-06-11 11:34:46,2026-06-11 11:51:51,5640,5660,take_profit,0.3546
2026-06-11,012750,2026-06-11 11:41:36,2026-06-11 11:52:34,71700,72000,take_profit,0.4184
2026-06-11,323410,2026-06-11 11:52:34,2026-06-11 11:56:31,22750,22850,take_profit,0.4396
2026-06-11,000810,2026-06-11 11:56:34,2026-06-11 12:00:28,632000,634000,take_profit,0.3165
2026-06-11,499790,2026-06-11 11:51:51,2026-06-11 12:04:35,49600,49900,take_profit,0.6048
2026-06-11,005090,2026-06-11 10:55:54,2026-06-11 12:07:57,50200,50400,take_profit,0.3984
2026-06-11,217590,2026-06-11 12:04:36,2026-06-11 12:12:03,23200,22900,stop_loss,-1.2931
2026-06-11,181710,2026-06-11 11:31:25,2026-06-11 12:13:48,38500,38100,stop_loss,-1.039
2026-06-11,005930,2026-06-11 12:13:48,2026-06-11 12:25:28,295500,296500,take_profit,0.3384
2026-06-11,000810,2026-06-11 12:03:35,2026-06-11 12:29:53,634000,637000,take_profit,0.4732
2026-06-11,035420,2026-06-11 11:19:52,2026-06-11 12:32:49,221500,222500,take_profit,0.4515
2026-06-11,323410,2026-06-11 12:25:32,2026-06-11 12:36:49,22750,22850,take_profit,0.4396
2026-06-11,181710,2026-06-11 12:29:53,2026-06-11 12:37:23,38250,38450,take_profit,0.5229
2026-06-11,000810,2026-06-11 12:32:49,2026-06-11 12:44:01,638000,640000,take_profit,0.3135
2026-06-11,161390,2026-06-11 12:12:50,2026-06-11 12:44:03,71200,72000,take_profit,1.1236
2026-06-11,181710,2026-06-11 12:40:26,2026-06-11 12:44:10,38550,38800,take_profit,0.6485
2026-06-11,005090,2026-06-11 12:08:40,2026-06-11 12:44:12,50400,50700,take_profit,0.5952
2026-06-11,092200,2026-06-11 12:44:13,2026-06-11 12:45:11,9430,9480,take_profit,0.5302
2026-06-11,217590,2026-06-11 12:58:57,2026-06-11 13:01:41,22750,23000,take_profit,1.0989
2026-06-11,000430,2026-06-11 12:58:22,2026-06-11 13:01:42,5000,5020,take_profit,0.4
2026-06-11,005090,2026-06-11 12:45:11,2026-06-11 13:05:16,50600,51300,take_profit,1.3834
2026-06-11,000810,2026-06-11 12:45:14,2026-06-11 13:05:19,641000,644000,take_profit,0.468
2026-06-11,181710,2026-06-11 12:45:13,2026-06-11 14:16:34,38800,39150,take_profit,0.9021
2026-06-12,000500,2026-06-12 09:33:06,2026-06-12 09:38:43,336000,330500,stop_loss,-1.6369
2026-06-12,014680,2026-06-12 09:33:09,2026-06-12 09:40:00,288500,285500,stop_loss,-1.0399
2026-06-12,042700,2026-06-12 09:32:56,2026-06-12 09:43:00,303500,304500,take_profit,0.3295
2026-06-12,195870,2026-06-12 09:38:56,2026-06-12 09:43:22,80800,81600,take_profit,0.9901
2026-06-12,001800,2026-06-12 09:33:17,2026-06-12 09:52:27,26650,26800,take_profit,0.5629
2026-06-12,047050,2026-06-12 09:43:05,2026-06-12 09:58:47,58800,59000,take_profit,0.3401
2026-06-12,081660,2026-06-12 09:33:14,2026-06-12 10:02:18,43200,43400,take_profit,0.463
2026-06-12,285130,2026-06-12 09:52:32,2026-06-12 10:02:26,43600,44050,take_profit,1.0321
2026-06-12,051600,2026-06-12 10:02:19,2026-06-12 10:03:43,50000,50200,take_profit,0.4
2026-06-12,192080,2026-06-12 09:43:22,2026-06-12 10:08:34,72900,72100,stop_loss,-1.0974
2026-06-12,062040,2026-06-12 10:06:57,2026-06-12 10:26:09,226500,224000,stop_loss,-1.1038
2026-06-12,009155,2026-06-12 09:58:48,2026-06-12 10:26:21,601000,593000,stop_loss,-1.3311
2026-06-12,298050,2026-06-12 10:03:36,2026-06-12 10:26:24,202500,200000,stop_loss,-1.2346
2026-06-12,000100,2026-06-12 09:40:00,2026-06-12 10:39:13,77900,78200,take_profit,0.3851
