trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-25,2026-06-25T09:54:01,BUY-2026-06-25-000500-20260625T095401,000500,BUY,1,305000,305000,45.75,0.0,45.75,backtest_replay,,,,,,,1,305000,305000.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T10:03:00,SELL-2026-06-25-000500-20260625T100300,000500,SELL,1,306500,306500,45.975,551.7,597.6750000000001,backtest_replay,,,,,,,1,305000,305000.0,1,306500,1500.0,856.575,0.4918,0.2808,CLOSED
2026-06-25,2026-06-25T10:03:17,BUY-2026-06-25-204320-20260625T100317,204320,BUY,7,49750,348250,52.2375,0.0,52.2375,backtest_replay,,,,,,,7,348250,49750.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T10:33:23,SELL-2026-06-25-204320-20260625T103323,204320,SELL,7,49900,349300,52.395,628.74,681.135,backtest_replay,,,,,,,7,348250,49750.0,7,349300,1050.0,316.6275,0.3015,0.0909,CLOSED
2026-06-25,2026-06-25T10:34:31,BUY-2026-06-25-010120-20260625T103431,010120,BUY,1,221500,221500,33.225,0.0,33.225,backtest_replay,,,,,,,1,221500,221500.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T10:37:11,SELL-2026-06-25-010120-20260625T103711,010120,SELL,1,222500,222500,33.375,400.5,433.875,backtest_replay,,,,,,,1,221500,221500.0,1,222500,1000.0,532.9,0.4515,0.2406,CLOSED
2026-06-25,2026-06-25T10:37:13,BUY-2026-06-25-005490-20260625T103713,005490,BUY,1,326000,326000,48.9,0.0,48.9,backtest_replay,,,,,,,1,326000,326000.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T10:38:33,SELL-2026-06-25-005490-20260625T103833,005490,SELL,1,327000,327000,49.05,588.6,637.65,backtest_replay,,,,,,,1,326000,326000.0,1,327000,1000.0,313.45,0.3067,0.0962,CLOSED
2026-06-25,2026-06-25T10:38:41,BUY-2026-06-25-009830-20260625T103841,009830,BUY,11,33700,370700,55.605,0.0,55.605,backtest_replay,,,,,,,11,370700,33700.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T10:51:37,SELL-2026-06-25-009830-20260625T105137,009830,SELL,11,34050,374550,56.1825,674.19,730.3725000000001,backtest_replay,,,,,,,11,370700,33700.0,11,374550,3850.0,3064.0225,1.0386,0.8266,CLOSED
2026-06-25,2026-06-25T10:52:51,BUY-2026-06-25-096770-20260625T105251,096770,BUY,3,98800,296400,44.46,0.0,44.46,backtest_replay,,,,,,,3,296400,98800.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T12:59:32,SELL-2026-06-25-096770-20260625T125932,096770,SELL,3,97600,292800,43.92,527.04,570.9599999999999,backtest_replay,,,,,,,3,296400,98800.0,3,292800,-3600.0,-4215.42,-1.2146,-1.4222,CLOSED
