session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,028670,2026-06-10 09:31:37,2026-06-10 11:51:38,38,5140,5080,195320,193040,force_exit_last_trace,-1.1673
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 14:59:55,7,23350,23100,163450,161700,force_exit_last_trace,-1.0707
2026-06-12,081660,2026-06-12 09:33:08,2026-06-12 10:02:19,7,43200,43400,302400,303800,take_profit,0.463
2026-06-12,001800,2026-06-12 10:02:20,2026-06-12 10:40:49,11,26550,26650,292050,293150,take_profit,0.3766
2026-06-12,285130,2026-06-12 10:40:51,2026-06-12 10:49:07,7,43600,43850,305200,306950,take_profit,0.5734
2026-06-12,000500,2026-06-12 10:40:51,2026-06-12 11:00:06,1,316000,317500,316000,317500,take_profit,0.4747
2026-06-12,001800,2026-06-12 11:00:15,2026-06-12 14:02:42,11,26700,27000,293700,297000,take_profit,1.1236
2026-06-15,005090,2026-06-15 09:34:40,2026-06-15 10:57:51,5,55800,53200,279000,266000,stop_loss,-4.6595
2026-06-15,001510,2026-06-15 10:57:54,2026-06-15 11:58:08,93,3260,3270,303180,304110,take_profit,0.3067
2026-06-16,081660,2026-06-16 09:31:34,2026-06-16 10:34:51,6,43200,44800,259200,268800,take_profit,3.7037
2026-06-16,020150,2026-06-16 09:31:34,2026-06-16 15:00:11,5,55900,55900,279500,279500,force_exit_time,0.0
2026-06-17,005380,2026-06-17 09:21:19,2026-06-17 09:27:18,1,617000,620000,617000,620000,take_profit,0.4862
2026-06-17,012330,2026-06-17 09:27:20,2026-06-17 09:49:32,1,632000,634000,632000,634000,take_profit,0.3165
2026-06-17,006400,2026-06-17 09:49:32,2026-06-17 10:10:33,1,539000,542000,539000,542000,take_profit,0.5566
2026-06-17,001510,2026-06-17 10:10:34,2026-06-17 10:14:34,226,3125,3145,706250,710770,take_profit,0.64
2026-06-17,078930,2026-06-17 10:10:34,2026-06-17 14:23:51,9,77200,73700,694800,663300,stop_loss,-4.5337
2026-06-25,000500,2026-06-25 09:54:01,2026-06-25 10:02:58,1,305000,306500,305000,306500,take_profit,0.4918
2026-06-25,204320,2026-06-25 10:03:18,2026-06-25 10:33:25,7,49750,49900,348250,349300,take_profit,0.3015
2026-06-25,010120,2026-06-25 10:34:32,2026-06-25 10:37:12,1,221500,222500,221500,222500,take_profit,0.4515
2026-06-25,005490,2026-06-25 10:37:13,2026-06-25 10:38:35,1,326000,327000,326000,327000,take_profit,0.3067
2026-06-25,009830,2026-06-25 10:38:42,2026-06-25 10:51:38,11,33700,34050,370700,374550,take_profit,1.0386
2026-06-25,096770,2026-06-25 10:52:50,2026-06-25 13:02:43,3,98800,97500,296400,292500,force_exit_last_trace,-1.3158
