trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-10,2026-06-10T09:31:37,BUY-2026-06-10-028670-20260610T093137,028670,BUY,38,5140,195320,29.298,0.0,29.298,backtest_replay,,,,,,,38,195320,5140.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T11:51:38,SELL-2026-06-10-028670-20260610T115138,028670,SELL,38,5080,193040,28.956,347.472,376.428,backtest_replay,,,,,,,38,195320,5140.0,38,193040,-2280.0,-2685.726,-1.1673,-1.3750,CLOSED
2026-06-11,2026-06-11T09:32:10,BUY-2026-06-11-323410-20260611T093210,323410,BUY,7,23350,163450,24.5175,0.0,24.5175,backtest_replay,,,,,,,7,163450,23350.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T14:59:55,SELL-2026-06-11-323410-20260611T145955,323410,SELL,7,23100,161700,24.255,291.06,315.315,backtest_replay,,,,,,,7,163450,23350.0,7,161700,-1750.0,-2089.8325,-1.0707,-1.2786,CLOSED
2026-06-12,2026-06-12T09:33:08,BUY-2026-06-12-081660-20260612T093308,081660,BUY,7,43200,302400,45.36,0.0,45.36,backtest_replay,,,,,,,7,302400,43200.0,0,0,,,,,OPEN
2026-06-12,2026-06-12T10:02:19,SELL-2026-06-12-081660-20260612T100219,081660,SELL,7,43400,303800,45.57,546.84,592.4100000000001,backtest_replay,,,,,,,7,302400,43200.0,7,303800,1400.0,762.23,0.4630,0.2521,CLOSED
2026-06-12,2026-06-12T10:02:20,BUY-2026-06-12-001800-20260612T100220,001800,BUY,11,26550,292050,43.8075,0.0,43.8075,backtest_replay,,,,,,,11,292050,26550.0,0,0,,,,,OPEN
2026-06-12,2026-06-12T10:40:49,SELL-2026-06-12-001800-20260612T104049,001800,SELL,11,26650,293150,43.9725,527.67,571.6424999999999,backtest_replay,,,,,,,11,292050,26550.0,11,293150,1100.0,484.55,0.3766,0.1659,CLOSED
2026-06-12,2026-06-12T10:40:51,BUY-2026-06-12-000500-20260612T104051,000500,BUY,1,316000,316000,47.4,0.0,47.4,backtest_replay,,,,,,,1,316000,316000.0,0,0,,,,,OPEN
2026-06-12,2026-06-12T10:40:51,BUY-2026-06-12-285130-20260612T104051,285130,BUY,7,43600,305200,45.78,0.0,45.78,backtest_replay,,,,,,,7,305200,43600.0,0,0,,,,,OPEN
2026-06-12,2026-06-12T10:49:07,SELL-2026-06-12-285130-20260612T104907,285130,SELL,7,43850,306950,46.0425,552.51,598.5525,backtest_replay,,,,,,,7,305200,43600.0,7,306950,1750.0,1105.6675,0.5734,0.3623,CLOSED
2026-06-12,2026-06-12T11:00:06,SELL-2026-06-12-000500-20260612T110006,000500,SELL,1,317500,317500,47.625,571.5,619.125,backtest_replay,,,,,,,1,316000,316000.0,1,317500,1500.0,833.475,0.4747,0.2638,CLOSED
2026-06-12,2026-06-12T11:00:15,BUY-2026-06-12-001800-20260612T110015,001800,BUY,11,26700,293700,44.055,0.0,44.055,backtest_replay,,,,,,,22,585750,26625.0,11,293150,275.0,-384.505,0.0939,-0.1313,OPEN
