session_date,ticker,entry_time,exit_time,entry_price,exit_price,exit_reason,pnl_percent
2026-06-10,005090,2026-06-10 00:31:42,2026-06-10 00:33:27,52800,52100,stop_loss,-1.3258
2026-06-10,014680,2026-06-10 00:31:37,2026-06-10 00:51:06,261500,258500,stop_loss,-1.1472
2026-06-10,028670,2026-06-10 00:31:37,2026-06-10 00:40:29,5140,5080,stop_loss,-1.1673
2026-06-10,000370,2026-06-10 00:31:42,2026-06-10 00:56:45,6430,6480,take_profit,0.7776
2026-06-10,036570,2026-06-10 00:31:34,2026-06-10 00:56:37,257000,258000,take_profit,0.3891
2026-06-11,120110,2026-06-11 00:32:14,2026-06-11 00:35:33,68400,68700,take_profit,0.4386
2026-06-11,000430,2026-06-11 00:32:19,2026-06-11 00:38:29,5490,5430,stop_loss,-1.0929
2026-06-11,005090,2026-06-11 00:32:17,2026-06-11 00:38:03,50300,49500,stop_loss,-1.5905
2026-06-11,016380,2026-06-11 00:32:17,2026-06-11 01:25:28,5590,5630,take_profit,0.7156
2026-06-11,323410,2026-06-11 00:32:10,2026-06-11 00:37:56,23350,23000,stop_loss,-1.4989
2026-06-12,003160,2026-06-12 00:33:21,2026-06-12 00:35:22,29450,29550,take_profit,0.3396
2026-06-12,285130,2026-06-12 00:33:22,2026-06-12 01:02:26,43800,44050,take_profit,0.5708
2026-06-12,000500,2026-06-12 00:33:06,2026-06-12 00:38:43,336000,330500,stop_loss,-1.6369
2026-06-12,001800,2026-06-12 00:33:17,2026-06-12 00:52:27,26650,26800,take_profit,0.5629
2026-06-12,005250,2026-06-12 00:33:24,2026-06-12 00:57:31,10790,10850,take_profit,0.5561
2026-06-15,001120,2026-06-15 00:34:38,2026-06-15 00:48:42,40000,40200,take_profit,0.5
2026-06-15,005090,2026-06-15 00:34:44,2026-06-15 00:42:44,55800,55200,stop_loss,-1.0753
2026-06-15,103590,2026-06-15 00:34:24,2026-06-15 00:37:56,87900,88500,take_profit,0.6826
2026-06-15,120110,2026-06-15 00:34:34,2026-06-15 02:01:39,75300,74400,stop_loss,-1.1952
2026-06-15,499790,2026-06-15 00:34:43,2026-06-15 00:53:20,49550,48950,stop_loss,-1.2109
