session_date,ticker,entry_time,exit_time,entry_price,exit_price,exit_reason,pnl_percent
2026-06-10,005090,2026-06-10 09:31:42,2026-06-10 09:35:09,52800,52000,stop_loss,-1.5152
2026-06-10,000370,2026-06-10 09:35:09,2026-06-10 09:38:42,6400,6430,take_profit,0.4688
2026-06-10,181710,2026-06-10 09:40:31,2026-06-10 09:51:08,41100,40350,stop_loss,-1.8248
2026-06-10,009420,2026-06-10 09:51:10,2026-06-10 09:52:58,49850,50100,take_profit,0.5015
2026-06-10,008770,2026-06-10 09:33:28,2026-06-10 09:58:33,53700,54000,take_profit,0.5587
2026-06-10,081660,2026-06-10 09:31:39,2026-06-10 10:00:30,40200,40350,take_profit,0.3731
2026-06-10,462870,2026-06-10 09:52:59,2026-06-10 10:00:31,30650,31100,take_profit,1.4682
2026-06-10,005090,2026-06-10 10:00:34,2026-06-10 10:02:22,51400,51800,take_profit,0.7782
2026-06-10,181710,2026-06-10 09:58:34,2026-06-10 10:04:20,40250,40550,take_profit,0.7453
2026-06-10,000430,2026-06-10 10:00:35,2026-06-10 10:04:23,5860,5750,stop_loss,-1.8771
2026-06-10,028670,2026-06-10 09:33:28,2026-06-10 10:23:37,5110,5030,stop_loss,-1.5656
2026-06-10,181710,2026-06-10 10:08:25,2026-06-10 10:29:23,40250,41100,take_profit,2.1118
2026-06-10,004990,2026-06-10 09:31:38,2026-06-10 10:33:16,25700,25800,take_profit,0.3891
2026-06-10,088350,2026-06-10 10:31:19,2026-06-10 10:33:23,4875,4890,take_profit,0.3077
2026-06-10,078930,2026-06-10 10:04:13,2026-06-10 10:35:17,73400,73700,take_profit,0.4087
2026-06-10,005090,2026-06-10 10:23:42,2026-06-10 10:35:26,52200,52600,take_profit,0.7663
2026-06-10,000430,2026-06-10 10:41:01,2026-06-10 10:44:55,5730,5640,stop_loss,-1.5707
2026-06-10,028670,2026-06-10 10:33:16,2026-06-10 10:48:46,5010,5030,take_profit,0.3992
2026-06-10,092200,2026-06-10 10:06:16,2026-06-10 10:48:52,9870,9710,stop_loss,-1.6211
2026-06-10,078930,2026-06-10 10:48:50,2026-06-10 10:50:55,73800,74100,take_profit,0.4065
2026-06-10,192080,2026-06-10 10:46:53,2026-06-10 10:55:05,71000,71300,take_profit,0.4225
2026-06-10,000430,2026-06-10 10:51:06,2026-06-10 10:57:03,5630,5690,take_profit,1.0657
2026-06-10,192080,2026-06-10 10:59:13,2026-06-10 11:29:09,71300,71600,take_profit,0.4208
2026-06-10,028670,2026-06-10 10:50:59,2026-06-10 11:30:17,5040,5070,take_profit,0.5952
2026-06-10,088350,2026-06-10 10:41:03,2026-06-10 11:49:41,4885,4810,stop_loss,-1.5353
2026-06-10,085620,2026-06-10 11:49:41,2026-06-10 11:51:39,21950,22150,take_profit,0.9112
2026-06-10,161390,2026-06-10 10:35:15,2026-06-10 11:51:41,71600,70900,force_exit_last_trace,-0.9777
2026-06-10,181710,2026-06-10 10:55:06,2026-06-10 11:51:39,40900,40600,force_exit_last_trace,-0.7335
2026-06-10,281820,2026-06-10 11:29:10,2026-06-10 11:51:43,66300,66500,force_exit_last_trace,0.3017
2026-06-10,009420,2026-06-10 11:30:20,2026-06-10 11:51:41,49900,49750,force_exit_last_trace,-0.3006
2026-06-10,000370,2026-06-10 11:51:40,2026-06-10 11:51:40,6440,6440,force_exit_last_trace,0.0
2026-06-11,120110,2026-06-11 09:32:14,2026-06-11 09:35:59,68400,68800,take_profit,0.5848
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 09:38:29,23350,22900,stop_loss,-1.9272
2026-06-11,085620,2026-06-11 09:32:12,2026-06-11 09:38:29,20750,20400,stop_loss,-1.6867
