session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,085620,2026-06-10 09:31:36,2026-06-10 09:36:57,9,21800,21950,196200,197550,take_profit,0.6881
2026-06-10,181710,2026-06-10 09:36:57,2026-06-10 09:51:08,4,41150,40350,164600,161400,stop_loss,-1.9441
2026-06-10,008770,2026-06-10 09:51:08,2026-06-10 09:52:59,3,53700,53900,161100,161700,take_profit,0.3724
2026-06-10,081660,2026-06-10 09:31:39,2026-06-10 10:00:30,4,40200,40350,160800,161400,take_profit,0.3731
2026-06-10,462870,2026-06-10 09:52:59,2026-06-10 10:00:31,6,30650,31100,183900,186600,take_profit,1.4682
2026-06-10,005090,2026-06-10 10:00:34,2026-06-10 10:02:22,3,51400,51800,154200,155400,take_profit,0.7782
2026-06-10,181710,2026-06-10 10:00:32,2026-06-10 10:04:20,4,40350,40550,161400,162200,take_profit,0.4957
2026-06-10,000430,2026-06-10 10:02:27,2026-06-10 10:04:23,34,5850,5750,198900,195500,stop_loss,-1.7094
2026-06-10,066575,2026-06-10 10:06:12,2026-06-10 10:10:18,2,78100,78400,156200,156800,take_profit,0.3841
2026-06-10,383220,2026-06-10 10:06:13,2026-06-10 10:19:45,2,75500,75700,151000,151400,take_profit,0.2649
2026-06-10,181710,2026-06-10 10:19:49,2026-06-10 10:29:23,4,40200,41100,160800,164400,take_profit,2.2388
2026-06-10,004990,2026-06-10 09:31:38,2026-06-10 10:33:16,7,25700,25800,179900,180600,take_profit,0.3891
2026-06-10,192080,2026-06-10 10:10:21,2026-06-10 10:41:01,2,72200,71000,144400,142000,stop_loss,-1.662
2026-06-10,000430,2026-06-10 10:41:01,2026-06-10 10:44:55,34,5730,5640,194820,191760,stop_loss,-1.5707
2026-06-10,028670,2026-06-10 10:33:16,2026-06-10 10:48:46,40,5010,5030,200400,201200,take_profit,0.3992
2026-06-10,078930,2026-06-10 10:48:50,2026-06-10 10:50:55,2,73800,74100,147600,148200,take_profit,0.4065
