trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-10,2026-06-10T09:31:36,BUY-2026-06-10-085620-20260610T093136,085620,BUY,9,21800,196200,29.43,0.0,29.43,backtest_replay,,,,,,,9,196200,21800.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:31:38,BUY-2026-06-10-004990-20260610T093138,004990,BUY,7,25700,179900,26.985,0.0,26.985,backtest_replay,,,,,,,7,179900,25700.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:31:39,BUY-2026-06-10-081660-20260610T093139,081660,BUY,4,40200,160800,24.12,0.0,24.12,backtest_replay,,,,,,,4,160800,40200.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:36:57,BUY-2026-06-10-181710-20260610T093657,181710,BUY,4,41150,164600,24.69,0.0,24.69,backtest_replay,,,,,,,4,164600,41150.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:36:57,SELL-2026-06-10-085620-20260610T093657,085620,SELL,9,21950,197550,29.6325,355.59,385.22249999999997,backtest_replay,,,,,,,9,196200,21800.0,9,197550,1350.0,935.3475,0.6881,0.4767,CLOSED
2026-06-10,2026-06-10T09:51:08,BUY-2026-06-10-008770-20260610T095108,008770,BUY,3,53700,161100,24.165,0.0,24.165,backtest_replay,,,,,,,3,161100,53700.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:51:08,SELL-2026-06-10-181710-20260610T095108,181710,SELL,4,40350,161400,24.21,290.52,314.72999999999996,backtest_replay,,,,,,,4,164600,41150.0,4,161400,-3200.0,-3539.42,-1.9441,-2.1503,CLOSED
2026-06-10,2026-06-10T09:52:59,BUY-2026-06-10-462870-20260610T095259,462870,BUY,6,30650,183900,27.585,0.0,27.585,backtest_replay,,,,,,,6,183900,30650.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:52:59,SELL-2026-06-10-008770-20260610T095259,008770,SELL,3,53900,161700,24.255,291.06,315.315,backtest_replay,,,,,,,3,161100,53700.0,3,161700,600.0,260.52,0.3724,0.1617,CLOSED
2026-06-10,2026-06-10T10:00:30,SELL-2026-06-10-081660-20260610T100030,081660,SELL,4,40350,161400,24.21,290.52,314.72999999999996,backtest_replay,,,,,,,4,160800,40200.0,4,161400,600.0,261.15,0.3731,0.1624,CLOSED
2026-06-10,2026-06-10T10:00:31,SELL-2026-06-10-462870-20260610T100031,462870,SELL,6,31100,186600,27.99,335.88,363.87,backtest_replay,,,,,,,6,183900,30650.0,6,186600,2700.0,2308.545,1.4682,1.2553,CLOSED
2026-06-10,2026-06-10T10:00:32,BUY-2026-06-10-181710-20260610T100032,181710,BUY,4,40350,161400,24.21,0.0,24.21,backtest_replay,,,,,,,8,326000,40750.0,4,161400,-1600.0,-1963.63,-0.9816,-1.2047,OPEN
2026-06-10,2026-06-10T10:00:34,BUY-2026-06-10-005090-20260610T100034,005090,BUY,3,51400,154200,23.13,0.0,23.13,backtest_replay,,,,,,,3,154200,51400.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:02:22,SELL-2026-06-10-005090-20260610T100222,005090,SELL,3,51800,155400,23.31,279.72,303.03000000000003,backtest_replay,,,,,,,3,154200,51400.0,3,155400,1200.0,873.84,0.7782,0.5667,CLOSED
2026-06-10,2026-06-10T10:02:27,BUY-2026-06-10-000430-20260610T100227,000430,BUY,34,5850,198900,29.835,0.0,29.835,backtest_replay,,,,,,,34,198900,5850.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:04:20,SELL-2026-06-10-181710-20260610T100420,181710,SELL,4,40550,162200,24.33,291.96,316.28999999999996,backtest_replay,,,,,,,8,326000,40750.0,8,323600,-2400.0,-3079.92,-0.7362,-0.9448,CLOSED
2026-06-10,2026-06-10T10:04:23,SELL-2026-06-10-000430-20260610T100423,000430,SELL,34,5750,195500,29.325,351.9,381.22499999999997,backtest_replay,,,,,,,34,198900,5850.0,34,195500,-3400.0,-3811.06,-1.7094,-1.9161,CLOSED
2026-06-10,2026-06-10T10:06:12,BUY-2026-06-10-066575-20260610T100612,066575,BUY,2,78100,156200,23.43,0.0,23.43,backtest_replay,,,,,,,2,156200,78100.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:06:13,BUY-2026-06-10-383220-20260610T100613,383220,BUY,2,75500,151000,22.65,0.0,22.65,backtest_replay,,,,,,,2,151000,75500.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:10:18,SELL-2026-06-10-066575-20260610T101018,066575,SELL,2,78400,156800,23.52,282.24,305.76,backtest_replay,,,,,,,2,156200,78100.0,2,156800,600.0,270.81,0.3841,0.1734,CLOSED
2026-06-10,2026-06-10T10:10:21,BUY-2026-06-10-192080-20260610T101021,192080,BUY,2,72200,144400,21.66,0.0,21.66,backtest_replay,,,,,,,2,144400,72200.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:19:45,SELL-2026-06-10-383220-20260610T101945,383220,SELL,2,75700,151400,22.71,272.52,295.22999999999996,backtest_replay,,,,,,,2,151000,75500.0,2,151400,400.0,82.12,0.2649,0.0544,CLOSED
2026-06-10,2026-06-10T10:19:49,BUY-2026-06-10-181710-20260610T101949,181710,BUY,4,40200,160800,24.12,0.0,24.12,backtest_replay,,,,,,,12,486800,40566.6667,8,323600,-933.3333,-1637.3733,-0.2876,-0.5045,OPEN
2026-06-10,2026-06-10T10:29:23,SELL-2026-06-10-181710-20260610T102923,181710,SELL,4,41100,164400,24.66,295.92,320.58000000000004,backtest_replay,,,,,,,12,486800,40566.6667,12,488000,1200.0,175.38,0.2465,0.0360,CLOSED
2026-06-10,2026-06-10T10:29:27,BUY-2026-06-10-092200-20260610T102927,092200,BUY,20,9810,196200,29.43,0.0,29.43,backtest_replay,,,,,,,20,196200,9810.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:33:16,BUY-2026-06-10-028670-20260610T103316,028670,BUY,40,5010,200400,30.06,0.0,30.06,backtest_replay,,,,,,,40,200400,5010.0,0,0,,,,,OPEN
