session_date,time_bucket,total_rows,with_ask_depth,missing_ask_depth,coverage_percent
2026-06-10,09:30,889,0,889,0.0
2026-06-10,10:00,1045,0,1045,0.0
2026-06-10,10:30,1046,0,1046,0.0
2026-06-10,11:00,924,0,924,0.0
2026-06-10,11:30,709,0,709,0.0
2026-06-11,09:30,900,0,900,0.0
2026-06-11,10:00,985,0,985,0.0
2026-06-11,10:30,984,0,984,0.0
2026-06-11,11:00,923,0,923,0.0
2026-06-11,11:30,852,0,852,0.0
2026-06-11,12:00,861,0,861,0.0
2026-06-11,12:30,899,0,899,0.0
2026-06-11,13:00,2813,0,2813,0.0
2026-06-11,13:30,3183,0,3183,0.0
2026-06-11,14:00,92,0,92,0.0
2026-06-12,09:30,1103,0,1103,0.0
2026-06-12,10:00,1184,0,1184,0.0
2026-06-12,10:30,1145,0,1145,0.0
2026-06-12,11:00,1326,0,1326,0.0
2026-06-12,11:30,1202,0,1202,0.0
2026-06-12,12:00,1226,0,1226,0.0
2026-06-12,12:30,1172,0,1172,0.0
2026-06-12,13:00,892,0,892,0.0
2026-06-12,13:30,852,0,852,0.0
2026-06-12,14:00,71,0,71,0.0
2026-06-15,09:30,856,0,856,0.0
2026-06-15,10:00,338,0,338,0.0
2026-06-15,10:30,585,0,585,0.0
2026-06-15,11:00,633,0,633,0.0
2026-06-15,11:30,494,0,494,0.0
2026-06-15,12:00,679,0,679,0.0
2026-06-15,12:30,552,0,552,0.0
2026-06-15,13:00,552,0,552,0.0
2026-06-15,13:30,590,0,590,0.0
2026-06-15,14:00,8,0,8,0.0
