session_date,hour_bucket,total_rows,with_ask_depth,missing_ask_depth,coverage_percent
2026-06-10,00,889,0,889,0.0
2026-06-10,01,2091,0,2091,0.0
2026-06-10,02,1633,0,1633,0.0
2026-06-11,00,900,0,900,0.0
2026-06-11,01,1969,0,1969,0.0
2026-06-11,02,1775,0,1775,0.0
2026-06-11,03,1760,0,1760,0.0
2026-06-11,04,5996,0,5996,0.0
2026-06-11,05,8856,0,8856,0.0
2026-06-11,06,7,0,7,0.0
2026-06-12,00,1103,0,1103,0.0
2026-06-12,01,2329,0,2329,0.0
2026-06-12,02,2528,0,2528,0.0
2026-06-12,03,2398,0,2398,0.0
2026-06-12,04,1744,0,1744,0.0
2026-06-12,05,1846,0,1846,0.0
2026-06-12,06,71,0,71,0.0
2026-06-15,00,856,0,856,0.0
2026-06-15,01,923,0,923,0.0
2026-06-15,02,1127,0,1127,0.0
2026-06-15,03,1231,0,1231,0.0
2026-06-15,04,1142,0,1142,0.0
2026-06-15,05,1112,0,1112,0.0
