session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,005090,2026-06-10 09:31:43,2026-06-10 11:51:37,3,52800,51700,158400,155100,force_exit_last_trace,-2.0833
2026-06-11,120110,2026-06-11 09:32:12,2026-06-11 09:35:57,2,68400,68800,136800,137600,take_profit,0.5848
2026-06-11,005090,2026-06-11 09:36:01,2026-06-11 09:57:07,3,49850,50600,149550,151800,take_profit,1.5045
2026-06-11,181710,2026-06-11 09:57:08,2026-06-11 10:05:26,4,39550,39750,158200,159000,take_profit,0.5057
2026-06-11,005090,2026-06-11 10:08:18,2026-06-11 10:10:42,3,50400,50700,151200,152100,take_profit,0.5952
2026-06-11,005090,2026-06-11 10:15:59,2026-06-11 13:05:17,3,50600,51300,151800,153900,take_profit,1.3834
2026-06-12,285130,2026-06-12 09:33:14,2026-06-12 11:22:37,5,43800,44250,219000,221250,take_profit,1.0274
2026-06-12,001800,2026-06-12 11:24:06,2026-06-12 14:02:42,8,26550,27000,212400,216000,take_profit,1.6949
2026-06-15,005090,2026-06-15 09:34:40,2026-06-15 10:57:51,4,55800,53200,223200,212800,stop_loss,-4.6595
2026-06-15,181710,2026-06-15 10:57:52,2026-06-15 14:58:56,5,39750,38650,198750,193250,force_exit_last_trace,-2.7673
2026-06-16,302440,2026-06-16 09:31:33,2026-06-16 12:16:30,5,39950,40200,199750,201000,take_profit,0.6258
2026-06-17,111770,2026-06-17 09:34:03,2026-06-17 09:49:53,2,80000,80500,160000,161000,take_profit,0.625
2026-06-17,011170,2026-06-17 09:49:54,2026-06-17 09:55:56,2,77300,78000,154600,156000,take_profit,0.9056
2026-06-17,450080,2026-06-17 09:55:56,2026-06-17 10:01:59,3,56900,57200,170700,171600,take_profit,0.5272
2026-06-17,012750,2026-06-17 10:02:04,2026-06-17 14:45:32,2,77300,73800,154600,147600,stop_loss,-4.5278
