session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,181710,2026-06-10 09:36:57,2026-06-10 10:37:15,4,41150,41450,164600,165800,take_profit,0.729
2026-06-10,028670,2026-06-10 10:44:48,2026-06-10 10:48:44,40,5000,5030,200000,201200,take_profit,0.6
2026-06-10,181710,2026-06-10 10:55:06,2026-06-10 11:51:35,4,40900,40600,163600,162400,force_exit_last_trace,-0.7335
2026-06-11,005090,2026-06-11 09:35:36,2026-06-11 09:57:07,3,49850,50600,149550,151800,take_profit,1.5045
2026-06-11,000370,2026-06-11 09:57:53,2026-06-11 10:11:16,30,6120,6160,183600,184800,take_profit,0.6536
2026-06-11,005090,2026-06-11 10:22:00,2026-06-11 10:55:12,3,49900,50400,149700,151200,take_profit,1.002
2026-06-11,000370,2026-06-11 10:55:53,2026-06-11 11:04:40,30,6060,6100,181800,183000,take_profit,0.6601
2026-06-11,181710,2026-06-11 11:04:42,2026-06-11 14:17:19,4,39050,39500,156200,158000,take_profit,1.1524
2026-06-12,285130,2026-06-12 09:33:14,2026-06-12 11:22:37,5,43800,44250,219000,221250,take_profit,1.0274
2026-06-15,012750,2026-06-15 09:42:26,2026-06-15 10:08:32,2,79500,80200,159000,160400,take_profit,0.8805
2026-06-15,352820,2026-06-15 10:08:33,2026-06-15 14:58:55,1,220500,217500,220500,217500,force_exit_last_trace,-1.3605
2026-06-16,020150,2026-06-16 09:31:34,2026-06-16 15:00:11,3,55900,55900,167700,167700,force_exit_time,0.0
2026-06-17,111770,2026-06-17 09:34:03,2026-06-17 09:49:53,2,80000,80500,160000,161000,take_profit,0.625
2026-06-17,020150,2026-06-17 09:49:56,2026-06-17 10:10:15,3,55200,55600,165600,166800,take_profit,0.7246
2026-06-17,012750,2026-06-17 09:49:56,2026-06-17 15:01:05,2,77400,73700,154800,147400,force_exit_time,-4.7804
