trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-10,2026-06-10T09:36:57,BUY-2026-06-10-181710-20260610T093657,181710,BUY,4,41150,164600,24.69,0.0,24.69,backtest_replay,,,,,,,4,164600,41150.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:37:15,SELL-2026-06-10-181710-20260610T103715,181710,SELL,4,41450,165800,24.87,298.44,323.31,backtest_replay,,,,,,,4,164600,41150.0,4,165800,1200.0,852.0,0.7290,0.5176,CLOSED
2026-06-10,2026-06-10T10:44:48,BUY-2026-06-10-028670-20260610T104448,028670,BUY,40,5000,200000,30.0,0.0,30.0,backtest_replay,,,,,,,40,200000,5000.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:48:44,SELL-2026-06-10-028670-20260610T104844,028670,SELL,40,5030,201200,30.18,362.16,392.34000000000003,backtest_replay,,,,,,,40,200000,5000.0,40,201200,1200.0,777.66,0.6000,0.3888,CLOSED
2026-06-10,2026-06-10T10:55:06,BUY-2026-06-10-181710-20260610T105506,181710,BUY,4,40900,163600,24.54,0.0,24.54,backtest_replay,,,,,,,8,328200,41025.0,4,165800,1700.0,1327.46,1.0360,0.8089,OPEN
2026-06-10,2026-06-10T11:51:35,SELL-2026-06-10-181710-20260610T115135,181710,SELL,4,40600,162400,24.36,292.32,316.68,backtest_replay,,,,,,,8,328200,41025.0,8,328200,0.0,-689.22,0.0000,-0.2100,CLOSED
2026-06-11,2026-06-11T09:35:36,BUY-2026-06-11-005090-20260611T093536,005090,BUY,3,49850,149550,22.4325,0.0,22.4325,backtest_replay,,,,,,,3,149550,49850.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:57:07,SELL-2026-06-11-005090-20260611T095707,005090,SELL,3,50600,151800,22.77,273.24,296.01,backtest_replay,,,,,,,3,149550,49850.0,3,151800,2250.0,1931.5575,1.5045,1.2916,CLOSED
2026-06-11,2026-06-11T09:57:53,BUY-2026-06-11-000370-20260611T095753,000370,BUY,30,6120,183600,27.54,0.0,27.54,backtest_replay,,,,,,,30,183600,6120.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T10:11:16,SELL-2026-06-11-000370-20260611T101116,000370,SELL,30,6160,184800,27.72,332.64,360.36,backtest_replay,,,,,,,30,183600,6120.0,30,184800,1200.0,812.1,0.6536,0.4423,CLOSED
2026-06-11,2026-06-11T10:22:00,BUY-2026-06-11-005090-20260611T102200,005090,BUY,3,49900,149700,22.455,0.0,22.455,backtest_replay,,,,,,,6,299250,49875.0,3,151800,2175.0,1834.1025,1.4536,1.2258,OPEN
2026-06-11,2026-06-11T10:55:12,SELL-2026-06-11-005090-20260611T105512,005090,SELL,3,50400,151200,22.68,272.16,294.84000000000003,backtest_replay,,,,,,,6,299250,49875.0,6,303000,3750.0,3114.2625,1.2531,1.0407,CLOSED
2026-06-11,2026-06-11T10:55:53,BUY-2026-06-11-000370-20260611T105553,000370,BUY,30,6060,181800,27.27,0.0,27.27,backtest_replay,,,,,,,60,365400,6090.0,30,184800,2100.0,1684.83,1.1494,0.9222,OPEN
2026-06-11,2026-06-11T11:04:40,SELL-2026-06-11-000370-20260611T110440,000370,SELL,30,6100,183000,27.45,329.4,356.84999999999997,backtest_replay,,,,,,,60,365400,6090.0,60,367800,2400.0,1627.98,0.6568,0.4455,CLOSED
2026-06-11,2026-06-11T11:04:42,BUY-2026-06-11-181710-20260611T110442,181710,BUY,4,39050,156200,23.43,0.0,23.43,backtest_replay,,,,,,,4,156200,39050.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T14:17:19,SELL-2026-06-11-181710-20260611T141719,181710,SELL,4,39500,158000,23.7,284.4,308.09999999999997,backtest_replay,,,,,,,4,156200,39050.0,4,158000,1800.0,1468.47,1.1524,0.9401,CLOSED
2026-06-12,2026-06-12T09:33:14,BUY-2026-06-12-285130-20260612T093314,285130,BUY,5,43800,219000,32.85,0.0,32.85,backtest_replay,,,,,,,5,219000,43800.0,0,0,,,,,OPEN
2026-06-12,2026-06-12T11:22:37,SELL-2026-06-12-285130-20260612T112237,285130,SELL,5,44250,221250,33.1875,398.25,431.4375,backtest_replay,,,,,,,5,219000,43800.0,5,221250,2250.0,1785.7125,1.0274,0.8154,CLOSED
2026-06-15,2026-06-15T09:42:26,BUY-2026-06-15-012750-20260615T094226,012750,BUY,2,79500,159000,23.85,0.0,23.85,backtest_replay,,,,,,,2,159000,79500.0,0,0,,,,,OPEN
2026-06-15,2026-06-15T10:08:32,SELL-2026-06-15-012750-20260615T100832,012750,SELL,2,80200,160400,24.06,288.72,312.78000000000003,backtest_replay,,,,,,,2,159000,79500.0,2,160400,1400.0,1063.37,0.8805,0.6688,CLOSED
2026-06-15,2026-06-15T10:08:33,BUY-2026-06-15-352820-20260615T100833,352820,BUY,1,220500,220500,33.075,0.0,33.075,backtest_replay,,,,,,,1,220500,220500.0,0,0,,,,,OPEN
2026-06-15,2026-06-15T14:58:55,SELL-2026-06-15-352820-20260615T145855,352820,SELL,1,217500,217500,32.625,391.5,424.125,backtest_replay,,,,,,,1,220500,220500.0,1,217500,-3000.0,-3457.2,-1.3605,-1.5679,CLOSED
2026-06-16,2026-06-16T09:31:34,BUY-2026-06-16-020150-20260616T093134,020150,BUY,3,55900,167700,25.155,0.0,25.155,backtest_replay,,,,,,,3,167700,55900.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T15:00:11,SELL-2026-06-16-020150-20260616T150011,020150,SELL,3,55900,167700,25.155,301.86,327.015,backtest_replay,,,,,,,3,167700,55900.0,3,167700,0.0,-352.17,0.0000,-0.2100,CLOSED
2026-06-17,2026-06-17T09:34:03,BUY-2026-06-17-111770-20260617T093403,111770,BUY,2,80000,160000,24.0,0.0,24.0,backtest_replay,,,,,,,2,160000,80000.0,0,0,,,,,OPEN
2026-06-17,2026-06-17T09:49:53,SELL-2026-06-17-111770-20260617T094953,111770,SELL,2,80500,161000,24.15,289.8,313.95,backtest_replay,,,,,,,2,160000,80000.0,2,161000,1000.0,662.05,0.6250,0.4138,CLOSED
2026-06-17,2026-06-17T09:49:56,BUY-2026-06-17-012750-20260617T094956,012750,BUY,2,77400,154800,23.22,0.0,23.22,backtest_replay,,,,,,,2,154800,77400.0,0,0,,,,,OPEN
2026-06-17,2026-06-17T09:49:56,BUY-2026-06-17-020150-20260617T094956,020150,BUY,3,55200,165600,24.84,0.0,24.84,backtest_replay,,,,,,,3,165600,55200.0,0,0,,,,,OPEN
2026-06-17,2026-06-17T10:10:15,SELL-2026-06-17-020150-20260617T101015,020150,SELL,3,55600,166800,25.02,300.24,325.26,backtest_replay,,,,,,,3,165600,55200.0,3,166800,1200.0,849.9,0.7246,0.5132,CLOSED
2026-06-17,2026-06-17T15:01:05,SELL-2026-06-17-012750-20260617T150105,012750,SELL,2,73700,147400,22.11,265.32,287.43,backtest_replay,,,,,,,2,154800,77400.0,2,147400,-7400.0,-7710.65,-4.7804,-4.9810,CLOSED
