session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,008770,2026-06-10 09:44:02,2026-06-10 09:52:58,3,53400,53900,160200,161700,take_profit,0.9363
2026-06-10,005090,2026-06-10 10:17:49,2026-06-10 10:35:24,3,52100,52600,156300,157800,take_profit,0.9597
2026-06-10,000430,2026-06-10 10:44:55,2026-06-10 10:57:03,35,5640,5690,197400,199150,take_profit,0.8865
2026-06-11,005090,2026-06-11 09:35:36,2026-06-11 09:57:07,3,49850,50600,149550,151800,take_profit,1.5045
2026-06-11,181710,2026-06-11 10:00:01,2026-06-11 10:06:01,4,39650,40050,158600,160200,take_profit,1.0088
2026-06-11,005090,2026-06-11 10:22:00,2026-06-11 10:55:12,3,49900,50400,149700,151200,take_profit,1.002
2026-06-11,181710,2026-06-11 11:01:49,2026-06-11 14:59:56,4,39450,39100,157800,156400,force_exit_last_trace,-0.8872
2026-06-12,285130,2026-06-12 09:33:14,2026-06-12 11:22:37,5,43800,44250,219000,221250,take_profit,1.0274
2026-06-15,120110,2026-06-15 09:42:33,2026-06-15 14:58:52,3,75100,72300,225300,216900,force_exit_last_trace,-3.7284
2026-06-16,020150,2026-06-16 09:31:34,2026-06-16 15:00:11,3,55900,55900,167700,167700,force_exit_time,0.0
2026-06-17,012750,2026-06-17 09:34:06,2026-06-17 13:48:10,2,77700,74200,155400,148400,stop_loss,-4.5045
