trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-10,2026-06-10T09:44:02,BUY-2026-06-10-008770-20260610T094402,008770,BUY,3,53400,160200,24.03,0.0,24.03,backtest_replay,,,,,,,3,160200,53400.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:52:58,SELL-2026-06-10-008770-20260610T095258,008770,SELL,3,53900,161700,24.255,291.06,315.315,backtest_replay,,,,,,,3,160200,53400.0,3,161700,1500.0,1160.655,0.9363,0.7245,CLOSED
2026-06-10,2026-06-10T10:17:49,BUY-2026-06-10-005090-20260610T101749,005090,BUY,3,52100,156300,23.445,0.0,23.445,backtest_replay,,,,,,,3,156300,52100.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:35:24,SELL-2026-06-10-005090-20260610T103524,005090,SELL,3,52600,157800,23.67,284.04,307.71000000000004,backtest_replay,,,,,,,3,156300,52100.0,3,157800,1500.0,1168.845,0.9597,0.7478,CLOSED
2026-06-10,2026-06-10T10:44:55,BUY-2026-06-10-000430-20260610T104455,000430,BUY,35,5640,197400,29.61,0.0,29.61,backtest_replay,,,,,,,35,197400,5640.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:57:03,SELL-2026-06-10-000430-20260610T105703,000430,SELL,35,5690,199150,29.8725,358.47,388.34250000000003,backtest_replay,,,,,,,35,197400,5640.0,35,199150,1750.0,1332.0475,0.8865,0.6748,CLOSED
2026-06-11,2026-06-11T09:35:36,BUY-2026-06-11-005090-20260611T093536,005090,BUY,3,49850,149550,22.4325,0.0,22.4325,backtest_replay,,,,,,,3,149550,49850.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:57:07,SELL-2026-06-11-005090-20260611T095707,005090,SELL,3,50600,151800,22.77,273.24,296.01,backtest_replay,,,,,,,3,149550,49850.0,3,151800,2250.0,1931.5575,1.5045,1.2916,CLOSED
2026-06-11,2026-06-11T10:00:01,BUY-2026-06-11-181710-20260611T100001,181710,BUY,4,39650,158600,23.79,0.0,23.79,backtest_replay,,,,,,,4,158600,39650.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T10:06:01,SELL-2026-06-11-181710-20260611T100601,181710,SELL,4,40050,160200,24.03,288.36,312.39,backtest_replay,,,,,,,4,158600,39650.0,4,160200,1600.0,1263.82,1.0088,0.7969,CLOSED
2026-06-11,2026-06-11T10:22:00,BUY-2026-06-11-005090-20260611T102200,005090,BUY,3,49900,149700,22.455,0.0,22.455,backtest_replay,,,,,,,6,299250,49875.0,3,151800,2175.0,1834.1025,1.4536,1.2258,OPEN
2026-06-11,2026-06-11T10:55:12,SELL-2026-06-11-005090-20260611T105512,005090,SELL,3,50400,151200,22.68,272.16,294.84000000000003,backtest_replay,,,,,,,6,299250,49875.0,6,303000,3750.0,3114.2625,1.2531,1.0407,CLOSED
2026-06-11,2026-06-11T11:01:49,BUY-2026-06-11-181710-20260611T110149,181710,BUY,4,39450,157800,23.67,0.0,23.67,backtest_replay,,,,,,,8,316400,39550.0,4,160200,2000.0,1640.15,1.2642,1.0368,OPEN
2026-06-11,2026-06-11T14:59:56,SELL-2026-06-11-181710-20260611T145956,181710,SELL,4,39100,156400,23.46,281.52,304.97999999999996,backtest_replay,,,,,,,8,316400,39550.0,8,316600,200.0,-464.83,0.0632,-0.1469,CLOSED
2026-06-12,2026-06-12T09:33:14,BUY-2026-06-12-285130-20260612T093314,285130,BUY,5,43800,219000,32.85,0.0,32.85,backtest_replay,,,,,,,5,219000,43800.0,0,0,,,,,OPEN
2026-06-12,2026-06-12T11:22:37,SELL-2026-06-12-285130-20260612T112237,285130,SELL,5,44250,221250,33.1875,398.25,431.4375,backtest_replay,,,,,,,5,219000,43800.0,5,221250,2250.0,1785.7125,1.0274,0.8154,CLOSED
2026-06-15,2026-06-15T09:42:33,BUY-2026-06-15-120110-20260615T094233,120110,BUY,3,75100,225300,33.795,0.0,33.795,backtest_replay,,,,,,,3,225300,75100.0,0,0,,,,,OPEN
2026-06-15,2026-06-15T14:58:52,SELL-2026-06-15-120110-20260615T145852,120110,SELL,3,72300,216900,32.535,390.42,422.95500000000004,backtest_replay,,,,,,,3,225300,75100.0,3,216900,-8400.0,-8856.75,-3.7284,-3.9311,CLOSED
2026-06-16,2026-06-16T09:31:34,BUY-2026-06-16-020150-20260616T093134,020150,BUY,3,55900,167700,25.155,0.0,25.155,backtest_replay,,,,,,,3,167700,55900.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T15:00:11,SELL-2026-06-16-020150-20260616T150011,020150,SELL,3,55900,167700,25.155,301.86,327.015,backtest_replay,,,,,,,3,167700,55900.0,3,167700,0.0,-352.17,0.0000,-0.2100,CLOSED
2026-06-17,2026-06-17T09:34:06,BUY-2026-06-17-012750-20260617T093406,012750,BUY,2,77700,155400,23.31,0.0,23.31,backtest_replay,,,,,,,2,155400,77700.0,0,0,,,,,OPEN
2026-06-17,2026-06-17T13:48:10,SELL-2026-06-17-012750-20260617T134810,012750,SELL,2,74200,148400,22.26,267.12,289.38,backtest_replay,,,,,,,2,155400,77700.0,2,148400,-7000.0,-7312.69,-4.5045,-4.7057,CLOSED
