trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-10,2026-06-10T09:31:43,BUY-2026-06-10-005090-20260610T093143,005090,BUY,3,52800,158400,23.76,0.0,23.76,backtest_replay,,,,,,,3,158400,52800.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:33:26,SELL-2026-06-10-005090-20260610T093326,005090,SELL,3,52100,156300,23.445,281.34,304.78499999999997,backtest_replay,,,,,,,3,158400,52800.0,3,156300,-2100.0,-2428.545,-1.3258,-1.5332,CLOSED
2026-06-10,2026-06-10T09:33:28,BUY-2026-06-10-028670-20260610T093328,028670,BUY,39,5110,199290,29.8935,0.0,29.8935,backtest_replay,,,,,,,39,199290,5110.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:36:55,BUY-2026-06-10-004990-20260610T093655,004990,BUY,7,25550,178850,26.8275,0.0,26.8275,backtest_replay,,,,,,,7,178850,25550.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:36:57,BUY-2026-06-10-181710-20260610T093657,181710,BUY,4,41150,164600,24.69,0.0,24.69,backtest_replay,,,,,,,4,164600,41150.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:42:09,SELL-2026-06-10-028670-20260610T094209,028670,SELL,39,5060,197340,29.601,355.212,384.813,backtest_replay,,,,,,,39,199290,5110.0,39,197340,-1950.0,-2364.7065,-0.9785,-1.1866,CLOSED
2026-06-10,2026-06-10T09:42:11,BUY-2026-06-10-008770-20260610T094211,008770,BUY,3,53600,160800,24.12,0.0,24.12,backtest_replay,,,,,,,3,160800,53600.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:44:04,SELL-2026-06-10-181710-20260610T094404,181710,SELL,4,40700,162800,24.42,293.04,317.46000000000004,backtest_replay,,,,,,,4,164600,41150.0,4,162800,-1800.0,-2142.15,-1.0936,-1.3014,CLOSED
2026-06-10,2026-06-10T09:44:07,BUY-2026-06-10-192080-20260610T094407,192080,BUY,2,71800,143600,21.54,0.0,21.54,backtest_replay,,,,,,,2,143600,71800.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:52:58,SELL-2026-06-10-008770-20260610T095258,008770,SELL,3,53900,161700,24.255,291.06,315.315,backtest_replay,,,,,,,3,160800,53600.0,3,161700,900.0,560.565,0.5597,0.3486,CLOSED
2026-06-10,2026-06-10T09:53:01,BUY-2026-06-10-281820-20260610T095301,281820,BUY,3,66000,198000,29.7,0.0,29.7,backtest_replay,,,,,,,3,198000,66000.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:54:54,SELL-2026-06-10-281820-20260610T095454,281820,SELL,3,66400,199200,29.88,358.56,388.44,backtest_replay,,,,,,,3,198000,66000.0,3,199200,1200.0,781.86,0.6061,0.3949,CLOSED
2026-06-10,2026-06-10T09:54:56,BUY-2026-06-10-000430-20260610T095456,000430,BUY,34,5850,198900,29.835,0.0,29.835,backtest_replay,,,,,,,34,198900,5850.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:56:42,SELL-2026-06-10-192080-20260610T095642,192080,SELL,2,72200,144400,21.66,259.92,281.58000000000004,backtest_replay,,,,,,,2,143600,71800.0,2,144400,800.0,496.88,0.5571,0.3460,CLOSED
2026-06-10,2026-06-10T09:56:43,BUY-2026-06-10-181710-20260610T095643,181710,BUY,4,40200,160800,24.12,0.0,24.12,backtest_replay,,,,,,,8,325400,40675.0,4,162800,100.0,-266.27,0.0615,-0.1637,OPEN
2026-06-10,2026-06-10T09:56:46,SELL-2026-06-10-000430-20260610T095646,000430,SELL,34,5900,200600,30.09,361.08,391.16999999999996,backtest_replay,,,,,,,34,198900,5850.0,34,200600,1700.0,1278.995,0.8547,0.6430,CLOSED
2026-06-10,2026-06-10T09:58:36,BUY-2026-06-10-078930-20260610T095836,078930,BUY,2,73200,146400,21.96,0.0,21.96,backtest_replay,,,,,,,2,146400,73200.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:04:20,SELL-2026-06-10-181710-20260610T100420,181710,SELL,4,40550,162200,24.33,291.96,316.28999999999996,backtest_replay,,,,,,,8,325400,40675.0,8,325000,-400.0,-1082.56,-0.1229,-0.3327,CLOSED
2026-06-10,2026-06-10T10:04:24,BUY-2026-06-10-000430-20260610T100424,000430,BUY,34,5750,195500,29.325,0.0,29.325,backtest_replay,,,,,,,68,394400,5800.0,34,200600,3400.0,2949.67,1.7241,1.4958,OPEN
2026-06-10,2026-06-10T10:17:49,BUY-2026-06-10-005090-20260610T101749,005090,BUY,3,52100,156300,23.445,0.0,23.445,backtest_replay,,,,,,,6,314700,52450.0,3,156300,-1050.0,-1401.99,-0.6673,-0.8910,OPEN
2026-06-10,2026-06-10T10:17:49,SELL-2026-06-10-004990-20260610T101749,004990,SELL,7,25700,179900,26.985,323.82,350.805,backtest_replay,,,,,,,7,178850,25550.0,7,179900,1050.0,672.3675,0.5871,0.3759,CLOSED
2026-06-10,2026-06-10T10:23:43,SELL-2026-06-10-000430-20260610T102343,000430,SELL,34,5790,196860,29.529,354.348,383.877,backtest_replay,,,,,,,68,394400,5800.0,68,397460,3060.0,2225.793,0.7759,0.5643,CLOSED
2026-06-10,2026-06-10T10:33:21,BUY-2026-06-10-000430-20260610T103321,000430,BUY,35,5720,200200,30.03,0.0,30.03,backtest_replay,,,,,,,103,594600,5772.8155,68,397460,4908.5437,4044.3067,1.2504,1.0303,OPEN
2026-06-10,2026-06-10T10:35:16,SELL-2026-06-10-078930-20260610T103516,078930,SELL,2,73700,147400,22.11,265.32,287.43,backtest_replay,,,,,,,2,146400,73200.0,2,147400,1000.0,690.61,0.6831,0.4717,CLOSED
