trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-10,2026-06-10T09:31:43,BUY-2026-06-10-005090-20260610T093143,005090,BUY,3,52800,158400,23.76,0.0,23.76,backtest_replay,,,,,,,3,158400,52800.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:33:28,BUY-2026-06-10-028670-20260610T093328,028670,BUY,39,5110,199290,29.8935,0.0,29.8935,backtest_replay,,,,,,,39,199290,5110.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:36:55,BUY-2026-06-10-004990-20260610T093655,004990,BUY,7,25550,178850,26.8275,0.0,26.8275,backtest_replay,,,,,,,7,178850,25550.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:17:49,SELL-2026-06-10-004990-20260610T101749,004990,SELL,7,25700,179900,26.985,323.82,350.805,backtest_replay,,,,,,,7,178850,25550.0,7,179900,1050.0,672.3675,0.5871,0.3759,CLOSED
2026-06-10,2026-06-10T10:33:21,BUY-2026-06-10-000430-20260610T103321,000430,BUY,35,5720,200200,30.03,0.0,30.03,backtest_replay,,,,,,,35,200200,5720.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:35:28,SELL-2026-06-10-000430-20260610T103528,000430,SELL,35,5790,202650,30.3975,364.77,395.16749999999996,backtest_replay,,,,,,,35,200200,5720.0,35,202650,2450.0,2024.8025,1.2238,1.0114,CLOSED
2026-06-10,2026-06-10T10:43:03,BUY-2026-06-10-000430-20260610T104303,000430,BUY,35,5700,199500,29.925,0.0,29.925,backtest_replay,,,,,,,70,399700,5710.0,35,202650,2800.0,2344.8775,1.4011,1.1733,OPEN
2026-06-10,2026-06-10T11:51:37,SELL-2026-06-10-005090-20260610T115137,005090,SELL,3,51700,155100,23.265,279.18,302.445,backtest_replay,,,,,,,3,158400,52800.0,3,155100,-3300.0,-3626.205,-2.0833,-2.2893,CLOSED
2026-06-10,2026-06-10T11:51:38,SELL-2026-06-10-028670-20260610T115138,028670,SELL,39,5080,198120,29.718,356.616,386.334,backtest_replay,,,,,,,39,199290,5110.0,39,198120,-1170.0,-1586.2275,-0.5871,-0.7959,CLOSED
2026-06-10,2026-06-10T11:51:39,SELL-2026-06-10-000430-20260610T115139,000430,SELL,35,5590,195650,29.3475,352.17,381.51750000000004,backtest_replay,,,,,,,70,399700,5710.0,70,398300,-1400.0,-2236.64,-0.3503,-0.5596,CLOSED
