session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,085620,2026-06-10 09:31:36,2026-06-10 09:36:57,9,21800,21950,196200,197550,take_profit,0.6881
2026-06-10,069960,2026-06-10 09:31:35,2026-06-10 09:42:08,1,165200,166200,165200,166200,take_profit,0.6053
2026-06-10,085620,2026-06-10 09:42:08,2026-06-10 09:49:11,9,21600,21700,194400,195300,take_profit,0.463
2026-06-10,036460,2026-06-10 09:49:11,2026-06-10 09:54:52,5,34150,34250,170750,171250,take_profit,0.2928
2026-06-10,000430,2026-06-10 09:54:55,2026-06-10 09:56:46,34,5850,5900,198900,200600,take_profit,0.8547
2026-06-10,092200,2026-06-10 09:56:46,2026-06-10 10:00:35,20,9790,9870,195800,197400,take_profit,0.8172
2026-06-10,005940,2026-06-10 09:31:32,2026-06-10 10:04:11,6,30650,30850,183900,185100,take_profit,0.6525
2026-06-10,000430,2026-06-10 10:00:35,2026-06-10 10:14:10,34,5860,5710,199240,194140,stop_loss,-2.5597
2026-06-10,181710,2026-06-10 09:36:57,2026-06-10 10:15:58,4,41150,40100,164600,160400,stop_loss,-2.5516
2026-06-10,092200,2026-06-10 10:14:11,2026-06-10 10:17:55,20,9770,9830,195400,196600,take_profit,0.6141
2026-06-10,175330,2026-06-10 10:17:55,2026-06-10 10:19:43,7,25600,25650,179200,179550,take_profit,0.1953
2026-06-10,005090,2026-06-10 10:16:00,2026-06-10 10:21:40,3,52100,52400,156300,157200,take_profit,0.5758
2026-06-10,181710,2026-06-10 10:21:42,2026-06-10 10:23:40,4,40150,40300,160600,161200,take_profit,0.3736
2026-06-10,005090,2026-06-10 10:23:42,2026-06-10 10:35:26,3,52200,52600,156600,157800,take_profit,0.7663
2026-06-10,064400,2026-06-10 10:37:18,2026-06-10 10:50:53,2,96400,96600,192800,193200,take_profit,0.2075
2026-06-10,005940,2026-06-10 10:50:53,2026-06-10 10:59:04,6,31100,31150,186600,186900,take_profit,0.1608
2026-06-10,192080,2026-06-10 10:59:13,2026-06-10 11:29:09,2,71300,71600,142600,143200,take_profit,0.4208
2026-06-10,028670,2026-06-10 10:19:45,2026-06-10 11:30:17,39,5050,5070,196950,197730,take_profit,0.396
2026-06-10,181710,2026-06-10 11:29:09,2026-06-10 11:49:46,4,40450,40600,161800,162400,take_profit,0.3708
2026-06-10,161390,2026-06-10 10:04:12,2026-06-10 11:51:41,2,72000,70900,144000,141800,force_exit_last_trace,-1.5278
2026-06-10,009420,2026-06-10 11:30:20,2026-06-10 11:51:41,4,49900,49750,199600,199000,force_exit_last_trace,-0.3006
2026-06-11,180640,2026-06-11 09:32:11,2026-06-11 09:33:36,1,112700,113700,112700,113700,take_profit,0.8873
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 09:45:37,7,23350,22750,163450,159250,stop_loss,-2.5696
2026-06-11,085620,2026-06-11 09:32:12,2026-06-11 09:45:39,8,20750,20100,166000,160800,stop_loss,-3.1325
2026-06-11,279570,2026-06-11 09:45:41,2026-06-11 09:46:17,32,5710,5730,182720,183360,take_profit,0.3503
2026-06-11,009420,2026-06-11 09:45:40,2026-06-11 09:46:20,3,49250,49500,147750,148500,take_profit,0.5076
2026-06-11,000430,2026-06-11 09:46:17,2026-06-11 09:53:48,35,5220,5050,182700,176750,stop_loss,-3.2567
2026-06-11,000430,2026-06-11 09:54:22,2026-06-11 09:57:11,36,5030,5070,181080,182520,take_profit,0.7952
2026-06-11,181710,2026-06-11 09:46:20,2026-06-11 10:05:25,4,39500,39750,158000,159000,take_profit,0.6329
2026-06-11,005090,2026-06-11 10:05:26,2026-06-11 10:05:58,3,50700,50800,152100,152400,take_profit,0.1972
2026-06-11,323410,2026-06-11 10:05:58,2026-06-11 10:08:01,8,22850,22950,182800,183600,take_profit,0.4376
2026-06-11,475150,2026-06-11 10:08:07,2026-06-11 10:19:18,4,41250,41450,165000,165800,take_profit,0.4848
2026-06-11,092200,2026-06-11 09:57:11,2026-06-11 10:49:14,19,9300,9360,176700,177840,take_profit,0.6452
2026-06-11,005090,2026-06-11 10:19:20,2026-06-11 10:55:12,3,50100,50400,150300,151200,take_profit,0.5988
2026-06-11,323410,2026-06-11 10:55:53,2026-06-11 10:58:54,8,22700,22800,181600,182400,take_profit,0.4405
2026-06-11,005090,2026-06-11 10:58:55,2026-06-11 11:13:08,3,50100,50300,150300,150900,take_profit,0.3992
2026-06-11,181710,2026-06-11 10:49:16,2026-06-11 11:31:25,4,39500,38500,158000,154000,stop_loss,-2.5316
2026-06-11,012750,2026-06-11 09:33:36,2026-06-11 12:04:33,2,72400,72600,144800,145200,take_profit,0.2762
2026-06-11,499790,2026-06-11 11:31:25,2026-06-11 12:07:56,3,50000,50300,150000,150900,take_profit,0.6
2026-06-11,003160,2026-06-11 11:13:08,2026-06-11 13:25:50,6,28600,28650,171600,171900,take_profit,0.1748
2026-06-12,443060,2026-06-12 09:33:00,2026-06-12 09:38:37,1,248500,251500,248500,251500,take_profit,1.2072
2026-06-12,042700,2026-06-12 09:32:56,2026-06-12 09:43:00,1,303500,304500,303500,304500,take_profit,0.3295
2026-06-12,047040,2026-06-12 09:38:39,2026-06-12 09:52:14,14,21950,22050,307300,308700,take_profit,0.4556
2026-06-12,047050,2026-06-12 09:43:05,2026-06-12 09:58:47,5,58800,59000,294000,295000,take_profit,0.3401
2026-06-12,014830,2026-06-12 09:58:47,2026-06-12 10:03:40,4,71900,72100,287600,288400,take_profit,0.2782
2026-06-12,078930,2026-06-12 09:52:15,2026-06-12 10:50:37,4,73300,73700,293200,294800,take_profit,0.5457
2026-06-12,009970,2026-06-12 10:50:38,2026-06-12 10:54:23,1,188100,189500,188100,189500,take_profit,0.7443
2026-06-12,020150,2026-06-12 10:54:23,2026-06-12 11:00:13,5,56400,56600,282000,283000,take_profit,0.3546
2026-06-12,009970,2026-06-12 11:00:13,2026-06-12 11:39:46,1,189200,190400,189200,190400,take_profit,0.6342
2026-06-12,499790,2026-06-12 11:39:50,2026-06-12 11:55:23,6,49750,49900,298500,299400,take_profit,0.3015
2026-06-12,192080,2026-06-12 10:03:40,2026-06-12 13:27:48,4,72300,72700,289200,290800,take_profit,0.5533
2026-06-12,030200,2026-06-12 09:32:59,2026-06-12 13:55:26,5,57500,56000,287500,280000,stop_loss,-2.6087
2026-06-15,103590,2026-06-15 09:34:24,2026-06-15 09:37:56,3,87900,88500,263700,265500,take_profit,0.6826
2026-06-15,005090,2026-06-15 09:37:56,2026-06-15 10:23:37,5,55600,54100,278000,270500,stop_loss,-2.6978
2026-06-15,009420,2026-06-15 10:23:38,2026-06-15 10:28:00,5,51700,52200,258500,261000,take_profit,0.9671
2026-06-15,020150,2026-06-15 10:28:00,2026-06-15 11:20:05,5,54700,54800,273500,274000,take_profit,0.1828
2026-06-15,066570,2026-06-15 11:20:05,2026-06-15 11:22:24,1,242500,244000,242500,244000,take_profit,0.6186
2026-06-15,090460,2026-06-15 11:22:24,2026-06-15 11:24:36,11,26600,26700,292600,293700,take_profit,0.3759
2026-06-15,001510,2026-06-15 11:24:37,2026-06-15 11:30:25,94,3245,3255,305030,305970,take_profit,0.3082
2026-06-15,090460,2026-06-15 11:30:25,2026-06-15 11:34:53,11,26650,26700,293150,293700,take_profit,0.1876
2026-06-15,001510,2026-06-15 11:34:54,2026-06-15 12:02:50,93,3265,3275,303645,304575,take_profit,0.3063
2026-06-15,352820,2026-06-15 09:34:14,2026-06-15 13:47:40,1,224000,218000,224000,218000,stop_loss,-2.6786
2026-06-15,036570,2026-06-15 09:34:21,2026-06-15 09:34:21,1,267000,267000,267000,267000,force_exit_last_trace,0.0
2026-06-16,036570,2026-06-16 09:31:26,2026-06-16 09:53:55,1,263500,264000,263500,264000,take_profit,0.1898
2026-06-16,336260,2026-06-16 09:53:57,2026-06-16 09:57:33,3,77700,78000,233100,234000,take_profit,0.3861
2026-06-16,022100,2026-06-16 09:57:34,2026-06-16 10:03:55,10,28200,28300,282000,283000,take_profit,0.3546
2026-06-16,036460,2026-06-16 10:03:56,2026-06-16 10:05:03,8,36300,36500,290400,292000,take_profit,0.551
2026-06-16,081660,2026-06-16 10:05:03,2026-06-16 10:34:50,6,43200,44800,259200,268800,take_profit,3.7037
2026-06-16,161890,2026-06-16 10:34:52,2026-06-16 13:24:08,3,87900,85700,263700,257100,stop_loss,-2.5028
2026-06-16,066570,2026-06-16 09:31:09,2026-06-16 13:51:17,1,238500,236000,238500,236000,force_exit_last_trace,-1.0482
2026-06-16,005387,2026-06-16 09:31:20,2026-06-16 13:51:28,1,255000,253500,255000,253500,force_exit_last_trace,-0.5882
