trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-10,2026-06-10T09:31:32,BUY-2026-06-10-005940-20260610T093132,005940,BUY,6,30650,183900,27.585,0.0,27.585,backtest_replay,,,,,,,6,183900,30650.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:31:35,BUY-2026-06-10-069960-20260610T093135,069960,BUY,1,165200,165200,24.78,0.0,24.78,backtest_replay,,,,,,,1,165200,165200.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:31:36,BUY-2026-06-10-085620-20260610T093136,085620,BUY,9,21800,196200,29.43,0.0,29.43,backtest_replay,,,,,,,9,196200,21800.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:36:57,BUY-2026-06-10-181710-20260610T093657,181710,BUY,4,41150,164600,24.69,0.0,24.69,backtest_replay,,,,,,,4,164600,41150.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:36:57,SELL-2026-06-10-085620-20260610T093657,085620,SELL,9,21950,197550,29.6325,355.59,385.22249999999997,backtest_replay,,,,,,,9,196200,21800.0,9,197550,1350.0,935.3475,0.6881,0.4767,CLOSED
2026-06-10,2026-06-10T09:42:08,BUY-2026-06-10-085620-20260610T094208,085620,BUY,9,21600,194400,29.16,0.0,29.16,backtest_replay,,,,,,,18,390600,21700.0,9,197550,2250.0,1806.1875,1.1521,0.9248,OPEN
2026-06-10,2026-06-10T09:42:08,SELL-2026-06-10-069960-20260610T094208,069960,SELL,1,166200,166200,24.93,299.16,324.09000000000003,backtest_replay,,,,,,,1,165200,165200.0,1,166200,1000.0,651.13,0.6053,0.3941,CLOSED
2026-06-10,2026-06-10T09:49:11,BUY-2026-06-10-036460-20260610T094911,036460,BUY,5,34150,170750,25.6125,0.0,25.6125,backtest_replay,,,,,,,5,170750,34150.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:49:11,SELL-2026-06-10-085620-20260610T094911,085620,SELL,9,21700,195300,29.295,351.54,380.83500000000004,backtest_replay,,,,,,,18,390600,21700.0,18,392850,2250.0,1425.3525,0.5760,0.3649,CLOSED
2026-06-10,2026-06-10T09:54:52,SELL-2026-06-10-036460-20260610T095452,036460,SELL,5,34250,171250,25.6875,308.25,333.9375,backtest_replay,,,,,,,5,170750,34150.0,5,171250,500.0,140.45,0.2928,0.0823,CLOSED
2026-06-10,2026-06-10T09:54:55,BUY-2026-06-10-000430-20260610T095455,000430,BUY,34,5850,198900,29.835,0.0,29.835,backtest_replay,,,,,,,34,198900,5850.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:56:46,BUY-2026-06-10-092200-20260610T095646,092200,BUY,20,9790,195800,29.37,0.0,29.37,backtest_replay,,,,,,,20,195800,9790.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:56:46,SELL-2026-06-10-000430-20260610T095646,000430,SELL,34,5900,200600,30.09,361.08,391.16999999999996,backtest_replay,,,,,,,34,198900,5850.0,34,200600,1700.0,1278.995,0.8547,0.6430,CLOSED
2026-06-10,2026-06-10T10:00:35,BUY-2026-06-10-000430-20260610T100035,000430,BUY,34,5860,199240,29.886,0.0,29.886,backtest_replay,,,,,,,68,398140,5855.0,34,200600,1530.0,1079.109,0.7686,0.5421,OPEN
2026-06-10,2026-06-10T10:00:35,SELL-2026-06-10-092200-20260610T100035,092200,SELL,20,9870,197400,29.61,355.32,384.93,backtest_replay,,,,,,,20,195800,9790.0,20,197400,1600.0,1185.7,0.8172,0.6056,CLOSED
2026-06-10,2026-06-10T10:04:11,SELL-2026-06-10-005940-20260610T100411,005940,SELL,6,30850,185100,27.765,333.18,360.945,backtest_replay,,,,,,,6,183900,30650.0,6,185100,1200.0,811.47,0.6525,0.4413,CLOSED
2026-06-10,2026-06-10T10:04:12,BUY-2026-06-10-161390-20260610T100412,161390,BUY,2,72000,144000,21.6,0.0,21.6,backtest_replay,,,,,,,2,144000,72000.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:14:10,SELL-2026-06-10-000430-20260610T101410,000430,SELL,34,5710,194140,29.121,349.452,378.573,backtest_replay,,,,,,,68,398140,5855.0,68,394740,-3400.0,-4229.464,-0.8540,-1.0623,CLOSED
2026-06-10,2026-06-10T10:14:11,BUY-2026-06-10-092200-20260610T101411,092200,BUY,20,9770,195400,29.31,0.0,29.31,backtest_replay,,,,,,,40,391200,9780.0,20,197400,1800.0,1356.39,0.9202,0.6935,OPEN
2026-06-10,2026-06-10T10:15:58,SELL-2026-06-10-181710-20260610T101558,181710,SELL,4,40100,160400,24.06,288.72,312.78000000000003,backtest_replay,,,,,,,4,164600,41150.0,4,160400,-4200.0,-4537.47,-2.5516,-2.7567,CLOSED
2026-06-10,2026-06-10T10:16:00,BUY-2026-06-10-005090-20260610T101600,005090,BUY,3,52100,156300,23.445,0.0,23.445,backtest_replay,,,,,,,3,156300,52100.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:17:55,BUY-2026-06-10-175330-20260610T101755,175330,BUY,7,25600,179200,26.88,0.0,26.88,backtest_replay,,,,,,,7,179200,25600.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:17:55,SELL-2026-06-10-092200-20260610T101755,092200,SELL,20,9830,196600,29.49,353.88,383.37,backtest_replay,,,,,,,40,391200,9780.0,40,394000,2800.0,1973.02,0.7157,0.5044,CLOSED
2026-06-10,2026-06-10T10:19:43,SELL-2026-06-10-175330-20260610T101943,175330,SELL,7,25650,179550,26.9325,323.19,350.1225,backtest_replay,,,,,,,7,179200,25600.0,7,179550,350.0,-27.0025,0.1953,-0.0151,CLOSED
2026-06-10,2026-06-10T10:19:45,BUY-2026-06-10-028670-20260610T101945,028670,BUY,39,5050,196950,29.5425,0.0,29.5425,backtest_replay,,,,,,,39,196950,5050.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:21:40,SELL-2026-06-10-005090-20260610T102140,005090,SELL,3,52400,157200,23.58,282.96,306.53999999999996,backtest_replay,,,,,,,3,156300,52100.0,3,157200,900.0,570.015,0.5758,0.3647,CLOSED
2026-06-10,2026-06-10T10:21:42,BUY-2026-06-10-181710-20260610T102142,181710,BUY,4,40150,160600,24.09,0.0,24.09,backtest_replay,,,,,,,8,325200,40650.0,4,160400,-2200.0,-2561.56,-1.3530,-1.5754,OPEN
2026-06-10,2026-06-10T10:23:40,SELL-2026-06-10-181710-20260610T102340,181710,SELL,4,40300,161200,24.18,290.16,314.34000000000003,backtest_replay,,,,,,,8,325200,40650.0,8,321600,-3600.0,-4275.9,-1.1070,-1.3149,CLOSED
2026-06-10,2026-06-10T10:23:42,BUY-2026-06-10-005090-20260610T102342,005090,BUY,3,52200,156600,23.49,0.0,23.49,backtest_replay,,,,,,,6,312900,52150.0,3,157200,750.0,396.525,0.4794,0.2535,OPEN
