session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,005090,2026-06-10 09:31:42,2026-06-10 09:35:09,3,52800,52000,158400,156000,stop_loss,-1.5152
2026-06-10,000370,2026-06-10 09:35:09,2026-06-10 09:38:42,31,6400,6430,198400,199330,take_profit,0.4688
2026-06-10,008770,2026-06-10 09:40:30,2026-06-10 09:52:59,3,53600,53900,160800,161700,take_profit,0.5597
2026-06-10,081660,2026-06-10 09:31:39,2026-06-10 10:00:30,4,40200,40350,160800,161400,take_profit,0.3731
2026-06-10,462870,2026-06-10 09:52:59,2026-06-10 10:00:31,6,30650,31100,183900,186600,take_profit,1.4682
2026-06-10,005090,2026-06-10 10:00:34,2026-06-10 10:02:22,3,51400,51800,154200,155400,take_profit,0.7782
2026-06-10,181710,2026-06-10 10:00:32,2026-06-10 10:04:20,4,40350,40550,161400,162200,take_profit,0.4957
2026-06-10,000430,2026-06-10 10:02:27,2026-06-10 10:04:23,34,5850,5750,198900,195500,stop_loss,-1.7094
2026-06-10,069960,2026-06-10 10:08:20,2026-06-10 10:14:12,1,162100,163500,162100,163500,take_profit,0.8637
2026-06-10,069960,2026-06-10 10:15:53,2026-06-10 10:17:55,1,162900,163900,162900,163900,take_profit,0.6139
2026-06-10,181710,2026-06-10 10:19:49,2026-06-10 10:29:23,4,40200,41100,160800,164400,take_profit,2.2388
2026-06-10,004990,2026-06-10 09:31:38,2026-06-10 10:33:16,7,25700,25800,179900,180600,take_profit,0.3891
2026-06-10,088350,2026-06-10 10:31:19,2026-06-10 10:33:23,41,4875,4890,199875,200490,take_profit,0.3077
2026-06-10,028670,2026-06-10 10:33:16,2026-06-10 10:48:46,40,5010,5030,200400,201200,take_profit,0.3992
2026-06-10,092200,2026-06-10 10:06:16,2026-06-10 10:48:52,20,9870,9710,197400,194200,stop_loss,-1.6211
2026-06-10,078930,2026-06-10 10:48:50,2026-06-10 10:50:55,2,73800,74100,147600,148200,take_profit,0.4065
2026-06-10,000430,2026-06-10 10:51:06,2026-06-10 10:57:03,35,5630,5690,197050,199150,take_profit,1.0657
2026-06-10,192080,2026-06-10 10:59:13,2026-06-10 11:29:09,2,71300,71600,142600,143200,take_profit,0.4208
2026-06-10,028670,2026-06-10 10:50:59,2026-06-10 11:30:17,39,5040,5070,196560,197730,take_profit,0.5952
2026-06-10,181710,2026-06-10 11:29:09,2026-06-10 11:49:46,4,40450,40600,161800,162400,take_profit,0.3708
2026-06-10,161390,2026-06-10 10:35:15,2026-06-10 11:51:41,2,71600,70900,143200,141800,force_exit_last_trace,-0.9777
2026-06-10,009420,2026-06-10 11:30:20,2026-06-10 11:51:41,4,49900,49750,199600,199000,force_exit_last_trace,-0.3006
2026-06-10,281820,2026-06-10 11:49:46,2026-06-10 11:51:43,3,66100,66500,198300,199500,force_exit_last_trace,0.6051
2026-06-11,120110,2026-06-11 09:32:14,2026-06-11 09:35:59,2,68400,68800,136800,137600,take_profit,0.5848
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 09:38:29,7,23350,22900,163450,160300,stop_loss,-1.9272
