trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-10,2026-06-10T09:31:38,BUY-2026-06-10-004990-20260610T093138,004990,BUY,7,25700,179900,26.985,0.0,26.985,backtest_replay,,,,,,,7,179900,25700.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:31:39,BUY-2026-06-10-081660-20260610T093139,081660,BUY,4,40200,160800,24.12,0.0,24.12,backtest_replay,,,,,,,4,160800,40200.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:31:42,BUY-2026-06-10-005090-20260610T093142,005090,BUY,3,52800,158400,23.76,0.0,23.76,backtest_replay,,,,,,,3,158400,52800.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:35:09,BUY-2026-06-10-000370-20260610T093509,000370,BUY,31,6400,198400,29.76,0.0,29.76,backtest_replay,,,,,,,31,198400,6400.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:35:09,SELL-2026-06-10-005090-20260610T093509,005090,SELL,3,52000,156000,23.4,280.8,304.2,backtest_replay,,,,,,,3,158400,52800.0,3,156000,-2400.0,-2727.96,-1.5152,-1.7222,CLOSED
2026-06-10,2026-06-10T09:38:42,SELL-2026-06-10-000370-20260610T093842,000370,SELL,31,6430,199330,29.8995,358.794,388.6935,backtest_replay,,,,,,,31,198400,6400.0,31,199330,930.0,511.5465,0.4688,0.2578,CLOSED
2026-06-10,2026-06-10T09:40:30,BUY-2026-06-10-008770-20260610T094030,008770,BUY,3,53600,160800,24.12,0.0,24.12,backtest_replay,,,,,,,3,160800,53600.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:52:59,BUY-2026-06-10-462870-20260610T095259,462870,BUY,6,30650,183900,27.585,0.0,27.585,backtest_replay,,,,,,,6,183900,30650.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:52:59,SELL-2026-06-10-008770-20260610T095259,008770,SELL,3,53900,161700,24.255,291.06,315.315,backtest_replay,,,,,,,3,160800,53600.0,3,161700,900.0,560.565,0.5597,0.3486,CLOSED
2026-06-10,2026-06-10T10:00:30,SELL-2026-06-10-081660-20260610T100030,081660,SELL,4,40350,161400,24.21,290.52,314.72999999999996,backtest_replay,,,,,,,4,160800,40200.0,4,161400,600.0,261.15,0.3731,0.1624,CLOSED
2026-06-10,2026-06-10T10:00:31,SELL-2026-06-10-462870-20260610T100031,462870,SELL,6,31100,186600,27.99,335.88,363.87,backtest_replay,,,,,,,6,183900,30650.0,6,186600,2700.0,2308.545,1.4682,1.2553,CLOSED
2026-06-10,2026-06-10T10:00:32,BUY-2026-06-10-181710-20260610T100032,181710,BUY,4,40350,161400,24.21,0.0,24.21,backtest_replay,,,,,,,4,161400,40350.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:00:34,BUY-2026-06-10-005090-20260610T100034,005090,BUY,3,51400,154200,23.13,0.0,23.13,backtest_replay,,,,,,,6,312600,52100.0,3,156000,-300.0,-651.09,-0.1919,-0.4166,OPEN
2026-06-10,2026-06-10T10:02:22,SELL-2026-06-10-005090-20260610T100222,005090,SELL,3,51800,155400,23.31,279.72,303.03000000000003,backtest_replay,,,,,,,6,312600,52100.0,6,311400,-1200.0,-1854.12,-0.3839,-0.5931,CLOSED
2026-06-10,2026-06-10T10:02:27,BUY-2026-06-10-000430-20260610T100227,000430,BUY,34,5850,198900,29.835,0.0,29.835,backtest_replay,,,,,,,34,198900,5850.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:04:20,SELL-2026-06-10-181710-20260610T100420,181710,SELL,4,40550,162200,24.33,291.96,316.28999999999996,backtest_replay,,,,,,,4,161400,40350.0,4,162200,800.0,459.5,0.4957,0.2847,CLOSED
2026-06-10,2026-06-10T10:04:23,SELL-2026-06-10-000430-20260610T100423,000430,SELL,34,5750,195500,29.325,351.9,381.22499999999997,backtest_replay,,,,,,,34,198900,5850.0,34,195500,-3400.0,-3811.06,-1.7094,-1.9161,CLOSED
2026-06-10,2026-06-10T10:06:16,BUY-2026-06-10-092200-20260610T100616,092200,BUY,20,9870,197400,29.61,0.0,29.61,backtest_replay,,,,,,,20,197400,9870.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:08:20,BUY-2026-06-10-069960-20260610T100820,069960,BUY,1,162100,162100,24.315,0.0,24.315,backtest_replay,,,,,,,1,162100,162100.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:14:12,SELL-2026-06-10-069960-20260610T101412,069960,SELL,1,163500,163500,24.525,294.3,318.825,backtest_replay,,,,,,,1,162100,162100.0,1,163500,1400.0,1056.86,0.8637,0.6520,CLOSED
2026-06-10,2026-06-10T10:15:53,BUY-2026-06-10-069960-20260610T101553,069960,BUY,1,162900,162900,24.435,0.0,24.435,backtest_replay,,,,,,,2,325000,162500.0,1,163500,1000.0,632.425,0.6154,0.3892,OPEN
2026-06-10,2026-06-10T10:17:55,SELL-2026-06-10-069960-20260610T101755,069960,SELL,1,163900,163900,24.585,295.02,319.60499999999996,backtest_replay,,,,,,,2,325000,162500.0,2,327400,2400.0,1712.82,0.7385,0.5270,CLOSED
2026-06-10,2026-06-10T10:19:49,BUY-2026-06-10-181710-20260610T101949,181710,BUY,4,40200,160800,24.12,0.0,24.12,backtest_replay,,,,,,,8,322200,40275.0,4,162200,1100.0,735.38,0.6828,0.4565,OPEN
2026-06-10,2026-06-10T10:29:23,SELL-2026-06-10-181710-20260610T102923,181710,SELL,4,41100,164400,24.66,295.92,320.58000000000004,backtest_replay,,,,,,,8,322200,40275.0,8,326600,4400.0,3714.8,1.3656,1.1529,CLOSED
2026-06-10,2026-06-10T10:31:19,BUY-2026-06-10-088350-20260610T103119,088350,BUY,41,4875,199875,29.9812,0.0,29.9812,backtest_replay,,,,,,,41,199875,4875.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:33:16,BUY-2026-06-10-028670-20260610T103316,028670,BUY,40,5010,200400,30.06,0.0,30.06,backtest_replay,,,,,,,40,200400,5010.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:33:16,SELL-2026-06-10-004990-20260610T103316,004990,SELL,7,25800,180600,27.09,325.08,352.16999999999996,backtest_replay,,,,,,,7,179900,25700.0,7,180600,700.0,320.845,0.3891,0.1783,CLOSED
2026-06-10,2026-06-10T10:33:23,SELL-2026-06-10-088350-20260610T103323,088350,SELL,41,4890,200490,30.0735,360.882,390.95550000000003,backtest_replay,,,,,,,41,199875,4875.0,41,200490,615.0,194.0633,0.3077,0.0971,CLOSED
2026-06-10,2026-06-10T10:35:15,BUY-2026-06-10-161390-20260610T103515,161390,BUY,2,71600,143200,21.48,0.0,21.48,backtest_replay,,,,,,,2,143200,71600.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:48:46,SELL-2026-06-10-028670-20260610T104846,028670,SELL,40,5030,201200,30.18,362.16,392.34000000000003,backtest_replay,,,,,,,40,200400,5010.0,40,201200,800.0,377.6,0.3992,0.1884,CLOSED
2026-06-10,2026-06-10T10:48:50,BUY-2026-06-10-078930-20260610T104850,078930,BUY,2,73800,147600,22.14,0.0,22.14,backtest_replay,,,,,,,2,147600,73800.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:48:52,SELL-2026-06-10-092200-20260610T104852,092200,SELL,20,9710,194200,29.13,349.56,378.69,backtest_replay,,,,,,,20,197400,9870.0,20,194200,-3200.0,-3608.3,-1.6211,-1.8279,CLOSED
