session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,005090,2026-06-10 09:31:42,2026-06-10 09:33:27,3,52800,52100,158400,156300,stop_loss,-1.3258
2026-06-10,028670,2026-06-10 09:33:28,2026-06-10 09:40:29,39,5110,5080,199290,198120,stop_loss,-0.5871
2026-06-10,181710,2026-06-10 09:36:57,2026-06-10 09:44:03,4,41150,40700,164600,162800,stop_loss,-1.0936
2026-06-10,008770,2026-06-10 09:40:30,2026-06-10 09:45:42,3,53600,53300,160800,159900,stop_loss,-0.5597
2026-06-10,009420,2026-06-10 09:49:13,2026-06-10 09:51:10,3,50400,49850,151200,149550,stop_loss,-1.0913
2026-06-10,281820,2026-06-10 09:53:01,2026-06-10 09:54:56,3,66000,66400,198000,199200,take_profit,0.6061
2026-06-10,192080,2026-06-10 09:44:07,2026-06-10 09:56:42,2,71800,72200,143600,144400,take_profit,0.5571
2026-06-10,005090,2026-06-10 09:56:45,2026-06-10 10:00:34,3,51000,51400,153000,154200,take_profit,0.7843
2026-06-10,181710,2026-06-10 09:56:43,2026-06-10 10:04:20,4,40200,40550,160800,162200,take_profit,0.8706
2026-06-10,000430,2026-06-10 10:04:23,2026-06-10 10:12:20,34,5750,5720,195500,194480,stop_loss,-0.5217
2026-06-10,069960,2026-06-10 10:08:20,2026-06-10 10:14:12,1,162100,163500,162100,163500,take_profit,0.8637
2026-06-10,004990,2026-06-10 09:36:56,2026-06-10 10:17:49,7,25550,25700,178850,179900,take_profit,0.5871
2026-06-10,005090,2026-06-10 10:17:49,2026-06-10 10:35:26,3,52100,52600,156300,157800,take_profit,0.9597
2026-06-10,000430,2026-06-10 10:33:21,2026-06-10 10:35:27,35,5720,5790,200200,202650,take_profit,1.2238
2026-06-10,000430,2026-06-10 10:43:02,2026-06-10 10:44:55,35,5700,5640,199500,197400,stop_loss,-1.0526
2026-06-10,028670,2026-06-10 10:44:50,2026-06-10 10:48:46,40,5000,5030,200000,201200,take_profit,0.6
