trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-10,2026-06-10T09:31:42,BUY-2026-06-10-005090-20260610T093142,005090,BUY,3,52800,158400,23.76,0.0,23.76,backtest_replay,,,,,,,3,158400,52800.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:33:28,BUY-2026-06-10-028670-20260610T093328,028670,BUY,39,5110,199290,29.8935,0.0,29.8935,backtest_replay,,,,,,,39,199290,5110.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:36:56,BUY-2026-06-10-004990-20260610T093656,004990,BUY,7,25550,178850,26.8275,0.0,26.8275,backtest_replay,,,,,,,7,178850,25550.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:42:15,SELL-2026-06-10-005090-20260610T094215,005090,SELL,3,51400,154200,23.13,277.56,300.69,backtest_replay,,,,,,,3,158400,52800.0,3,154200,-4200.0,-4524.45,-2.6515,-2.8563,CLOSED
2026-06-10,2026-06-10T09:42:16,BUY-2026-06-10-000430-20260610T094216,000430,BUY,33,5930,195690,29.3535,0.0,29.3535,backtest_replay,,,,,,,33,195690,5930.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:45:47,SELL-2026-06-10-000430-20260610T094547,000430,SELL,33,5960,196680,29.502,354.024,383.526,backtest_replay,,,,,,,33,195690,5930.0,33,196680,990.0,577.1205,0.5059,0.2949,CLOSED
2026-06-10,2026-06-10T09:49:13,BUY-2026-06-10-009420-20260610T094913,009420,BUY,3,50400,151200,22.68,0.0,22.68,backtest_replay,,,,,,,3,151200,50400.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:02:25,SELL-2026-06-10-009420-20260610T100225,009420,SELL,3,50700,152100,22.815,273.78,296.59499999999997,backtest_replay,,,,,,,3,151200,50400.0,3,152100,900.0,580.725,0.5952,0.3841,CLOSED
2026-06-10,2026-06-10T10:04:20,BUY-2026-06-10-181710-20260610T100420,181710,BUY,4,40550,162200,24.33,0.0,24.33,backtest_replay,,,,,,,4,162200,40550.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:17:49,BUY-2026-06-10-005090-20260610T101749,005090,BUY,3,52100,156300,23.445,0.0,23.445,backtest_replay,,,,,,,6,314700,52450.0,3,154200,-3150.0,-3497.895,-2.0019,-2.2230,OPEN
2026-06-10,2026-06-10T10:17:49,SELL-2026-06-10-004990-20260610T101749,004990,SELL,7,25700,179900,26.985,323.82,350.805,backtest_replay,,,,,,,7,178850,25550.0,7,179900,1050.0,672.3675,0.5871,0.3759,CLOSED
