session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-16,036570,2026-06-16 09:31:26,2026-06-16 09:53:55,1,263500,264000,263500,264000,take_profit,0.1898
2026-06-16,336260,2026-06-16 09:53:57,2026-06-16 09:57:33,3,77700,78000,233100,234000,take_profit,0.3861
2026-06-16,022100,2026-06-16 09:57:34,2026-06-16 10:03:55,10,28200,28300,282000,283000,take_profit,0.3546
2026-06-16,036460,2026-06-16 10:03:56,2026-06-16 10:05:03,8,36300,36500,290400,292000,take_profit,0.551
2026-06-16,066570,2026-06-16 09:31:09,2026-06-16 10:11:32,1,238500,234500,238500,234500,stop_loss,-1.6771
2026-06-16,005387,2026-06-16 09:31:20,2026-06-16 10:11:43,1,255000,253000,255000,253000,stop_loss,-0.7843
2026-06-16,081660,2026-06-16 10:05:03,2026-06-16 10:19:39,6,43200,42800,259200,256800,stop_loss,-0.9259
2026-06-16,035420,2026-06-16 10:11:32,2026-06-16 10:26:39,1,244000,244500,244000,244500,take_profit,0.2049
2026-06-16,161390,2026-06-16 10:11:43,2026-06-16 10:26:50,4,72300,71500,289200,286000,stop_loss,-1.1065
2026-06-16,326030,2026-06-16 10:26:53,2026-06-16 10:50:29,3,91000,90300,273000,270900,stop_loss,-0.7692
2026-06-16,010120,2026-06-16 10:26:39,2026-06-16 10:57:02,1,259500,260000,259500,260000,take_profit,0.1927
2026-06-16,000100,2026-06-16 10:50:31,2026-06-16 11:10:44,3,78400,78600,235200,235800,take_profit,0.2551
2026-06-16,004990,2026-06-16 10:19:39,2026-06-16 11:16:08,10,26650,26850,266500,268500,take_profit,0.7505
2026-06-16,015760,2026-06-16 10:57:04,2026-06-16 11:20:48,7,40300,40400,282100,282800,take_profit,0.2481
2026-06-16,003670,2026-06-16 11:20:50,2026-06-16 11:29:24,1,209000,209500,209000,209500,take_profit,0.2392
2026-06-16,022100,2026-06-16 11:29:24,2026-06-16 11:40:24,10,28150,28300,281500,283000,take_profit,0.5329
2026-06-16,484870,2026-06-16 11:43:21,2026-06-16 12:30:23,3,88400,89700,265200,269100,take_profit,1.4706
2026-06-16,036570,2026-06-16 11:10:46,2026-06-16 14:01:08,1,262000,263000,262000,263000,take_profit,0.3817
2026-06-16,000210,2026-06-16 11:16:08,2026-06-16 06:00:09,5,55200,54700,276000,273500,force_exit_last_trace,-0.9058
2026-06-17,012330,2026-06-17 09:13:38,2026-06-17 09:21:20,1,637000,631000,637000,631000,stop_loss,-0.9419
2026-06-17,028260,2026-06-17 09:13:37,2026-06-17 09:27:18,1,481000,475500,481000,475500,stop_loss,-1.1435
2026-06-17,329180,2026-06-17 09:27:18,2026-06-17 09:36:27,1,704000,706000,704000,706000,take_profit,0.2841
2026-06-17,017960,2026-06-17 09:36:27,2026-06-17 09:50:03,20,34700,34850,694000,697000,take_profit,0.4323
2026-06-17,005380,2026-06-17 09:13:36,2026-06-17 09:55:32,1,621000,614000,621000,614000,stop_loss,-1.1272
2026-06-17,005935,2026-06-17 09:55:32,2026-06-17 10:07:42,3,218500,219500,655500,658500,take_profit,0.4577
2026-06-17,010120,2026-06-17 09:21:22,2026-06-17 10:07:46,2,252000,254000,504000,508000,take_profit,0.7937
2026-06-17,005380,2026-06-17 10:07:42,2026-06-17 10:13:49,1,617000,619000,617000,619000,take_profit,0.3241
2026-06-17,012330,2026-06-17 10:13:51,2026-06-17 10:20:01,1,636000,638000,636000,638000,take_profit,0.3145
2026-06-17,000810,2026-06-17 10:07:47,2026-06-17 10:20:04,1,675000,677000,675000,677000,take_profit,0.2963
2026-06-17,011200,2026-06-17 10:20:07,2026-06-17 10:22:53,31,22350,22450,692850,695950,take_profit,0.4474
2026-06-17,090460,2026-06-17 10:22:53,2026-06-17 10:29:00,23,29700,29850,683100,686550,take_profit,0.5051
2026-06-17,005935,2026-06-17 10:32:34,2026-06-17 10:38:43,3,219500,220000,658500,660000,take_profit,0.2278
2026-06-17,012330,2026-06-17 10:38:45,2026-06-17 11:00:06,1,635000,637000,635000,637000,take_profit,0.315
2026-06-17,092200,2026-06-17 11:00:09,2026-06-17 11:06:21,90,7830,7860,704700,707400,take_profit,0.3831
2026-06-17,024110,2026-06-17 10:20:08,2026-06-17 12:05:51,31,22800,22600,706800,700600,stop_loss,-0.8772
2026-06-17,192650,2026-06-17 11:06:22,2026-06-17 12:19:12,118,5970,5910,704460,697380,stop_loss,-1.005
2026-06-17,001120,2026-06-17 09:50:04,2026-06-17 13:08:38,17,40250,39350,684250,668950,stop_loss,-2.236
