session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-16,036570,2026-06-16 09:31:26,2026-06-16 09:53:55,1,263500,264000,263500,264000,take_profit,0.1898
2026-06-16,336260,2026-06-16 09:53:57,2026-06-16 09:57:33,3,77700,78000,233100,234000,take_profit,0.3861
2026-06-16,022100,2026-06-16 09:57:34,2026-06-16 10:03:55,10,28200,28300,282000,283000,take_profit,0.3546
2026-06-16,036460,2026-06-16 10:03:56,2026-06-16 10:05:03,8,36300,36500,290400,292000,take_profit,0.551
2026-06-16,066570,2026-06-16 09:31:09,2026-06-16 10:11:32,1,238500,234500,238500,234500,stop_loss,-1.6771
2026-06-16,005387,2026-06-16 09:31:20,2026-06-16 10:11:43,1,255000,253000,255000,253000,stop_loss,-0.7843
2026-06-16,081660,2026-06-16 10:05:03,2026-06-16 10:17:27,6,43200,42850,259200,257100,stop_loss,-0.8102
2026-06-16,035420,2026-06-16 10:11:32,2026-06-16 10:26:39,1,244000,244500,244000,244500,take_profit,0.2049
2026-06-16,161390,2026-06-16 10:11:43,2026-06-16 10:26:50,4,72300,71500,289200,286000,stop_loss,-1.1065
2026-06-16,326030,2026-06-16 10:26:53,2026-06-16 10:50:29,3,91000,90300,273000,270900,stop_loss,-0.7692
2026-06-16,120110,2026-06-16 10:17:28,2026-06-16 10:50:45,4,72200,71300,288800,285200,stop_loss,-1.2465
2026-06-16,010120,2026-06-16 10:26:39,2026-06-16 10:57:02,1,259500,260000,259500,260000,take_profit,0.1927
2026-06-16,097230,2026-06-16 10:50:46,2026-06-16 10:57:33,12,22750,22950,273000,275400,take_profit,0.8791
2026-06-16,000100,2026-06-16 10:50:31,2026-06-16 11:10:44,3,78400,78600,235200,235800,take_profit,0.2551
2026-06-16,015760,2026-06-16 10:57:04,2026-06-16 11:20:48,7,40300,40400,282100,282800,take_profit,0.2481
2026-06-16,003670,2026-06-16 11:20:50,2026-06-16 11:29:24,1,209000,209500,209000,209500,take_profit,0.2392
2026-06-16,022100,2026-06-16 11:29:24,2026-06-16 11:40:24,10,28150,28300,281500,283000,take_profit,0.5329
2026-06-16,036570,2026-06-16 11:10:46,2026-06-16 11:54:05,1,262000,259500,262000,259500,stop_loss,-0.9542
2026-06-16,484870,2026-06-16 11:43:21,2026-06-16 12:30:23,3,88400,89700,265200,269100,take_profit,1.4706
2026-06-16,081660,2026-06-16 11:54:05,2026-06-16 12:41:22,6,44600,44050,267600,264300,stop_loss,-1.2332
2026-06-16,192820,2026-06-16 10:57:34,2026-06-16 13:51:49,1,168700,167200,168700,167200,stop_loss,-0.8892
2026-06-17,028260,2026-06-17 09:13:37,2026-06-17 09:21:19,1,481000,478000,481000,478000,stop_loss,-0.6237
2026-06-17,012330,2026-06-17 09:13:38,2026-06-17 09:21:20,1,637000,631000,637000,631000,stop_loss,-0.9419
2026-06-17,005380,2026-06-17 09:13:36,2026-06-17 09:49:29,1,621000,616000,621000,616000,stop_loss,-0.8052
2026-06-17,009540,2026-06-17 09:21:23,2026-06-17 09:52:17,1,432500,435000,432500,435000,take_profit,0.578
2026-06-17,006400,2026-06-17 09:52:17,2026-06-17 10:01:39,1,537000,540000,537000,540000,take_profit,0.5587
2026-06-17,028260,2026-06-17 09:49:29,2026-06-17 10:04:23,1,471500,473500,471500,473500,take_profit,0.4242
2026-06-17,005380,2026-06-17 10:04:23,2026-06-17 10:07:42,1,616000,617000,616000,617000,take_profit,0.1623
2026-06-17,010120,2026-06-17 09:21:22,2026-06-17 10:07:46,2,252000,254000,504000,508000,take_profit,0.7937
2026-06-17,035420,2026-06-17 10:01:40,2026-06-17 10:07:46,2,239500,240500,479000,481000,take_profit,0.4175
2026-06-17,035720,2026-06-17 10:07:51,2026-06-17 10:10:35,17,40600,40700,690200,691900,take_profit,0.2463
2026-06-17,009155,2026-06-17 10:10:36,2026-06-17 10:14:23,1,620000,625000,620000,625000,take_profit,0.8065
2026-06-17,017960,2026-06-17 10:14:23,2026-06-17 10:16:33,20,35200,35400,704000,708000,take_profit,0.5682
2026-06-17,000810,2026-06-17 10:07:47,2026-06-17 10:20:04,1,675000,677000,675000,677000,take_profit,0.2963
2026-06-17,011200,2026-06-17 10:20:07,2026-06-17 10:22:53,31,22350,22450,692850,695950,take_profit,0.4474
2026-06-17,005935,2026-06-17 10:07:42,2026-06-17 10:26:06,3,219500,220000,658500,660000,take_profit,0.2278
2026-06-17,090460,2026-06-17 10:22:53,2026-06-17 10:29:00,23,29700,29850,683100,686550,take_profit,0.5051
2026-06-17,012330,2026-06-17 10:26:08,2026-06-17 10:32:36,1,638000,635000,638000,635000,stop_loss,-0.4702
2026-06-17,005935,2026-06-17 10:32:34,2026-06-17 10:38:43,3,219500,220000,658500,660000,take_profit,0.2278
2026-06-17,267250,2026-06-17 10:32:41,2026-06-17 10:41:39,2,275000,273500,550000,547000,stop_loss,-0.5455
2026-06-17,004370,2026-06-17 10:41:39,2026-06-17 10:51:34,1,371000,372000,371000,372000,take_profit,0.2695
2026-06-17,003540,2026-06-17 10:16:33,2026-06-17 10:51:39,23,30650,30800,704950,708400,take_profit,0.4894
2026-06-17,012330,2026-06-17 10:38:45,2026-06-17 11:00:06,1,635000,637000,635000,637000,take_profit,0.315
2026-06-17,092200,2026-06-17 11:00:09,2026-06-17 11:06:21,90,7830,7860,704700,707400,take_profit,0.3831
