session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-16,066570,2026-06-16 09:31:09,2026-06-16 09:41:27,1,238500,237500,238500,237500,stop_loss,-0.4193
2026-06-16,035420,2026-06-16 09:41:27,2026-06-16 09:43:15,1,248000,246500,248000,246500,stop_loss,-0.6048
2026-06-16,005387,2026-06-16 09:31:20,2026-06-16 09:53:49,1,255000,254000,255000,254000,stop_loss,-0.3922
2026-06-16,161390,2026-06-16 09:43:26,2026-06-16 09:53:49,4,72400,72600,289600,290400,take_profit,0.2762
2026-06-16,036570,2026-06-16 09:31:26,2026-06-16 09:53:55,1,263500,264000,263500,264000,take_profit,0.1898
2026-06-16,064400,2026-06-16 09:53:49,2026-06-16 09:57:25,3,93300,93500,279900,280500,take_profit,0.2144
2026-06-16,062040,2026-06-16 09:53:51,2026-06-16 09:57:27,1,251500,253000,251500,253000,take_profit,0.5964
2026-06-16,336260,2026-06-16 09:53:57,2026-06-16 09:57:33,3,77700,78000,233100,234000,take_profit,0.3861
2026-06-16,022100,2026-06-16 09:57:34,2026-06-16 10:03:55,10,28200,28300,282000,283000,take_profit,0.3546
2026-06-16,036460,2026-06-16 10:03:56,2026-06-16 10:05:03,8,36300,36500,290400,292000,take_profit,0.551
2026-06-16,005387,2026-06-16 09:57:26,2026-06-16 10:11:43,1,254000,253000,254000,253000,stop_loss,-0.3937
2026-06-16,001440,2026-06-16 09:57:27,2026-06-16 10:11:45,7,40900,40350,286300,282450,stop_loss,-1.3447
2026-06-16,081660,2026-06-16 10:05:03,2026-06-16 10:12:01,6,43200,43000,259200,258000,stop_loss,-0.463
2026-06-16,161390,2026-06-16 10:11:43,2026-06-16 10:17:09,4,72300,72000,289200,288000,stop_loss,-0.4149
2026-06-16,082740,2026-06-16 10:11:51,2026-06-16 10:17:17,4,61500,61700,246000,246800,take_profit,0.3252
2026-06-16,229640,2026-06-16 10:12:03,2026-06-16 10:17:29,4,66800,68000,267200,272000,take_profit,1.7964
2026-06-16,021240,2026-06-16 10:17:13,2026-06-16 10:26:54,3,90800,91000,272400,273000,take_profit,0.2203
2026-06-16,161890,2026-06-16 10:17:29,2026-06-16 10:34:52,3,88500,87900,265500,263700,stop_loss,-0.678
2026-06-16,112610,2026-06-16 10:34:53,2026-06-16 10:50:48,6,43900,43650,263400,261900,stop_loss,-0.5695
2026-06-16,005385,2026-06-16 10:26:55,2026-06-16 10:57:18,1,252500,253500,252500,253500,take_profit,0.396
2026-06-16,001800,2026-06-16 10:50:49,2026-06-16 11:11:03,10,27600,27850,276000,278500,take_profit,0.9058
2026-06-16,036570,2026-06-16 10:57:18,2026-06-16 11:16:14,1,263000,260500,263000,260500,stop_loss,-0.9506
2026-06-16,022100,2026-06-16 10:17:17,2026-06-16 11:19:12,10,28100,28200,281000,282000,take_profit,0.3559
2026-06-16,302440,2026-06-16 11:16:14,2026-06-16 11:37:11,7,39650,39950,277550,279650,take_profit,0.7566
2026-06-16,036570,2026-06-16 11:37:11,2026-06-16 11:54:05,1,261000,259500,261000,259500,stop_loss,-0.5747
2026-06-16,005070,2026-06-16 11:11:04,2026-06-16 12:25:01,6,46800,47000,280800,282000,take_profit,0.4274
2026-06-16,081660,2026-06-16 11:54:05,2026-06-16 12:27:10,6,44600,44300,267600,265800,stop_loss,-0.6726
2026-06-16,020150,2026-06-16 11:19:12,2026-06-16 12:55:38,5,55100,54700,275500,273500,stop_loss,-0.726
2026-06-17,005380,2026-06-17 09:13:36,2026-06-17 09:21:18,1,621000,617000,621000,617000,stop_loss,-0.6441
2026-06-17,028260,2026-06-17 09:13:37,2026-06-17 09:21:19,1,481000,478000,481000,478000,stop_loss,-0.6237
2026-06-17,012330,2026-06-17 09:13:38,2026-06-17 09:21:20,1,637000,631000,637000,631000,stop_loss,-0.9419
2026-06-17,009540,2026-06-17 09:21:23,2026-06-17 09:33:40,1,432500,430500,432500,430500,stop_loss,-0.4624
2026-06-17,307950,2026-06-17 09:21:26,2026-06-17 09:33:45,1,693000,697000,693000,697000,take_profit,0.5772
2026-06-17,018260,2026-06-17 09:33:46,2026-06-17 09:39:47,3,227000,227500,681000,682500,take_profit,0.2203
2026-06-17,010120,2026-06-17 09:21:22,2026-06-17 09:39:54,2,252000,250000,504000,500000,stop_loss,-0.7937
2026-06-17,035420,2026-06-17 09:33:40,2026-06-17 09:45:50,2,239500,238000,479000,476000,stop_loss,-0.6263
2026-06-17,071050,2026-06-17 09:45:50,2026-06-17 09:55:42,2,241500,242500,483000,485000,take_profit,0.4141
2026-06-17,047050,2026-06-17 09:55:43,2026-06-17 10:01:48,11,61900,62200,680900,684200,take_profit,0.4847
2026-06-17,323410,2026-06-17 10:01:48,2026-06-17 10:07:54,29,23900,23950,693100,694550,take_profit,0.2092
2026-06-17,005385,2026-06-17 09:39:54,2026-06-17 10:16:29,2,246000,247000,492000,494000,take_profit,0.4065
2026-06-17,047050,2026-06-17 10:07:54,2026-06-17 10:20:11,11,62100,61800,683100,679800,stop_loss,-0.4831
2026-06-17,051900,2026-06-17 10:16:29,2026-06-17 10:20:22,2,241500,242500,483000,485000,take_profit,0.4141
2026-06-17,0126Z0,2026-06-17 10:20:11,2026-06-17 10:22:49,1,444000,447000,444000,447000,take_profit,0.6757
2026-06-17,022100,2026-06-17 10:20:22,2026-06-17 10:26:29,25,27950,27800,698750,695000,stop_loss,-0.5367
2026-06-17,195870,2026-06-17 10:22:50,2026-06-17 10:26:45,8,80500,81000,644000,648000,take_profit,0.6211
2026-06-17,000210,2026-06-17 10:26:46,2026-06-17 10:33:15,12,54600,54800,655200,657600,take_profit,0.3663
2026-06-17,090460,2026-06-17 10:33:15,2026-06-17 10:39:24,23,29750,29800,684250,685400,take_profit,0.1681
2026-06-17,000210,2026-06-17 10:39:24,2026-06-17 10:41:11,12,54500,54300,654000,651600,stop_loss,-0.367
2026-06-17,005387,2026-06-17 09:39:48,2026-06-17 11:14:54,2,245500,247000,491000,494000,take_profit,0.611
2026-06-17,051900,2026-06-17 10:26:29,2026-06-17 11:15:04,2,243000,243500,486000,487000,take_profit,0.2058
2026-06-17,004800,2026-06-17 11:15:06,2026-06-17 11:19:04,3,201500,203000,604500,609000,take_profit,0.7444
2026-06-17,112610,2026-06-17 11:19:04,2026-06-17 11:26:53,14,50500,50700,707000,709800,take_profit,0.396
2026-06-17,001530,2026-06-17 10:41:11,2026-06-17 11:35:02,30,23350,23600,700500,708000,take_profit,1.0707
2026-06-17,161390,2026-06-17 11:14:55,2026-06-17 11:37:04,10,68400,67900,684000,679000,stop_loss,-0.731
2026-06-17,192650,2026-06-17 11:26:55,2026-06-17 11:53:54,119,5930,5970,705670,710430,take_profit,0.6745
2026-06-17,010820,2026-06-17 11:53:54,2026-06-17 12:06:29,82,8610,8540,706020,700280,stop_loss,-0.813
2026-06-17,005380,2026-06-17 11:37:05,2026-06-17 12:18:25,1,622000,620000,622000,620000,stop_loss,-0.3215
2026-06-17,003000,2026-06-17 11:35:02,2026-06-17 12:42:08,150,4705,4725,705750,708750,take_profit,0.4251
