trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-16,2026-06-16T09:31:09,BUY-2026-06-16-066570-20260616T093109,066570,BUY,1,238500,238500,35.775,0.0,35.775,backtest_replay,,,,,,,1,238500,238500.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:31:20,BUY-2026-06-16-005387-20260616T093120,005387,BUY,1,255000,255000,38.25,0.0,38.25,backtest_replay,,,,,,,1,255000,255000.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:31:26,BUY-2026-06-16-036570-20260616T093126,036570,BUY,1,263500,263500,39.525,0.0,39.525,backtest_replay,,,,,,,1,263500,263500.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:41:27,BUY-2026-06-16-035420-20260616T094127,035420,BUY,1,248000,248000,37.2,0.0,37.2,backtest_replay,,,,,,,1,248000,248000.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:41:27,SELL-2026-06-16-066570-20260616T094127,066570,SELL,1,237500,237500,35.625,427.5,463.125,backtest_replay,,,,,,,1,238500,238500.0,1,237500,-1000.0,-1498.9,-0.4193,-0.6285,CLOSED
2026-06-16,2026-06-16T09:43:15,SELL-2026-06-16-035420-20260616T094315,035420,SELL,1,246500,246500,36.975,443.7,480.675,backtest_replay,,,,,,,1,248000,248000.0,1,246500,-1500.0,-2017.875,-0.6048,-0.8137,CLOSED
2026-06-16,2026-06-16T09:43:26,BUY-2026-06-16-161390-20260616T094326,161390,BUY,4,72400,289600,43.44,0.0,43.44,backtest_replay,,,,,,,4,289600,72400.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:53:49,BUY-2026-06-16-064400-20260616T095349,064400,BUY,3,93300,279900,41.985,0.0,41.985,backtest_replay,,,,,,,3,279900,93300.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:53:49,SELL-2026-06-16-005387-20260616T095349,005387,SELL,1,254000,254000,38.1,457.2,495.3,backtest_replay,,,,,,,1,255000,255000.0,1,254000,-1000.0,-1533.55,-0.3922,-0.6014,CLOSED
2026-06-16,2026-06-16T09:53:49,SELL-2026-06-16-161390-20260616T095349,161390,SELL,4,72600,290400,43.56,522.72,566.28,backtest_replay,,,,,,,4,289600,72400.0,4,290400,800.0,190.28,0.2762,0.0657,CLOSED
2026-06-16,2026-06-16T09:53:51,BUY-2026-06-16-062040-20260616T095351,062040,BUY,1,251500,251500,37.725,0.0,37.725,backtest_replay,,,,,,,1,251500,251500.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:53:55,SELL-2026-06-16-036570-20260616T095355,036570,SELL,1,264000,264000,39.6,475.2,514.8,backtest_replay,,,,,,,1,263500,263500.0,1,264000,500.0,-54.325,0.1898,-0.0206,CLOSED
2026-06-16,2026-06-16T09:53:57,BUY-2026-06-16-336260-20260616T095357,336260,BUY,3,77700,233100,34.965,0.0,34.965,backtest_replay,,,,,,,3,233100,77700.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:57:25,SELL-2026-06-16-064400-20260616T095725,064400,SELL,3,93500,280500,42.075,504.9,546.975,backtest_replay,,,,,,,3,279900,93300.0,3,280500,600.0,11.04,0.2144,0.0039,CLOSED
2026-06-16,2026-06-16T09:57:26,BUY-2026-06-16-005387-20260616T095726,005387,BUY,1,254000,254000,38.1,0.0,38.1,backtest_replay,,,,,,,2,509000,254500.0,1,254000,-500.0,-1071.65,-0.1965,-0.4211,OPEN
2026-06-16,2026-06-16T09:57:27,BUY-2026-06-16-001440-20260616T095727,001440,BUY,7,40900,286300,42.945,0.0,42.945,backtest_replay,,,,,,,7,286300,40900.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:57:27,SELL-2026-06-16-062040-20260616T095727,062040,SELL,1,253000,253000,37.95,455.4,493.34999999999997,backtest_replay,,,,,,,1,251500,251500.0,1,253000,1500.0,968.925,0.5964,0.3853,CLOSED
2026-06-16,2026-06-16T09:57:33,SELL-2026-06-16-336260-20260616T095733,336260,SELL,3,78000,234000,35.1,421.2,456.3,backtest_replay,,,,,,,3,233100,77700.0,3,234000,900.0,408.735,0.3861,0.1753,CLOSED
2026-06-16,2026-06-16T09:57:34,BUY-2026-06-16-022100-20260616T095734,022100,BUY,10,28200,282000,42.3,0.0,42.3,backtest_replay,,,,,,,10,282000,28200.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:03:55,SELL-2026-06-16-022100-20260616T100355,022100,SELL,10,28300,283000,42.45,509.4,551.85,backtest_replay,,,,,,,10,282000,28200.0,10,283000,1000.0,405.85,0.3546,0.1439,CLOSED
2026-06-16,2026-06-16T10:03:56,BUY-2026-06-16-036460-20260616T100356,036460,BUY,8,36300,290400,43.56,0.0,43.56,backtest_replay,,,,,,,8,290400,36300.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:05:03,BUY-2026-06-16-081660-20260616T100503,081660,BUY,6,43200,259200,38.88,0.0,38.88,backtest_replay,,,,,,,6,259200,43200.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:05:03,SELL-2026-06-16-036460-20260616T100503,036460,SELL,8,36500,292000,43.8,525.6,569.4,backtest_replay,,,,,,,8,290400,36300.0,8,292000,1600.0,987.04,0.5510,0.3399,CLOSED
2026-06-16,2026-06-16T10:11:43,BUY-2026-06-16-161390-20260616T101143,161390,BUY,4,72300,289200,43.38,0.0,43.38,backtest_replay,,,,,,,8,578800,72350.0,4,290400,1000.0,346.9,0.3455,0.1199,OPEN
2026-06-16,2026-06-16T10:11:43,SELL-2026-06-16-005387-20260616T101143,005387,SELL,1,253000,253000,37.95,455.4,493.34999999999997,backtest_replay,,,,,,,2,509000,254500.0,2,507000,-2000.0,-3065.0,-0.3929,-0.6022,CLOSED
2026-06-16,2026-06-16T10:11:45,SELL-2026-06-16-001440-20260616T101145,001440,SELL,7,40350,282450,42.3675,508.41,550.7775,backtest_replay,,,,,,,7,286300,40900.0,7,282450,-3850.0,-4443.7225,-1.3447,-1.5521,CLOSED
2026-06-16,2026-06-16T10:11:51,BUY-2026-06-16-082740-20260616T101151,082740,BUY,4,61500,246000,36.9,0.0,36.9,backtest_replay,,,,,,,4,246000,61500.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:12:01,SELL-2026-06-16-081660-20260616T101201,081660,SELL,6,43000,258000,38.7,464.4,503.09999999999997,backtest_replay,,,,,,,6,259200,43200.0,6,258000,-1200.0,-1741.98,-0.4630,-0.6721,CLOSED
2026-06-16,2026-06-16T10:12:03,BUY-2026-06-16-229640-20260616T101203,229640,BUY,4,66800,267200,40.08,0.0,40.08,backtest_replay,,,,,,,4,267200,66800.0,0,0,,,,,OPEN
