session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-16,006110,2026-06-16 09:31:49,2026-06-16 09:34:44,1,52300,53000,52300,53000,take_profit,1.3384
2026-06-16,120110,2026-06-16 09:31:39,2026-06-16 09:41:58,1,73600,72200,73600,72200,stop_loss,-1.9022
2026-06-16,005090,2026-06-16 09:31:51,2026-06-16 09:42:10,1,53000,52600,53000,52600,stop_loss,-0.7547
2026-06-16,007340,2026-06-16 09:31:36,2026-06-16 09:54:05,1,45500,46000,45500,46000,take_profit,1.0989
2026-06-16,033240,2026-06-16 09:42:11,2026-06-16 09:54:22,2,36100,35800,72200,71600,stop_loss,-0.831
2026-06-16,051600,2026-06-16 09:31:37,2026-06-16 09:57:38,1,54100,53700,54100,53700,stop_loss,-0.7394
2026-06-16,181710,2026-06-16 09:31:47,2026-06-16 09:57:52,2,39000,39100,78000,78200,take_profit,0.2564
2026-06-16,112610,2026-06-16 09:54:11,2026-06-16 09:59:32,1,44100,44400,44100,44400,take_profit,0.6803
2026-06-16,015860,2026-06-16 09:57:38,2026-06-16 09:59:50,11,7570,7600,83270,83600,take_profit,0.3963
2026-06-16,004990,2026-06-16 09:31:35,2026-06-16 10:02:20,3,27100,26800,81300,80400,stop_loss,-1.107
2026-06-16,001250,2026-06-16 09:59:51,2026-06-16 10:03:56,28,3110,3120,87080,87360,take_profit,0.3215
2026-06-16,036460,2026-06-16 10:03:56,2026-06-16 10:05:03,2,36300,36500,72600,73000,take_profit,0.551
2026-06-16,005070,2026-06-16 09:42:02,2026-06-16 10:06:34,1,47200,46900,47200,46900,stop_loss,-0.6356
2026-06-16,499790,2026-06-16 09:57:54,2026-06-16 10:06:36,1,48100,48500,48100,48500,take_profit,0.8316
2026-06-16,020150,2026-06-16 09:31:34,2026-06-16 10:11:57,1,55900,54900,55900,54900,stop_loss,-1.7889
2026-06-16,285130,2026-06-16 10:05:03,2026-06-16 10:12:15,1,46250,45850,46250,45850,stop_loss,-0.8649
2026-06-16,033240,2026-06-16 10:02:21,2026-06-16 10:17:41,2,35950,36200,71900,72400,take_profit,0.6954
2026-06-16,001510,2026-06-16 10:12:16,2026-06-16 10:17:41,26,3270,3280,85020,85280,take_profit,0.3058
2026-06-16,081660,2026-06-16 09:31:38,2026-06-16 10:34:50,2,43200,44800,86400,89600,take_profit,3.7037
2026-06-16,001800,2026-06-16 09:59:33,2026-06-16 10:34:55,3,27450,27900,82350,83700,take_profit,1.6393
