trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-16,2026-06-16T06:00:09,SELL-2026-06-16-000210-20260616T060009,000210,SELL,1,54700,54700,8.205,98.46,106.66499999999999,backtest_replay,,,,,,,0,0,,1,54700,,,,,OPEN
2026-06-16,2026-06-16T06:00:14,SELL-2026-06-16-005180-20260616T060014,005180,SELL,1,69300,69300,10.395,124.74,135.135,backtest_replay,,,,,,,0,0,,1,69300,,,,,OPEN
2026-06-16,2026-06-16T09:31:33,BUY-2026-06-16-302440-20260616T093133,302440,BUY,2,39950,79900,11.985,0.0,11.985,backtest_replay,,,,,,,2,79900,39950.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:31:34,BUY-2026-06-16-020150-20260616T093134,020150,BUY,1,55900,55900,8.385,0.0,8.385,backtest_replay,,,,,,,1,55900,55900.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:31:35,BUY-2026-06-16-004990-20260616T093135,004990,BUY,3,27100,81300,12.195,0.0,12.195,backtest_replay,,,,,,,3,81300,27100.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:31:36,BUY-2026-06-16-007340-20260616T093136,007340,BUY,1,45500,45500,6.825,0.0,6.825,backtest_replay,,,,,,,1,45500,45500.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:31:37,BUY-2026-06-16-051600-20260616T093137,051600,BUY,1,54100,54100,8.115,0.0,8.115,backtest_replay,,,,,,,1,54100,54100.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:31:38,BUY-2026-06-16-081660-20260616T093138,081660,BUY,2,43200,86400,12.96,0.0,12.96,backtest_replay,,,,,,,2,86400,43200.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:31:39,BUY-2026-06-16-120110-20260616T093139,120110,BUY,1,73600,73600,11.04,0.0,11.04,backtest_replay,,,,,,,1,73600,73600.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:31:47,BUY-2026-06-16-181710-20260616T093147,181710,BUY,2,39000,78000,11.7,0.0,11.7,backtest_replay,,,,,,,2,78000,39000.0,0,0,,,,,OPEN
