session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-16,036570,2026-06-16 09:31:26,2026-06-16 09:53:55,1,263500,264000,263500,264000,take_profit,0.1898
2026-06-16,336260,2026-06-16 09:53:57,2026-06-16 09:57:33,3,77700,78000,233100,234000,take_profit,0.3861
2026-06-16,022100,2026-06-16 09:57:34,2026-06-16 10:03:55,10,28200,28300,282000,283000,take_profit,0.3546
2026-06-16,036460,2026-06-16 10:03:56,2026-06-16 10:05:03,8,36300,36500,290400,292000,take_profit,0.551
2026-06-16,066570,2026-06-16 09:31:09,2026-06-16 10:11:32,1,238500,234500,238500,234500,stop_loss,-1.6771
2026-06-16,081660,2026-06-16 10:05:03,2026-06-16 10:12:45,6,43200,42950,259200,257700,stop_loss,-0.5787
2026-06-16,033240,2026-06-16 10:12:45,2026-06-16 10:17:41,8,35700,36200,285600,289600,take_profit,1.4006
2026-06-16,035420,2026-06-16 10:11:32,2026-06-16 10:26:39,1,244000,244500,244000,244500,take_profit,0.2049
2026-06-16,010120,2026-06-16 10:26:39,2026-06-16 10:57:02,1,259500,260000,259500,260000,take_profit,0.1927
2026-06-16,285130,2026-06-16 10:17:41,2026-06-16 11:02:52,6,45700,46150,274200,276900,take_profit,0.9847
2026-06-16,015760,2026-06-16 10:57:04,2026-06-16 11:20:48,7,40300,40400,282100,282800,take_profit,0.2481
2026-06-16,003670,2026-06-16 11:20:50,2026-06-16 11:29:24,1,209000,209500,209000,209500,take_profit,0.2392
2026-06-16,022100,2026-06-16 11:29:24,2026-06-16 11:40:24,10,28150,28300,281500,283000,take_profit,0.5329
2026-06-16,484870,2026-06-16 11:43:21,2026-06-16 12:30:23,3,88400,89700,265200,269100,take_profit,1.4706
2026-06-16,016380,2026-06-16 11:02:52,2026-06-16 13:34:29,48,6100,6050,292800,290400,stop_loss,-0.8197
2026-06-16,005387,2026-06-16 09:31:20,2026-06-16 13:51:28,1,255000,253500,255000,253500,force_exit_last_trace,-0.5882
2026-06-17,028260,2026-06-17 09:13:37,2026-06-17 09:21:19,1,481000,478000,481000,478000,stop_loss,-0.6237
2026-06-17,012330,2026-06-17 09:13:38,2026-06-17 09:21:20,1,637000,631000,637000,631000,stop_loss,-0.9419
2026-06-17,005380,2026-06-17 09:13:36,2026-06-17 09:49:29,1,621000,616000,621000,616000,stop_loss,-0.8052
2026-06-17,009540,2026-06-17 09:21:23,2026-06-17 09:52:17,1,432500,435000,432500,435000,take_profit,0.578
2026-06-17,006400,2026-06-17 09:52:17,2026-06-17 10:01:39,1,537000,540000,537000,540000,take_profit,0.5587
2026-06-17,028260,2026-06-17 09:49:29,2026-06-17 10:04:23,1,471500,473500,471500,473500,take_profit,0.4242
2026-06-17,005380,2026-06-17 10:04:23,2026-06-17 10:07:42,1,616000,617000,616000,617000,take_profit,0.1623
2026-06-17,010120,2026-06-17 09:21:22,2026-06-17 10:07:46,2,252000,254000,504000,508000,take_profit,0.7937
2026-06-17,035420,2026-06-17 10:01:40,2026-06-17 10:07:46,2,239500,240500,479000,481000,take_profit,0.4175
2026-06-17,035720,2026-06-17 10:07:51,2026-06-17 10:10:35,17,40600,40700,690200,691900,take_profit,0.2463
2026-06-17,009155,2026-06-17 10:10:36,2026-06-17 10:14:23,1,620000,625000,620000,625000,take_profit,0.8065
2026-06-17,017960,2026-06-17 10:14:23,2026-06-17 10:16:33,20,35200,35400,704000,708000,take_profit,0.5682
2026-06-17,000810,2026-06-17 10:07:47,2026-06-17 10:20:04,1,675000,677000,675000,677000,take_profit,0.2963
2026-06-17,011200,2026-06-17 10:20:07,2026-06-17 10:22:53,31,22350,22450,692850,695950,take_profit,0.4474
2026-06-17,005935,2026-06-17 10:07:42,2026-06-17 10:26:06,3,219500,220000,658500,660000,take_profit,0.2278
2026-06-17,090460,2026-06-17 10:22:53,2026-06-17 10:29:00,23,29700,29850,683100,686550,take_profit,0.5051
2026-06-17,005935,2026-06-17 10:32:34,2026-06-17 10:38:43,3,219500,220000,658500,660000,take_profit,0.2278
2026-06-17,051910,2026-06-17 10:38:49,2026-06-17 10:41:33,1,364500,365500,364500,365500,take_profit,0.2743
2026-06-17,012330,2026-06-17 10:26:08,2026-06-17 10:44:56,1,638000,633000,638000,633000,stop_loss,-0.7837
2026-06-17,267250,2026-06-17 10:45:01,2026-06-17 10:47:50,2,273500,274000,547000,548000,take_profit,0.1828
2026-06-17,139480,2026-06-17 10:47:50,2026-06-17 10:51:32,7,90300,90500,632100,633500,take_profit,0.2215
2026-06-17,003540,2026-06-17 10:16:33,2026-06-17 10:51:39,23,30650,30800,704950,708400,take_profit,0.4894
2026-06-17,192650,2026-06-17 10:41:33,2026-06-17 10:51:49,120,5880,5990,705600,718800,take_profit,1.8707
2026-06-17,195870,2026-06-17 10:51:41,2026-06-17 11:06:23,8,80600,80100,644800,640800,stop_loss,-0.6203
2026-06-17,375500,2026-06-17 11:06:25,2026-06-17 11:10:29,8,86700,87500,693600,700000,take_profit,0.9227
2026-06-17,005850,2026-06-17 11:10:29,2026-06-17 11:12:50,9,73300,73600,659700,662400,take_profit,0.4093
2026-06-17,000430,2026-06-17 10:51:51,2026-06-17 11:18:56,141,5000,4975,705000,701475,stop_loss,-0.5
2026-06-17,092200,2026-06-17 11:12:51,2026-06-17 11:30:49,89,7880,7910,701320,703990,take_profit,0.3807
