trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-16,2026-06-16T09:31:09,BUY-2026-06-16-066570-20260616T093109,066570,BUY,1,238500,238500,35.775,0.0,35.775,backtest_replay,,,,,,,1,238500,238500.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:31:20,BUY-2026-06-16-005387-20260616T093120,005387,BUY,1,255000,255000,38.25,0.0,38.25,backtest_replay,,,,,,,1,255000,255000.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:31:26,BUY-2026-06-16-036570-20260616T093126,036570,BUY,1,263500,263500,39.525,0.0,39.525,backtest_replay,,,,,,,1,263500,263500.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:53:55,SELL-2026-06-16-036570-20260616T095355,036570,SELL,1,264000,264000,39.6,475.2,514.8,backtest_replay,,,,,,,1,263500,263500.0,1,264000,500.0,-54.325,0.1898,-0.0206,CLOSED
2026-06-16,2026-06-16T09:53:57,BUY-2026-06-16-336260-20260616T095357,336260,BUY,3,77700,233100,34.965,0.0,34.965,backtest_replay,,,,,,,3,233100,77700.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:57:33,SELL-2026-06-16-336260-20260616T095733,336260,SELL,3,78000,234000,35.1,421.2,456.3,backtest_replay,,,,,,,3,233100,77700.0,3,234000,900.0,408.735,0.3861,0.1753,CLOSED
2026-06-16,2026-06-16T09:57:34,BUY-2026-06-16-022100-20260616T095734,022100,BUY,10,28200,282000,42.3,0.0,42.3,backtest_replay,,,,,,,10,282000,28200.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:03:55,SELL-2026-06-16-022100-20260616T100355,022100,SELL,10,28300,283000,42.45,509.4,551.85,backtest_replay,,,,,,,10,282000,28200.0,10,283000,1000.0,405.85,0.3546,0.1439,CLOSED
2026-06-16,2026-06-16T10:03:56,BUY-2026-06-16-036460-20260616T100356,036460,BUY,8,36300,290400,43.56,0.0,43.56,backtest_replay,,,,,,,8,290400,36300.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:05:03,BUY-2026-06-16-081660-20260616T100503,081660,BUY,6,43200,259200,38.88,0.0,38.88,backtest_replay,,,,,,,6,259200,43200.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:05:03,SELL-2026-06-16-036460-20260616T100503,036460,SELL,8,36500,292000,43.8,525.6,569.4,backtest_replay,,,,,,,8,290400,36300.0,8,292000,1600.0,987.04,0.5510,0.3399,CLOSED
2026-06-16,2026-06-16T10:11:32,BUY-2026-06-16-035420-20260616T101132,035420,BUY,1,244000,244000,36.6,0.0,36.6,backtest_replay,,,,,,,1,244000,244000.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:11:32,SELL-2026-06-16-066570-20260616T101132,066570,SELL,1,234500,234500,35.175,422.1,457.27500000000003,backtest_replay,,,,,,,1,238500,238500.0,1,234500,-4000.0,-4493.05,-1.6771,-1.8839,CLOSED
2026-06-16,2026-06-16T10:12:45,BUY-2026-06-16-033240-20260616T101245,033240,BUY,8,35700,285600,42.84,0.0,42.84,backtest_replay,,,,,,,8,285600,35700.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:12:45,SELL-2026-06-16-081660-20260616T101245,081660,SELL,6,42950,257700,38.655,463.86,502.515,backtest_replay,,,,,,,6,259200,43200.0,6,257700,-1500.0,-2041.395,-0.5787,-0.7876,CLOSED
2026-06-16,2026-06-16T10:17:41,BUY-2026-06-16-285130-20260616T101741,285130,BUY,6,45700,274200,41.13,0.0,41.13,backtest_replay,,,,,,,6,274200,45700.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:17:41,SELL-2026-06-16-033240-20260616T101741,033240,SELL,8,36200,289600,43.44,521.28,564.72,backtest_replay,,,,,,,8,285600,35700.0,8,289600,4000.0,3392.44,1.4006,1.1878,CLOSED
2026-06-16,2026-06-16T10:26:39,BUY-2026-06-16-010120-20260616T102639,010120,BUY,1,259500,259500,38.925,0.0,38.925,backtest_replay,,,,,,,1,259500,259500.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T10:26:39,SELL-2026-06-16-035420-20260616T102639,035420,SELL,1,244500,244500,36.675,440.1,476.77500000000003,backtest_replay,,,,,,,1,244000,244000.0,1,244500,500.0,-13.375,0.2049,-0.0055,CLOSED
2026-06-16,2026-06-16T10:57:02,SELL-2026-06-16-010120-20260616T105702,010120,SELL,1,260000,260000,39.0,468.0,507.0,backtest_replay,,,,,,,1,259500,259500.0,1,260000,500.0,-45.925,0.1927,-0.0177,CLOSED
2026-06-16,2026-06-16T10:57:04,BUY-2026-06-16-015760-20260616T105704,015760,BUY,7,40300,282100,42.315,0.0,42.315,backtest_replay,,,,,,,7,282100,40300.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T11:02:52,BUY-2026-06-16-016380-20260616T110252,016380,BUY,48,6100,292800,43.92,0.0,43.92,backtest_replay,,,,,,,48,292800,6100.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T11:02:52,SELL-2026-06-16-285130-20260616T110252,285130,SELL,6,46150,276900,41.535,498.42,539.955,backtest_replay,,,,,,,6,274200,45700.0,6,276900,2700.0,2118.915,0.9847,0.7728,CLOSED
2026-06-16,2026-06-16T11:20:48,SELL-2026-06-16-015760-20260616T112048,015760,SELL,7,40400,282800,42.42,509.04,551.46,backtest_replay,,,,,,,7,282100,40300.0,7,282800,700.0,106.225,0.2481,0.0377,CLOSED
2026-06-16,2026-06-16T11:20:50,BUY-2026-06-16-003670-20260616T112050,003670,BUY,1,209000,209000,31.35,0.0,31.35,backtest_replay,,,,,,,1,209000,209000.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T11:29:24,BUY-2026-06-16-022100-20260616T112924,022100,BUY,10,28150,281500,42.225,0.0,42.225,backtest_replay,,,,,,,20,563500,28175.0,10,283000,1250.0,613.625,0.4437,0.2178,OPEN
2026-06-16,2026-06-16T11:29:24,SELL-2026-06-16-003670-20260616T112924,003670,SELL,1,209500,209500,31.425,377.1,408.52500000000003,backtest_replay,,,,,,,1,209000,209000.0,1,209500,500.0,60.125,0.2392,0.0288,CLOSED
2026-06-16,2026-06-16T11:40:24,SELL-2026-06-16-022100-20260616T114024,022100,SELL,10,28300,283000,42.45,509.4,551.85,backtest_replay,,,,,,,20,563500,28175.0,20,566000,2500.0,1311.775,0.4437,0.2328,CLOSED
2026-06-16,2026-06-16T11:43:21,BUY-2026-06-16-484870-20260616T114321,484870,BUY,3,88400,265200,39.78,0.0,39.78,backtest_replay,,,,,,,3,265200,88400.0,0,0,,,,,OPEN
