session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,028670,2026-06-10 09:31:37,2026-06-10 11:51:38,38,5140,5080,195320,193040,force_exit_last_trace,-1.1673
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 14:59:55,7,23350,23100,163450,161700,force_exit_last_trace,-1.0707
2026-06-12,042700,2026-06-12 09:32:57,2026-06-12 09:43:01,1,303500,304500,303500,304500,take_profit,0.3295
2026-06-12,047050,2026-06-12 09:43:06,2026-06-12 09:58:47,5,58800,59000,294000,295000,take_profit,0.3401
2026-06-12,010120,2026-06-12 10:02:01,2026-06-12 11:10:44,1,236000,237000,236000,237000,take_profit,0.4237
2026-06-12,018670,2026-06-12 11:10:57,2026-06-12 11:22:33,1,224000,225000,224000,225000,take_profit,0.4464
2026-06-12,001800,2026-06-12 11:22:34,2026-06-12 14:02:42,11,26600,27000,292600,297000,take_profit,1.5038
2026-06-15,103590,2026-06-15 09:34:26,2026-06-15 09:37:57,3,87900,88500,263700,265500,take_profit,0.6826
2026-06-15,005090,2026-06-15 09:37:57,2026-06-15 11:08:31,5,55600,53000,278000,265000,stop_loss,-4.6763
2026-06-15,020150,2026-06-15 11:08:32,2026-06-15 11:10:50,5,54200,54400,271000,272000,take_profit,0.369
2026-06-15,012750,2026-06-15 11:08:32,2026-06-15 14:58:51,3,82300,79100,246900,237300,force_exit_last_trace,-3.8882
2026-06-16,302440,2026-06-16 09:31:33,2026-06-16 12:16:30,7,39950,40200,279650,281400,take_profit,0.6258
2026-06-17,005380,2026-06-17 09:13:38,2026-06-17 10:22:46,1,621000,623000,621000,623000,take_profit,0.3221
2026-06-17,028260,2026-06-17 09:13:38,2026-06-17 14:26:02,1,481000,483500,481000,483500,take_profit,0.5198
2026-06-25,005387,2026-06-25 09:53:59,2026-06-25 09:58:39,1,218000,219000,218000,219000,take_profit,0.4587
2026-06-25,000500,2026-06-25 09:58:42,2026-06-25 10:00:47,1,303000,305000,303000,305000,take_profit,0.6601
2026-06-25,375500,2026-06-25 10:00:58,2026-06-25 10:03:17,6,61900,62100,371400,372600,take_profit,0.3231
2026-06-25,204320,2026-06-25 10:03:18,2026-06-25 10:33:25,7,49750,49900,348250,349300,take_profit,0.3015
2026-06-25,037710,2026-06-25 10:33:27,2026-06-25 10:42:05,7,48100,47550,336700,332850,force_exit_last_trace,-1.1435
