trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-10,2026-06-10T09:31:37,BUY-2026-06-10-028670-20260610T093137,028670,BUY,38,5140,195320,29.298,0.0,29.298,backtest_replay,,,,,,,38,195320,5140.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T11:51:38,SELL-2026-06-10-028670-20260610T115138,028670,SELL,38,5080,193040,28.956,347.472,376.428,backtest_replay,,,,,,,38,195320,5140.0,38,193040,-2280.0,-2685.726,-1.1673,-1.3750,CLOSED
2026-06-11,2026-06-11T09:32:10,BUY-2026-06-11-323410-20260611T093210,323410,BUY,7,23350,163450,24.5175,0.0,24.5175,backtest_replay,,,,,,,7,163450,23350.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T14:59:55,SELL-2026-06-11-323410-20260611T145955,323410,SELL,7,23100,161700,24.255,291.06,315.315,backtest_replay,,,,,,,7,163450,23350.0,7,161700,-1750.0,-2089.8325,-1.0707,-1.2786,CLOSED
2026-06-12,2026-06-12T09:32:57,BUY-2026-06-12-042700-20260612T093257,042700,BUY,1,303500,303500,45.525,0.0,45.525,backtest_replay,,,,,,,1,303500,303500.0,0,0,,,,,OPEN
2026-06-12,2026-06-12T09:43:01,SELL-2026-06-12-042700-20260612T094301,042700,SELL,1,304500,304500,45.675,548.1,593.775,backtest_replay,,,,,,,1,303500,303500.0,1,304500,1000.0,360.7,0.3295,0.1188,CLOSED
2026-06-12,2026-06-12T09:43:06,BUY-2026-06-12-047050-20260612T094306,047050,BUY,5,58800,294000,44.1,0.0,44.1,backtest_replay,,,,,,,5,294000,58800.0,0,0,,,,,OPEN
2026-06-12,2026-06-12T09:58:47,SELL-2026-06-12-047050-20260612T095847,047050,SELL,5,59000,295000,44.25,531.0,575.25,backtest_replay,,,,,,,5,294000,58800.0,5,295000,1000.0,380.65,0.3401,0.1295,CLOSED
2026-06-12,2026-06-12T10:02:01,BUY-2026-06-12-010120-20260612T100201,010120,BUY,1,236000,236000,35.4,0.0,35.4,backtest_replay,,,,,,,1,236000,236000.0,0,0,,,,,OPEN
2026-06-12,2026-06-12T11:10:44,SELL-2026-06-12-010120-20260612T111044,010120,SELL,1,237000,237000,35.55,426.6,462.15000000000003,backtest_replay,,,,,,,1,236000,236000.0,1,237000,1000.0,502.45,0.4237,0.2129,CLOSED
2026-06-12,2026-06-12T11:10:57,BUY-2026-06-12-018670-20260612T111057,018670,BUY,1,224000,224000,33.6,0.0,33.6,backtest_replay,,,,,,,1,224000,224000.0,0,0,,,,,OPEN
2026-06-12,2026-06-12T11:22:33,SELL-2026-06-12-018670-20260612T112233,018670,SELL,1,225000,225000,33.75,405.0,438.75,backtest_replay,,,,,,,1,224000,224000.0,1,225000,1000.0,527.65,0.4464,0.2356,CLOSED
2026-06-12,2026-06-12T11:22:34,BUY-2026-06-12-001800-20260612T112234,001800,BUY,11,26600,292600,43.89,0.0,43.89,backtest_replay,,,,,,,11,292600,26600.0,0,0,,,,,OPEN
