session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,004990,2026-06-10 09:36:55,2026-06-10 10:17:49,7,25550,25700,178850,179900,take_profit,0.5871
2026-06-10,000430,2026-06-10 10:33:21,2026-06-10 10:35:28,35,5720,5790,200200,202650,take_profit,1.2238
2026-06-10,005090,2026-06-10 09:31:43,2026-06-10 11:51:37,3,52800,51700,158400,155100,force_exit_last_trace,-2.0833
2026-06-10,028670,2026-06-10 09:33:28,2026-06-10 11:51:38,39,5110,5080,199290,198120,force_exit_last_trace,-0.5871
2026-06-10,000430,2026-06-10 10:43:03,2026-06-10 11:51:39,35,5700,5590,199500,195650,force_exit_last_trace,-1.9298
2026-06-11,120110,2026-06-11 09:32:12,2026-06-11 09:35:57,2,68400,68800,136800,137600,take_profit,0.5848
2026-06-11,499790,2026-06-11 09:40:35,2026-06-11 09:43:42,3,51500,51900,154500,155700,take_profit,0.7767
2026-06-11,005090,2026-06-11 09:35:36,2026-06-11 09:57:07,3,49850,50600,149550,151800,take_profit,1.5045
2026-06-11,499790,2026-06-11 09:57:52,2026-06-11 10:00:02,3,50100,50500,150300,151500,take_profit,0.7984
2026-06-11,181710,2026-06-11 09:46:20,2026-06-11 10:05:26,4,39500,39750,158000,159000,take_profit,0.6329
2026-06-11,092200,2026-06-11 10:19:22,2026-06-11 10:28:28,20,9120,9180,182400,183600,take_profit,0.6579
2026-06-11,000370,2026-06-11 10:29:06,2026-06-11 11:56:33,30,6080,6150,182400,184500,take_profit,1.1513
2026-06-11,005090,2026-06-11 10:00:42,2026-06-11 13:05:17,3,50700,51300,152100,153900,take_profit,1.1834
2026-06-11,000430,2026-06-11 09:32:19,2026-06-11 14:59:55,33,5490,4975,181170,164175,force_exit_last_trace,-9.3807
2026-06-12,001800,2026-06-12 09:38:53,2026-06-12 09:52:28,8,26450,26800,211600,214400,take_profit,1.3233
2026-06-12,003160,2026-06-12 09:33:22,2026-06-12 09:52:33,8,29450,29750,235600,238000,take_profit,1.0187
2026-06-12,298050,2026-06-12 09:33:19,2026-06-12 10:50:23,1,202000,203500,202000,203500,take_profit,0.7426
2026-06-12,009970,2026-06-12 10:50:37,2026-06-12 10:54:22,1,188100,189500,188100,189500,take_profit,0.7443
2026-06-12,285130,2026-06-12 09:33:14,2026-06-12 11:22:37,5,43800,44250,219000,221250,take_profit,1.0274
2026-06-12,192080,2026-06-12 10:54:27,2026-06-12 13:25:18,3,71900,72500,215700,217500,take_profit,0.8345
2026-06-12,195870,2026-06-12 09:53:42,2026-06-12 13:40:18,2,81300,81800,162600,163600,take_profit,0.615
2026-06-12,001800,2026-06-12 09:53:38,2026-06-12 14:02:42,8,26650,27000,213200,216000,take_profit,1.3133
2026-06-15,012750,2026-06-15 09:42:26,2026-06-15 10:08:32,2,79500,80200,159000,160400,take_profit,0.8805
2026-06-15,009420,2026-06-15 09:42:31,2026-06-15 10:27:54,4,51900,52200,207600,208800,take_profit,0.578
2026-06-15,010820,2026-06-15 10:30:10,2026-06-15 10:36:36,29,7810,7860,226490,227940,take_profit,0.6402
2026-06-15,020150,2026-06-15 09:42:30,2026-06-15 14:12:10,4,55900,56900,223600,227600,take_profit,1.7889
2026-06-15,005090,2026-06-15 09:34:40,2026-06-15 14:43:54,4,55800,56300,223200,225200,take_profit,0.8961
2026-06-15,217590,2026-06-15 10:08:32,2026-06-15 14:58:52,11,20000,18970,220000,208670,force_exit_last_trace,-5.15
2026-06-15,181710,2026-06-15 10:57:52,2026-06-15 14:58:56,5,39750,38650,198750,193250,force_exit_last_trace,-2.7673
2026-06-16,006110,2026-06-16 09:31:50,2026-06-16 09:34:45,4,52300,53000,209200,212000,take_profit,1.3384
2026-06-16,499790,2026-06-16 09:31:48,2026-06-16 10:12:13,4,48750,49150,195000,196600,take_profit,0.8205
2026-06-16,285130,2026-06-16 10:12:16,2026-06-16 11:02:51,4,45850,46150,183400,184600,take_profit,0.6543
2026-06-16,302440,2026-06-16 09:31:33,2026-06-16 12:16:30,5,39950,40200,199750,201000,take_profit,0.6258
2026-06-16,484870,2026-06-16 11:02:51,2026-06-16 12:30:23,2,88600,89700,177200,179400,take_profit,1.2415
2026-06-16,000430,2026-06-16 09:34:45,2026-06-16 14:49:39,44,4995,5060,219780,222640,take_profit,1.3013
2026-06-16,020150,2026-06-16 09:31:34,2026-06-16 15:00:11,3,55900,55900,167700,167700,force_exit_time,0.0
2026-06-17,111770,2026-06-17 09:34:03,2026-06-17 09:49:53,2,80000,80500,160000,161000,take_profit,0.625
2026-06-17,011170,2026-06-17 09:49:54,2026-06-17 09:55:56,2,77300,78000,154600,156000,take_profit,0.9056
2026-06-17,450080,2026-06-17 09:55:56,2026-06-17 10:01:59,3,56900,57200,170700,171600,take_profit,0.5272
2026-06-17,003000,2026-06-17 09:34:26,2026-06-17 10:02:22,45,4675,4725,210375,212625,take_profit,1.0695
2026-06-17,001530,2026-06-17 09:39:29,2026-06-17 10:04:04,9,23400,23800,210600,214200,take_profit,1.7094
2026-06-17,001120,2026-06-17 09:34:13,2026-06-17 10:04:12,5,40250,40550,201250,202750,take_profit,0.7453
2026-06-17,010820,2026-06-17 09:34:27,2026-06-17 10:04:20,25,8420,8480,210500,212000,take_profit,0.7126
2026-06-17,006360,2026-06-17 09:39:46,2026-06-17 10:08:11,7,30000,30150,210000,211050,take_profit,0.5
2026-06-17,229640,2026-06-17 10:04:21,2026-06-17 10:08:17,3,64100,64800,192300,194400,take_profit,1.092
2026-06-17,005070,2026-06-17 10:02:14,2026-06-17 10:14:24,4,46050,46400,184200,185600,take_profit,0.76
2026-06-17,111770,2026-06-17 10:14:09,2026-06-17 10:20:23,2,80000,80600,160000,161200,take_profit,0.75
2026-06-17,009420,2026-06-17 10:04:08,2026-06-17 10:22:30,3,53200,54000,159600,162000,take_profit,1.5038
2026-06-17,077970,2026-06-17 10:22:31,2026-06-17 10:47:26,5,37600,37850,188000,189250,take_profit,0.6649
2026-06-17,000210,2026-06-17 10:03:48,2026-06-17 10:51:36,3,54300,55000,162900,165000,take_profit,1.2891
2026-06-17,001430,2026-06-17 10:04:22,2026-06-17 10:51:37,4,47050,47300,188200,189200,take_profit,0.5313
2026-06-17,004800,2026-06-17 10:22:46,2026-06-17 11:00:04,1,200500,202000,200500,202000,take_profit,0.7481
2026-06-17,077970,2026-06-17 10:59:49,2026-06-17 11:06:04,5,37800,38050,189000,190250,take_profit,0.6614
2026-06-17,000210,2026-06-17 10:53:24,2026-06-17 11:15:22,3,55000,55400,165000,166200,take_profit,0.7273
2026-06-17,001800,2026-06-17 09:36:10,2026-06-17 11:22:44,7,26750,26900,187250,188300,take_profit,0.5607
2026-06-17,001530,2026-06-17 10:51:42,2026-06-17 11:42:59,9,23450,23650,211050,212850,take_profit,0.8529
2026-06-17,000430,2026-06-17 11:26:40,2026-06-17 12:00:14,42,4980,5020,209160,210840,take_profit,0.8032
