session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,069960,2026-06-10 09:31:35,2026-06-10 09:42:08,1,165200,166200,165200,166200,take_profit,0.6053
2026-06-10,055550,2026-06-10 09:31:28,2026-06-10 09:49:04,2,98900,99100,197800,198200,take_profit,0.2022
2026-06-10,085620,2026-06-10 09:42:08,2026-06-10 09:49:12,9,21600,21700,194400,195300,take_profit,0.463
2026-06-10,008770,2026-06-10 09:49:09,2026-06-10 09:52:58,3,53600,53900,160800,161700,take_profit,0.5597
2026-06-10,028670,2026-06-10 09:52:58,2026-06-10 09:56:40,39,5060,5080,197340,198120,take_profit,0.3953
2026-06-10,004990,2026-06-10 09:56:41,2026-06-10 09:58:33,7,25500,25650,178500,179550,take_profit,0.5882
2026-06-10,009420,2026-06-10 09:49:12,2026-06-10 10:02:25,3,50400,50700,151200,152100,take_profit,0.5952
2026-06-10,005940,2026-06-10 09:31:32,2026-06-10 10:04:11,6,30650,30850,183900,185100,take_profit,0.6525
2026-06-10,181710,2026-06-10 09:58:34,2026-06-10 10:04:20,4,40250,40550,161000,162200,take_profit,0.7453
2026-06-10,000430,2026-06-10 10:04:24,2026-06-10 10:23:43,34,5750,5790,195500,196860,take_profit,0.6957
2026-06-10,078930,2026-06-10 10:04:06,2026-06-10 10:35:16,2,73400,73700,146800,147400,take_profit,0.4087
2026-06-10,017900,2026-06-10 10:23:43,2026-06-10 10:35:27,20,9710,9790,194200,195800,take_profit,0.8239
2026-06-10,064400,2026-06-10 10:37:18,2026-06-10 10:50:53,2,96400,96600,192800,193200,take_profit,0.2075
2026-06-10,175330,2026-06-10 10:35:16,2026-06-10 10:57:03,7,25600,25750,179200,180250,take_profit,0.5859
2026-06-10,161390,2026-06-10 10:50:54,2026-06-10 11:18:25,2,71100,71300,142200,142600,take_profit,0.2813
2026-06-10,028670,2026-06-10 10:04:17,2026-06-10 11:51:38,39,5080,5080,198120,198120,force_exit_last_trace,0.0
2026-06-10,055550,2026-06-10 10:59:00,2026-06-10 11:51:43,2,99400,97900,198800,195800,force_exit_last_trace,-1.5091
2026-06-10,009420,2026-06-10 11:18:25,2026-06-10 11:51:38,4,50100,49750,200400,199000,force_exit_last_trace,-0.6986
2026-06-11,180640,2026-06-11 09:32:08,2026-06-11 09:33:36,1,112700,113700,112700,113700,take_profit,0.8873
2026-06-11,120110,2026-06-11 09:32:12,2026-06-11 09:35:57,2,68400,68800,136800,137600,take_profit,0.5848
2026-06-11,279570,2026-06-11 09:33:36,2026-06-11 10:00:53,31,5800,5830,179800,180730,take_profit,0.5172
2026-06-11,180640,2026-06-11 10:00:53,2026-06-11 10:05:19,1,111800,112000,111800,112000,take_profit,0.1789
2026-06-11,016380,2026-06-11 10:05:19,2026-06-11 10:08:02,33,5570,5590,183810,184470,take_profit,0.3591
2026-06-11,005090,2026-06-11 10:08:05,2026-06-11 10:10:42,3,50400,50700,151200,152100,take_profit,0.5952
2026-06-11,016380,2026-06-11 10:10:43,2026-06-11 10:11:14,32,5590,5600,178880,179200,take_profit,0.1789
2026-06-11,180640,2026-06-11 10:11:14,2026-06-11 10:28:18,1,112600,113200,112600,113200,take_profit,0.5329
2026-06-11,001450,2026-06-11 10:28:22,2026-06-11 11:55:46,4,37600,37800,150400,151200,take_profit,0.5319
2026-06-11,010690,2026-06-11 11:55:52,2026-06-11 11:59:41,18,9900,9940,178200,178920,take_profit,0.404
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 14:59:55,7,23350,23100,163450,161700,force_exit_last_trace,-1.0707
