session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,008770,2026-06-10 09:31:38,2026-06-10 10:00:30,3,53900,54100,161700,162300,take_profit,0.3711
2026-06-10,181710,2026-06-10 10:00:32,2026-06-10 10:04:20,4,40350,40550,161400,162200,take_profit,0.4957
2026-06-10,000430,2026-06-10 10:04:24,2026-06-10 10:23:43,34,5750,5790,195500,196860,take_profit,0.6957
2026-06-10,004990,2026-06-10 09:31:38,2026-06-10 10:33:13,7,25700,25800,179900,180600,take_profit,0.3891
2026-06-10,005090,2026-06-10 10:25:26,2026-06-10 10:35:24,3,52100,52600,156300,157800,take_profit,0.9597
2026-06-10,000430,2026-06-10 10:33:21,2026-06-10 10:35:28,35,5720,5790,200200,202650,take_profit,1.2238
2026-06-10,028670,2026-06-10 09:31:37,2026-06-10 11:51:38,38,5140,5080,195320,193040,force_exit_last_trace,-1.1673
2026-06-10,000430,2026-06-10 10:41:01,2026-06-10 11:51:39,34,5730,5590,194820,190060,force_exit_last_trace,-2.4433
2026-06-10,092200,2026-06-10 10:41:01,2026-06-10 11:51:43,20,9810,9570,196200,191400,force_exit_last_trace,-2.4465
2026-06-11,120110,2026-06-11 09:32:12,2026-06-11 09:35:57,2,68400,68800,136800,137600,take_profit,0.5848
2026-06-11,085620,2026-06-11 09:32:12,2026-06-11 10:08:30,8,20750,20950,166000,167600,take_profit,0.9639
2026-06-11,000370,2026-06-11 10:08:30,2026-06-11 10:11:16,30,6120,6160,183600,184800,take_profit,0.6536
2026-06-11,005090,2026-06-11 10:13:08,2026-06-11 13:05:17,3,50700,51300,152100,153900,take_profit,1.1834
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 14:59:55,7,23350,23100,163450,161700,force_exit_last_trace,-1.0707
2026-06-11,000430,2026-06-11 09:36:00,2026-06-11 14:59:55,33,5440,4975,179520,164175,force_exit_last_trace,-8.5478
2026-06-12,042700,2026-06-12 09:32:57,2026-06-12 09:43:01,1,303500,304500,303500,304500,take_profit,0.3295
2026-06-12,047050,2026-06-12 09:43:06,2026-06-12 09:58:47,5,58800,59000,294000,295000,take_profit,0.3401
2026-06-12,081660,2026-06-12 09:33:08,2026-06-12 10:02:19,7,43200,43400,302400,303800,take_profit,0.463
2026-06-12,001800,2026-06-12 10:02:20,2026-06-12 10:40:49,11,26550,26650,292050,293150,take_profit,0.3766
2026-06-12,285130,2026-06-12 10:40:51,2026-06-12 10:49:07,7,43600,43850,305200,306950,take_profit,0.5734
2026-06-12,014680,2026-06-12 09:33:10,2026-06-12 10:55:46,1,288500,291500,288500,291500,take_profit,1.0399
2026-06-12,010120,2026-06-12 10:02:01,2026-06-12 11:10:44,1,236000,237000,236000,237000,take_profit,0.4237
2026-06-12,018670,2026-06-12 11:10:57,2026-06-12 11:22:33,1,224000,225000,224000,225000,take_profit,0.4464
2026-06-12,192080,2026-06-12 10:55:50,2026-06-12 11:33:14,4,71900,72200,287600,288800,take_profit,0.4172
2026-06-12,499790,2026-06-12 11:22:37,2026-06-12 11:55:21,6,49700,49900,298200,299400,take_profit,0.4024
2026-06-12,014820,2026-06-12 11:33:15,2026-06-12 11:55:24,14,22050,22150,308700,310100,take_profit,0.4535
2026-06-12,001800,2026-06-12 10:50:32,2026-06-12 14:02:42,11,26750,27000,294250,297000,take_profit,0.9346
2026-06-12,014820,2026-06-12 11:56:51,2026-06-12 15:00:37,14,22150,21700,310100,303800,force_exit_time,-2.0316
2026-06-12,025540,2026-06-12 11:55:21,2026-06-12 15:00:55,4,75100,73100,300400,292400,force_exit_time,-2.6631
2026-06-15,103590,2026-06-15 09:34:26,2026-06-15 09:37:57,3,87900,88500,263700,265500,take_profit,0.6826
2026-06-15,001430,2026-06-15 09:34:38,2026-06-15 09:37:58,6,49100,49450,294600,296700,take_profit,0.7128
2026-06-15,192650,2026-06-15 09:37:58,2026-06-15 09:42:45,49,6210,6250,304290,306250,take_profit,0.6441
2026-06-15,006360,2026-06-15 09:34:33,2026-06-15 09:53:10,10,30300,30550,303000,305500,take_profit,0.8251
2026-06-15,001510,2026-06-15 09:42:46,2026-06-15 10:08:35,92,3295,3305,303140,304060,take_profit,0.3035
2026-06-15,009420,2026-06-15 10:10:39,2026-06-15 10:27:54,5,51700,52200,258500,261000,take_profit,0.9671
2026-06-15,005090,2026-06-15 09:37:57,2026-06-15 14:41:28,5,55600,55900,278000,279500,take_profit,0.5396
2026-06-15,120110,2026-06-15 09:53:12,2026-06-15 14:58:52,4,75300,72300,301200,289200,force_exit_last_trace,-3.9841
2026-06-15,352820,2026-06-15 10:28:04,2026-06-15 14:58:55,1,220000,217500,220000,217500,force_exit_last_trace,-1.1364
2026-06-16,081660,2026-06-16 09:31:34,2026-06-16 10:34:51,6,43200,44800,259200,268800,take_profit,3.7037
2026-06-16,093370,2026-06-16 10:34:51,2026-06-16 10:50:45,14,20150,20250,282100,283500,take_profit,0.4963
2026-06-16,302440,2026-06-16 09:31:33,2026-06-16 12:16:30,7,39950,40200,279650,281400,take_profit,0.6258
2026-06-16,020150,2026-06-16 09:31:34,2026-06-16 15:00:11,5,55900,55900,279500,279500,force_exit_time,0.0
2026-06-16,161890,2026-06-16 10:50:47,2026-06-16 15:00:14,3,87300,85900,261900,257700,force_exit_time,-1.6037
2026-06-17,012330,2026-06-17 09:13:39,2026-06-17 10:22:45,1,637000,640000,637000,640000,take_profit,0.471
2026-06-17,005380,2026-06-17 09:13:38,2026-06-17 10:22:46,1,621000,623000,621000,623000,take_profit,0.3221
2026-06-17,195870,2026-06-17 10:22:51,2026-06-17 10:26:45,8,80500,81000,644000,648000,take_profit,0.6211
2026-06-17,000210,2026-06-17 10:26:46,2026-06-17 10:33:00,12,54600,54800,655200,657600,take_profit,0.3663
2026-06-17,004800,2026-06-17 10:22:46,2026-06-17 11:00:04,3,200500,202000,601500,606000,take_profit,0.7481
2026-06-17,003490,2026-06-17 11:00:06,2026-06-17 11:03:45,24,28950,29050,694800,697200,take_profit,0.3454
2026-06-17,005387,2026-06-17 11:03:46,2026-06-17 11:14:55,2,246000,247000,492000,494000,take_profit,0.4065
2026-06-17,010060,2026-06-17 11:14:59,2026-06-17 11:53:26,2,312500,314000,625000,628000,take_profit,0.48
2026-06-17,005850,2026-06-17 11:53:32,2026-06-17 13:46:16,9,73800,74200,664200,667800,take_profit,0.542
2026-06-17,028260,2026-06-17 09:13:38,2026-06-17 14:26:02,1,481000,483500,481000,483500,take_profit,0.5198
2026-06-17,000240,2026-06-17 10:33:02,2026-06-17 15:01:04,26,26800,25700,696800,668200,force_exit_time,-4.1045
