trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-10,2026-06-10T09:31:38,BUY-2026-06-10-004990-20260610T093138,004990,BUY,7,25700,179900,26.985,0.0,26.985,backtest_replay,,,,,,,7,179900,25700.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:31:39,BUY-2026-06-10-081660-20260610T093139,081660,BUY,4,40200,160800,24.12,0.0,24.12,backtest_replay,,,,,,,4,160800,40200.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:31:42,BUY-2026-06-10-005090-20260610T093142,005090,BUY,3,52800,158400,23.76,0.0,23.76,backtest_replay,,,,,,,3,158400,52800.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:33:27,SELL-2026-06-10-005090-20260610T093327,005090,SELL,3,52100,156300,23.445,281.34,304.78499999999997,backtest_replay,,,,,,,3,158400,52800.0,3,156300,-2100.0,-2428.545,-1.3258,-1.5332,CLOSED
2026-06-10,2026-06-10T09:33:28,BUY-2026-06-10-028670-20260610T093328,028670,BUY,39,5110,199290,29.8935,0.0,29.8935,backtest_replay,,,,,,,39,199290,5110.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:36:56,SELL-2026-06-10-004990-20260610T093656,004990,SELL,7,25550,178850,26.8275,321.93,348.7575,backtest_replay,,,,,,,7,179900,25700.0,7,178850,-1050.0,-1425.7425,-0.5837,-0.7925,CLOSED
2026-06-10,2026-06-10T09:36:57,BUY-2026-06-10-181710-20260610T093657,181710,BUY,4,41150,164600,24.69,0.0,24.69,backtest_replay,,,,,,,4,164600,41150.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:40:29,SELL-2026-06-10-028670-20260610T094029,028670,SELL,39,5080,198120,29.718,356.616,386.334,backtest_replay,,,,,,,39,199290,5110.0,39,198120,-1170.0,-1586.2275,-0.5871,-0.7959,CLOSED
2026-06-10,2026-06-10T09:40:30,BUY-2026-06-10-008770-20260610T094030,008770,BUY,3,53600,160800,24.12,0.0,24.12,backtest_replay,,,,,,,3,160800,53600.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:44:03,BUY-2026-06-10-085620-20260610T094403,085620,BUY,9,21550,193950,29.0925,0.0,29.0925,backtest_replay,,,,,,,9,193950,21550.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:44:03,SELL-2026-06-10-181710-20260610T094403,181710,SELL,4,40700,162800,24.42,293.04,317.46000000000004,backtest_replay,,,,,,,4,164600,41150.0,4,162800,-1800.0,-2142.15,-1.0936,-1.3014,CLOSED
2026-06-10,2026-06-10T09:45:42,SELL-2026-06-10-008770-20260610T094542,008770,SELL,3,53300,159900,23.985,287.82,311.805,backtest_replay,,,,,,,3,160800,53600.0,3,159900,-900.0,-1235.925,-0.5597,-0.7686,CLOSED
2026-06-10,2026-06-10T09:45:44,BUY-2026-06-10-181710-20260610T094544,181710,BUY,4,40650,162600,24.39,0.0,24.39,backtest_replay,,,,,,,8,327200,40900.0,4,162800,-800.0,-1166.54,-0.4890,-0.7130,OPEN
2026-06-10,2026-06-10T09:49:11,BUY-2026-06-10-036460-20260610T094911,036460,BUY,5,34150,170750,25.6125,0.0,25.6125,backtest_replay,,,,,,,5,170750,34150.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:49:11,SELL-2026-06-10-085620-20260610T094911,085620,SELL,9,21700,195300,29.295,351.54,380.83500000000004,backtest_replay,,,,,,,9,193950,21550.0,9,195300,1350.0,940.0725,0.6961,0.4847,CLOSED
2026-06-10,2026-06-10T09:51:08,BUY-2026-06-10-008770-20260610T095108,008770,BUY,3,53700,161100,24.165,0.0,24.165,backtest_replay,,,,,,,6,321900,53650.0,3,159900,-1050.0,-1410.09,-0.6524,-0.8761,OPEN
2026-06-10,2026-06-10T09:51:08,SELL-2026-06-10-181710-20260610T095108,181710,SELL,4,40350,161400,24.21,290.52,314.72999999999996,backtest_replay,,,,,,,8,327200,40900.0,8,324200,-3000.0,-3681.27,-0.9169,-1.1251,CLOSED
2026-06-10,2026-06-10T09:52:59,BUY-2026-06-10-462870-20260610T095259,462870,BUY,6,30650,183900,27.585,0.0,27.585,backtest_replay,,,,,,,6,183900,30650.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:52:59,SELL-2026-06-10-008770-20260610T095259,008770,SELL,3,53900,161700,24.255,291.06,315.315,backtest_replay,,,,,,,6,321900,53650.0,6,321600,-300.0,-975.405,-0.0932,-0.3030,CLOSED
2026-06-10,2026-06-10T09:54:52,BUY-2026-06-10-181710-20260610T095452,181710,BUY,4,40150,160600,24.09,0.0,24.09,backtest_replay,,,,,,,12,487800,40650.0,8,324200,-1000.0,-1705.36,-0.3075,-0.5244,OPEN
2026-06-10,2026-06-10T09:54:52,SELL-2026-06-10-036460-20260610T095452,036460,SELL,5,34250,171250,25.6875,308.25,333.9375,backtest_replay,,,,,,,5,170750,34150.0,5,171250,500.0,140.45,0.2928,0.0823,CLOSED
2026-06-10,2026-06-10T10:00:30,SELL-2026-06-10-081660-20260610T100030,081660,SELL,4,40350,161400,24.21,290.52,314.72999999999996,backtest_replay,,,,,,,4,160800,40200.0,4,161400,600.0,261.15,0.3731,0.1624,CLOSED
2026-06-10,2026-06-10T10:00:31,SELL-2026-06-10-462870-20260610T100031,462870,SELL,6,31100,186600,27.99,335.88,363.87,backtest_replay,,,,,,,6,183900,30650.0,6,186600,2700.0,2308.545,1.4682,1.2553,CLOSED
2026-06-10,2026-06-10T10:00:32,SELL-2026-06-10-181710-20260610T100032,181710,SELL,4,40350,161400,24.21,290.52,314.72999999999996,backtest_replay,,,,,,,12,487800,40650.0,12,485600,-2200.0,-3220.09,-0.4510,-0.6601,CLOSED
2026-06-10,2026-06-10T10:00:34,BUY-2026-06-10-005090-20260610T100034,005090,BUY,3,51400,154200,23.13,0.0,23.13,backtest_replay,,,,,,,6,312600,52100.0,3,156300,0.0,-351.675,0.0000,-0.2250,OPEN
2026-06-10,2026-06-10T10:02:22,SELL-2026-06-10-005090-20260610T100222,005090,SELL,3,51800,155400,23.31,279.72,303.03000000000003,backtest_replay,,,,,,,6,312600,52100.0,6,311700,-900.0,-1554.705,-0.2879,-0.4973,CLOSED
2026-06-10,2026-06-10T10:02:23,BUY-2026-06-10-181710-20260610T100223,181710,BUY,4,40350,161400,24.21,0.0,24.21,backtest_replay,,,,,,,16,649200,40575.0,12,485600,-1300.0,-2344.3,-0.2670,-0.4815,OPEN
2026-06-10,2026-06-10T10:02:27,BUY-2026-06-10-000430-20260610T100227,000430,BUY,34,5850,198900,29.835,0.0,29.835,backtest_replay,,,,,,,34,198900,5850.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:04:12,BUY-2026-06-10-161390-20260610T100412,161390,BUY,2,72000,144000,21.6,0.0,21.6,backtest_replay,,,,,,,2,144000,72000.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:04:20,SELL-2026-06-10-181710-20260610T100420,181710,SELL,4,40550,162200,24.33,291.96,316.28999999999996,backtest_replay,,,,,,,16,649200,40575.0,16,647800,-1400.0,-2760.59,-0.2157,-0.4252,CLOSED
2026-06-10,2026-06-10T10:04:23,SELL-2026-06-10-000430-20260610T100423,000430,SELL,34,5750,195500,29.325,351.9,381.22499999999997,backtest_replay,,,,,,,34,198900,5850.0,34,195500,-3400.0,-3811.06,-1.7094,-1.9161,CLOSED
