session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,005090,2026-06-10 09:31:42,2026-06-10 09:33:27,3,52800,52100,158400,156300,stop_loss,-1.3258
2026-06-10,004990,2026-06-10 09:31:38,2026-06-10 09:42:10,7,25700,25500,179900,178500,stop_loss,-0.7782
2026-06-10,028670,2026-06-10 09:33:28,2026-06-10 09:42:10,39,5110,5060,199290,197340,stop_loss,-0.9785
2026-06-10,008770,2026-06-10 09:42:11,2026-06-10 09:52:59,3,53600,53900,160800,161700,take_profit,0.5597
2026-06-10,192080,2026-06-10 09:42:12,2026-06-10 09:56:42,2,71700,72200,143400,144400,take_profit,0.6974
2026-06-10,081660,2026-06-10 09:31:39,2026-06-10 10:00:30,4,40200,40350,160800,161400,take_profit,0.3731
2026-06-10,462870,2026-06-10 09:52:59,2026-06-10 10:00:31,6,30650,31100,183900,186600,take_profit,1.4682
2026-06-10,005090,2026-06-10 10:00:34,2026-06-10 10:02:22,3,51400,51800,154200,155400,take_profit,0.7782
2026-06-10,181710,2026-06-10 09:56:43,2026-06-10 10:04:20,4,40200,40550,160800,162200,take_profit,0.8706
2026-06-10,000430,2026-06-10 10:02:27,2026-06-10 10:04:23,34,5850,5750,198900,195500,stop_loss,-1.7094
2026-06-10,161390,2026-06-10 10:04:12,2026-06-10 10:08:16,2,72000,71500,144000,143000,stop_loss,-0.6944
2026-06-10,066575,2026-06-10 10:06:12,2026-06-10 10:10:18,2,78100,78400,156200,156800,take_profit,0.3841
2026-06-10,069960,2026-06-10 10:10:22,2026-06-10 10:14:12,1,162200,163500,162200,163500,take_profit,0.8015
2026-06-10,161390,2026-06-10 10:15:49,2026-06-10 10:17:53,2,71700,71900,143400,143800,take_profit,0.2789
2026-06-10,383220,2026-06-10 10:06:13,2026-06-10 10:19:45,2,75500,75700,151000,151400,take_profit,0.2649
2026-06-10,192080,2026-06-10 10:19:48,2026-06-10 10:23:39,2,71900,71400,143800,142800,stop_loss,-0.6954
2026-06-10,161390,2026-06-10 10:19:40,2026-06-10 10:27:23,2,71800,71300,143600,142600,stop_loss,-0.6964
2026-06-10,005090,2026-06-10 10:23:42,2026-06-10 10:35:26,3,52200,52600,156600,157800,take_profit,0.7663
2026-06-10,028670,2026-06-10 10:27:28,2026-06-10 10:48:46,40,5010,5030,200400,201200,take_profit,0.3992
2026-06-10,064400,2026-06-10 10:37:18,2026-06-10 10:50:53,2,96400,96600,192800,193200,take_profit,0.2075
2026-06-10,078930,2026-06-10 10:48:50,2026-06-10 10:50:55,2,73800,74100,147600,148200,take_profit,0.4065
2026-06-10,028670,2026-06-10 10:50:59,2026-06-10 11:18:22,39,5040,4975,196560,194025,stop_loss,-1.2897
2026-06-10,161390,2026-06-10 10:50:53,2026-06-10 11:18:26,2,71100,71300,142200,142600,take_profit,0.2813
2026-06-10,009420,2026-06-10 11:18:25,2026-06-10 11:24:52,4,50100,49750,200400,199000,stop_loss,-0.6986
2026-06-10,192080,2026-06-10 11:18:27,2026-06-10 11:43:08,2,71300,71700,142600,143400,take_profit,0.561
2026-06-10,181710,2026-06-10 11:24:55,2026-06-10 11:49:46,4,40500,40600,162000,162400,take_profit,0.2469
2026-06-10,281820,2026-06-10 11:43:08,2026-06-10 11:51:43,3,66100,66500,198300,199500,take_profit,0.6051
2026-06-10,326030,2026-06-10 10:08:18,2026-06-10 11:32:35,2,88300,88000,176600,176000,force_exit_last_trace,-0.3398
2026-06-11,180640,2026-06-11 09:32:11,2026-06-11 09:33:36,1,112700,113700,112700,113700,take_profit,0.8873
2026-06-11,085620,2026-06-11 09:32:12,2026-06-11 09:35:31,8,20750,20600,166000,164800,stop_loss,-0.7229
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 09:36:00,7,23350,23200,163450,162400,stop_loss,-0.6424
2026-06-11,001450,2026-06-11 09:35:31,2026-06-11 09:40:33,4,37850,37450,151400,149800,stop_loss,-1.0568
2026-06-11,012750,2026-06-11 09:33:36,2026-06-11 09:40:34,2,72400,71900,144800,143800,stop_loss,-0.6906
2026-06-11,120110,2026-06-11 09:40:35,2026-06-11 09:43:10,2,68700,69200,137400,138400,take_profit,0.7278
2026-06-11,181710,2026-06-11 09:40:37,2026-06-11 09:43:42,4,39450,39650,157800,158600,take_profit,0.507
2026-06-11,279570,2026-06-11 09:36:00,2026-06-11 09:45:41,31,5780,5710,179180,177010,stop_loss,-1.2111
2026-06-11,323410,2026-06-11 09:45:37,2026-06-11 09:46:17,8,22750,22850,182000,182800,take_profit,0.4396
2026-06-11,181710,2026-06-11 09:45:43,2026-06-11 09:48:32,4,39550,39300,158200,157200,stop_loss,-0.6321
2026-06-11,000430,2026-06-11 09:46:17,2026-06-11 09:48:35,35,5220,5140,182700,179900,stop_loss,-1.5326
2026-06-11,012750,2026-06-11 09:49:06,2026-06-11 09:51:10,2,71900,72100,143800,144200,take_profit,0.2782
2026-06-11,005090,2026-06-11 09:43:12,2026-06-11 09:57:10,3,49500,50600,148500,151800,take_profit,2.2222
2026-06-11,279570,2026-06-11 09:57:50,2026-06-11 10:00:00,32,5670,5700,181440,182400,take_profit,0.5291
2026-06-11,181710,2026-06-11 09:51:13,2026-06-11 10:00:02,4,39350,39650,157400,158600,take_profit,0.7624
2026-06-11,016380,2026-06-11 09:48:34,2026-06-11 10:00:04,33,5550,5570,183150,183810,take_profit,0.3604
2026-06-11,092200,2026-06-11 10:00:05,2026-06-11 10:03:04,19,9310,9230,176890,175370,stop_loss,-0.8593
2026-06-11,120110,2026-06-11 10:03:32,2026-06-11 10:05:23,2,68600,69200,137200,138400,take_profit,0.8746
2026-06-11,181710,2026-06-11 10:00:55,2026-06-11 10:05:25,4,39500,39750,158000,159000,take_profit,0.6329
2026-06-11,323410,2026-06-11 10:05:58,2026-06-11 10:08:01,8,22850,22950,182800,183600,take_profit,0.4376
2026-06-11,016380,2026-06-11 10:05:27,2026-06-11 10:08:09,33,5570,5590,183810,184470,take_profit,0.3591
2026-06-11,012750,2026-06-11 10:00:53,2026-06-11 10:08:30,2,71500,71800,143000,143600,take_profit,0.4196
2026-06-11,005090,2026-06-11 10:08:09,2026-06-11 10:10:44,3,50400,50700,151200,152100,take_profit,0.5952
2026-06-11,475150,2026-06-11 10:08:07,2026-06-11 10:13:21,4,41250,40500,165000,162000,stop_loss,-1.8182
2026-06-11,092200,2026-06-11 10:08:31,2026-06-11 10:19:21,19,9230,9120,175370,173280,stop_loss,-1.1918
2026-06-11,016380,2026-06-11 10:13:24,2026-06-11 10:25:28,32,5600,5630,179200,180160,take_profit,0.5357
2026-06-11,005090,2026-06-11 10:19:45,2026-06-11 10:25:28,3,50100,49600,150300,148800,stop_loss,-0.998
2026-06-11,180640,2026-06-11 10:11:14,2026-06-11 10:28:19,1,112600,113200,112600,113200,take_profit,0.5329
2026-06-11,000430,2026-06-11 10:25:29,2026-06-11 10:28:28,36,5070,5030,182520,181080,stop_loss,-0.789
2026-06-11,001450,2026-06-11 10:28:21,2026-06-11 10:31:21,4,37600,37150,150400,148600,stop_loss,-1.1968
2026-06-11,000430,2026-06-11 10:29:03,2026-06-11 10:34:41,36,5010,5040,180360,181440,take_profit,0.5988
2026-06-11,069960,2026-06-11 10:31:21,2026-06-11 10:39:26,1,172900,171500,172900,171500,stop_loss,-0.8097
2026-06-11,323410,2026-06-11 10:34:41,2026-06-11 10:45:27,8,22850,22650,182800,181200,stop_loss,-0.8753
2026-06-11,001450,2026-06-11 10:39:26,2026-06-11 10:49:15,4,37300,37450,149200,149800,take_profit,0.4021
2026-06-11,005090,2026-06-11 10:26:04,2026-06-11 10:55:12,3,49650,50400,148950,151200,take_profit,1.5106
