session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-16,020150,2026-06-16 09:31:34,2026-06-16 10:11:57,5,55900,54900,279500,274500,stop_loss,-1.7889
2026-06-16,004990,2026-06-16 09:31:35,2026-06-16 10:17:24,10,27100,26650,271000,266500,stop_loss,-1.6605
2026-06-16,001800,2026-06-16 10:12:06,2026-06-16 10:34:55,10,27450,27900,274500,279000,take_profit,1.6393
2026-06-16,000210,2026-06-16 10:34:59,2026-06-16 11:05:55,5,54400,54800,272000,274000,take_profit,0.7353
2026-06-16,302440,2026-06-16 09:31:33,2026-06-16 12:16:29,7,39950,40200,279650,281400,take_profit,0.6258
2026-06-16,022100,2026-06-16 12:19:37,2026-06-16 12:22:45,10,28150,28250,281500,282500,take_profit,0.3552
2026-06-16,484870,2026-06-16 11:05:55,2026-06-16 12:30:23,3,88600,89700,265800,269100,take_profit,1.2415
2026-06-16,081660,2026-06-16 12:22:48,2026-06-16 12:44:40,6,44700,43900,268200,263400,stop_loss,-1.7897
2026-06-16,484870,2026-06-16 12:47:54,2026-06-16 12:59:00,3,88600,88900,265800,266700,take_profit,0.3386
2026-06-16,020150,2026-06-16 12:59:02,2026-06-16 13:17:08,5,54800,55000,274000,275000,take_profit,0.365
2026-06-16,016380,2026-06-16 12:30:24,2026-06-16 13:52:02,47,6110,6130,287170,288110,take_profit,0.3273
2026-06-16,383220,2026-06-16 13:17:09,2026-06-16 14:04:37,3,79500,80200,238500,240600,take_profit,0.8805
2026-06-16,051600,2026-06-16 10:17:26,2026-06-16 14:11:28,5,53300,52500,266500,262500,stop_loss,-1.5009
2026-06-16,484870,2026-06-16 13:54:01,2026-06-16 14:23:17,3,88400,88900,265200,266700,take_profit,0.5656
