session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,005090,2026-06-10 09:31:42,2026-06-10 09:42:15,3,52800,51400,158400,154200,stop_loss,-2.6515
2026-06-10,114090,2026-06-10 09:42:15,2026-06-10 09:56:45,16,11870,11910,189920,190560,take_profit,0.337
2026-06-10,081660,2026-06-10 09:31:39,2026-06-10 10:00:30,4,40200,40350,160800,161400,take_profit,0.3731
2026-06-10,005090,2026-06-10 09:56:45,2026-06-10 10:00:34,3,51000,51400,153000,154200,take_profit,0.7843
2026-06-10,181710,2026-06-10 10:00:32,2026-06-10 10:04:20,4,40350,40550,161400,162200,take_profit,0.4957
2026-06-10,066575,2026-06-10 10:06:12,2026-06-10 10:10:18,2,78100,78400,156200,156800,take_profit,0.3841
2026-06-10,069960,2026-06-10 10:10:22,2026-06-10 10:14:12,1,162200,163500,162200,163500,take_profit,0.8015
2026-06-10,161390,2026-06-10 10:15:49,2026-06-10 10:17:53,2,71700,71900,143400,143800,take_profit,0.2789
2026-06-10,004990,2026-06-10 09:31:38,2026-06-10 10:33:16,7,25700,25800,179900,180600,take_profit,0.3891
2026-06-10,000430,2026-06-10 10:02:27,2026-06-10 10:43:02,34,5850,5700,198900,193800,stop_loss,-2.5641
2026-06-10,028670,2026-06-10 10:33:16,2026-06-10 10:48:46,40,5010,5030,200400,201200,take_profit,0.3992
2026-06-10,078930,2026-06-10 10:48:50,2026-06-10 10:50:55,2,73800,74100,147600,148200,take_profit,0.4065
2026-06-10,092200,2026-06-10 10:43:02,2026-06-10 11:03:28,20,9790,9530,195800,190600,stop_loss,-2.6558
2026-06-10,028670,2026-06-10 10:50:59,2026-06-10 11:30:17,39,5040,5070,196560,197730,take_profit,0.5952
2026-06-10,181710,2026-06-10 11:30:18,2026-06-10 11:49:46,4,40450,40600,161800,162400,take_profit,0.3708
2026-06-10,161390,2026-06-10 10:19:40,2026-06-10 11:51:41,2,71800,70900,143600,141800,force_exit_last_trace,-1.2535
2026-06-10,000430,2026-06-10 11:03:29,2026-06-10 11:51:42,35,5660,5590,198100,195650,force_exit_last_trace,-1.2367
2026-06-10,281820,2026-06-10 11:49:46,2026-06-10 11:51:43,3,66100,66500,198300,199500,force_exit_last_trace,0.6051
2026-06-11,180640,2026-06-11 09:32:11,2026-06-11 09:33:36,1,112700,113700,112700,113700,take_profit,0.8873
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 09:45:37,7,23350,22750,163450,159250,stop_loss,-2.5696
2026-06-11,085620,2026-06-11 09:32:12,2026-06-11 09:45:39,8,20750,20100,166000,160800,stop_loss,-3.1325
2026-06-11,009420,2026-06-11 09:45:40,2026-06-11 09:46:20,3,49250,49500,147750,148500,take_profit,0.5076
2026-06-11,161390,2026-06-11 09:48:27,2026-06-11 09:49:08,2,70900,71100,141800,142200,take_profit,0.2821
2026-06-11,009420,2026-06-11 09:49:08,2026-06-11 09:53:43,3,49900,50200,149700,150600,take_profit,0.6012
2026-06-11,005090,2026-06-11 09:53:47,2026-06-11 09:57:10,3,49950,50600,149850,151800,take_profit,1.3013
2026-06-11,016380,2026-06-11 09:57:10,2026-06-11 10:03:03,33,5560,5580,183480,184140,take_profit,0.3597
2026-06-11,181710,2026-06-11 09:45:43,2026-06-11 10:05:25,4,39550,39750,158200,159000,take_profit,0.5057
2026-06-11,016380,2026-06-11 10:05:27,2026-06-11 10:08:09,33,5570,5590,183810,184470,take_profit,0.3591
2026-06-11,005090,2026-06-11 10:08:09,2026-06-11 10:10:44,3,50400,50700,151200,152100,take_profit,0.5952
2026-06-11,180640,2026-06-11 10:11:14,2026-06-11 10:28:19,1,112600,113200,112600,113200,take_profit,0.5329
2026-06-11,092200,2026-06-11 10:03:04,2026-06-11 10:48:34,19,9230,9320,175370,177080,take_profit,0.9751
2026-06-11,217590,2026-06-11 10:48:34,2026-06-11 11:01:51,7,24950,24300,174650,170100,stop_loss,-2.6052
2026-06-11,001450,2026-06-11 10:28:21,2026-06-11 11:55:45,4,37600,37800,150400,151200,take_profit,0.5319
2026-06-11,012750,2026-06-11 09:33:36,2026-06-11 12:04:33,2,72400,72600,144800,145200,take_profit,0.2762
2026-06-11,005090,2026-06-11 11:55:50,2026-06-11 12:07:57,3,50100,50400,150300,151200,take_profit,0.5988
2026-06-11,217590,2026-06-11 12:07:57,2026-06-11 12:14:39,7,23200,22600,162400,158200,stop_loss,-2.5862
2026-06-11,003160,2026-06-11 12:14:42,2026-06-11 12:26:16,6,28000,28250,168000,169500,take_profit,0.8929
2026-06-11,475150,2026-06-11 12:26:16,2026-06-11 12:29:07,4,40650,40750,162600,163000,take_profit,0.246
2026-06-11,161390,2026-06-11 12:04:34,2026-06-11 12:40:20,2,71100,71500,142200,143000,take_profit,0.5626
2026-06-11,005090,2026-06-11 12:29:09,2026-06-11 12:40:28,3,50400,50600,151200,151800,take_profit,0.3968
2026-06-11,475150,2026-06-11 12:40:26,2026-06-11 12:44:10,4,40850,41000,163400,164000,take_profit,0.3672
2026-06-11,092200,2026-06-11 12:44:13,2026-06-11 12:45:11,19,9430,9480,179170,180120,take_profit,0.5302
2026-06-11,066575,2026-06-11 12:51:48,2026-06-11 12:55:22,2,75100,75500,150200,151000,take_profit,0.5326
2026-06-11,000430,2026-06-11 12:58:22,2026-06-11 13:01:42,36,5000,5020,180000,180720,take_profit,0.4
2026-06-11,005090,2026-06-11 12:44:12,2026-06-11 13:05:16,3,50700,51300,152100,153900,take_profit,1.1834
2026-06-11,066575,2026-06-11 13:05:23,2026-06-11 13:07:32,2,74900,75200,149800,150400,take_profit,0.4005
2026-06-11,475150,2026-06-11 13:09:00,2026-06-11 13:10:05,4,41150,41350,164600,165400,take_profit,0.486
2026-06-11,499790,2026-06-11 13:10:22,2026-06-11 13:12:10,3,50600,51000,151800,153000,take_profit,0.7905
2026-06-11,217590,2026-06-11 13:03:39,2026-06-11 13:13:58,8,22800,22900,182400,183200,take_profit,0.4386
2026-06-11,000430,2026-06-11 13:14:15,2026-06-11 13:16:02,36,5000,5040,180000,181440,take_profit,0.8
2026-06-11,000430,2026-06-11 13:16:23,2026-06-11 13:16:44,36,5020,5040,180720,181440,take_profit,0.3984
2026-06-11,092200,2026-06-11 13:16:46,2026-06-11 13:19:38,19,9520,9600,180880,182400,take_profit,0.8403
2026-06-11,066575,2026-06-11 13:19:44,2026-06-11 13:21:31,2,75000,75300,150000,150600,take_profit,0.4
2026-06-11,279570,2026-06-11 13:22:29,2026-06-11 13:27:11,29,6200,6220,179800,180380,take_profit,0.3226
2026-06-11,092200,2026-06-11 13:27:54,2026-06-11 13:28:16,19,9610,9630,182590,182970,take_profit,0.2081
2026-06-11,000430,2026-06-11 13:28:36,2026-06-11 13:29:41,36,5010,5030,180360,181080,take_profit,0.3992
2026-06-11,217590,2026-06-11 13:30:50,2026-06-11 13:31:11,7,23100,23200,161700,162400,take_profit,0.4329
2026-06-11,016380,2026-06-11 13:12:30,2026-06-11 13:42:40,32,5720,5740,183040,183680,take_profit,0.3497
2026-06-11,181710,2026-06-11 11:04:12,2026-06-11 14:17:03,4,39000,39200,156000,156800,take_profit,0.5128
2026-06-12,042700,2026-06-12 09:32:56,2026-06-12 09:43:00,1,303500,304500,303500,304500,take_profit,0.3295
2026-06-12,047050,2026-06-12 09:43:05,2026-06-12 09:58:47,5,58800,59000,294000,295000,take_profit,0.3401
2026-06-12,017800,2026-06-12 09:58:49,2026-06-12 10:33:53,3,79600,79900,238800,239700,take_profit,0.3769
2026-06-12,014680,2026-06-12 09:33:09,2026-06-12 10:55:48,1,288500,291500,288500,291500,take_profit,1.0399
2026-06-12,028050,2026-06-12 09:33:02,2026-06-12 11:00:01,6,48850,48950,293100,293700,take_profit,0.2047
2026-06-12,018670,2026-06-12 11:00:15,2026-06-12 11:28:15,1,224000,225500,224000,225500,take_profit,0.6696
2026-06-12,195870,2026-06-12 11:28:19,2026-06-12 11:33:14,4,79000,79600,316000,318400,take_profit,0.7595
2026-06-12,475150,2026-06-12 11:33:14,2026-06-12 11:38:09,7,44400,44700,310800,312900,take_profit,0.6757
