session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,005090,2026-06-10 09:31:42,2026-06-10 09:42:15,3,52800,51400,158400,154200,stop_loss,-2.6515
2026-06-10,000430,2026-06-10 09:42:16,2026-06-10 09:45:47,33,5930,5960,195690,196680,take_profit,0.5059
2026-06-10,081660,2026-06-10 09:31:39,2026-06-10 10:00:30,4,40200,40350,160800,161400,take_profit,0.3731
2026-06-10,005090,2026-06-10 10:00:34,2026-06-10 10:02:22,3,51400,51800,154200,155400,take_profit,0.7782
2026-06-10,181710,2026-06-10 09:47:34,2026-06-10 10:29:23,4,40550,41100,162200,164400,take_profit,1.3564
2026-06-10,004990,2026-06-10 09:31:38,2026-06-10 10:33:16,7,25700,25800,179900,180600,take_profit,0.3891
2026-06-10,088350,2026-06-10 10:31:19,2026-06-10 10:33:23,41,4875,4890,199875,200490,take_profit,0.3077
2026-06-10,000430,2026-06-10 10:02:27,2026-06-10 10:43:02,34,5850,5700,198900,193800,stop_loss,-2.5641
2026-06-10,028670,2026-06-10 10:33:16,2026-06-10 10:48:46,40,5010,5030,200400,201200,take_profit,0.3992
2026-06-10,078930,2026-06-10 10:48:50,2026-06-10 10:50:55,2,73800,74100,147600,148200,take_profit,0.4065
2026-06-10,092200,2026-06-10 10:43:02,2026-06-10 11:03:28,20,9790,9530,195800,190600,stop_loss,-2.6558
2026-06-10,028670,2026-06-10 10:50:59,2026-06-10 11:30:17,39,5040,5070,196560,197730,take_profit,0.5952
2026-06-10,181710,2026-06-10 11:30:18,2026-06-10 11:49:46,4,40450,40600,161800,162400,take_profit,0.3708
2026-06-10,161390,2026-06-10 10:35:15,2026-06-10 11:51:41,2,71600,70900,143200,141800,force_exit_last_trace,-0.9777
2026-06-10,000430,2026-06-10 11:03:29,2026-06-10 11:51:42,35,5660,5590,198100,195650,force_exit_last_trace,-1.2367
2026-06-10,281820,2026-06-10 11:49:46,2026-06-10 11:51:43,3,66100,66500,198300,199500,force_exit_last_trace,0.6051
2026-06-11,120110,2026-06-11 09:32:14,2026-06-11 09:35:59,2,68400,68800,136800,137600,take_profit,0.5848
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 09:45:37,7,23350,22750,163450,159250,stop_loss,-2.5696
2026-06-11,085620,2026-06-11 09:32:12,2026-06-11 09:45:39,8,20750,20100,166000,160800,stop_loss,-3.1325
2026-06-11,000430,2026-06-11 09:35:59,2026-06-11 09:45:45,33,5440,5250,179520,173250,stop_loss,-3.4926
2026-06-11,000430,2026-06-11 09:46:17,2026-06-11 09:53:48,35,5220,5050,182700,176750,stop_loss,-3.2567
2026-06-11,005090,2026-06-11 09:45:44,2026-06-11 09:57:10,3,49750,50600,149250,151800,take_profit,1.7085
2026-06-11,000430,2026-06-11 09:54:22,2026-06-11 09:57:11,36,5030,5070,181080,182520,take_profit,0.7952
2026-06-11,279570,2026-06-11 09:57:50,2026-06-11 10:00:00,32,5670,5700,181440,182400,take_profit,0.5291
2026-06-11,016380,2026-06-11 09:57:10,2026-06-11 10:03:03,33,5560,5580,183480,184140,take_profit,0.3597
2026-06-11,120110,2026-06-11 10:03:32,2026-06-11 10:05:23,2,68600,69200,137200,138400,take_profit,0.8746
2026-06-11,181710,2026-06-11 09:45:43,2026-06-11 10:05:25,4,39550,39750,158200,159000,take_profit,0.5057
2026-06-11,016380,2026-06-11 10:05:27,2026-06-11 10:08:09,33,5570,5590,183810,184470,take_profit,0.3591
2026-06-11,005090,2026-06-11 10:08:09,2026-06-11 10:10:44,3,50400,50700,151200,152100,take_profit,0.5952
2026-06-11,000370,2026-06-11 10:08:33,2026-06-11 10:11:15,30,6120,6160,183600,184800,take_profit,0.6536
2026-06-11,016380,2026-06-11 10:13:24,2026-06-11 10:25:28,32,5600,5630,179200,180160,take_profit,0.5357
2026-06-11,092200,2026-06-11 10:00:05,2026-06-11 10:49:14,19,9310,9360,176890,177840,take_profit,0.5371
2026-06-11,005090,2026-06-11 10:25:28,2026-06-11 10:55:12,3,49600,50400,148800,151200,take_profit,1.6129
2026-06-11,000370,2026-06-11 10:55:56,2026-06-11 11:04:41,30,6060,6100,181800,183000,take_profit,0.6601
2026-06-11,181710,2026-06-11 10:49:16,2026-06-11 11:31:25,4,39500,38500,158000,154000,stop_loss,-2.5316
2026-06-11,499790,2026-06-11 11:31:25,2026-06-11 12:07:56,3,50000,50300,150000,150900,take_profit,0.6
2026-06-11,005090,2026-06-11 11:07:08,2026-06-11 12:07:57,3,50100,50400,150300,151200,take_profit,0.5988
2026-06-11,217590,2026-06-11 12:07:57,2026-06-11 12:14:39,7,23200,22600,162400,158200,stop_loss,-2.5862
2026-06-11,003160,2026-06-11 12:14:42,2026-06-11 12:26:16,6,28000,28250,168000,169500,take_profit,0.8929
2026-06-11,181710,2026-06-11 12:29:08,2026-06-11 12:32:58,4,38150,38350,152600,153400,take_profit,0.5242
2026-06-11,217590,2026-06-11 12:33:44,2026-06-11 12:40:29,8,22700,23000,181600,184000,take_profit,1.3216
2026-06-11,005090,2026-06-11 12:08:40,2026-06-11 12:44:12,3,50400,50700,151200,152100,take_profit,0.5952
2026-06-11,092200,2026-06-11 12:44:13,2026-06-11 12:45:11,19,9430,9480,179170,180120,take_profit,0.5302
2026-06-11,005090,2026-06-11 12:51:50,2026-06-11 13:05:16,3,50600,51300,151800,153900,take_profit,1.3834
2026-06-11,323410,2026-06-11 10:13:15,2026-06-11 13:06:40,7,23050,23150,161350,162050,take_profit,0.4338
2026-06-11,217590,2026-06-11 13:05:20,2026-06-11 13:06:44,8,22650,22800,181200,182400,take_profit,0.6623
2026-06-11,217590,2026-06-11 13:07:29,2026-06-11 13:09:19,8,22700,22850,181600,182800,take_profit,0.6608
2026-06-11,499790,2026-06-11 13:10:22,2026-06-11 13:12:10,3,50600,51000,151800,153000,take_profit,0.7905
2026-06-11,217590,2026-06-11 13:10:23,2026-06-11 13:13:37,8,22750,22850,182000,182800,take_profit,0.4396
2026-06-11,092200,2026-06-11 13:15:00,2026-06-11 13:15:42,19,9500,9540,180500,181260,take_profit,0.4211
2026-06-11,000430,2026-06-11 13:16:23,2026-06-11 13:16:44,36,5020,5040,180720,181440,take_profit,0.3984
2026-06-11,092200,2026-06-11 13:16:46,2026-06-11 13:19:38,19,9520,9600,180880,182400,take_profit,0.8403
2026-06-11,217590,2026-06-11 13:20:24,2026-06-11 13:21:07,8,22800,23000,182400,184000,take_profit,0.8772
2026-06-11,279570,2026-06-11 13:22:29,2026-06-11 13:27:11,29,6200,6220,179800,180380,take_profit,0.3226
2026-06-11,000430,2026-06-11 13:28:36,2026-06-11 13:29:41,36,5010,5030,180360,181080,take_profit,0.3992
2026-06-11,217590,2026-06-11 13:30:50,2026-06-11 13:31:11,7,23100,23200,161700,162400,take_profit,0.4329
2026-06-11,016380,2026-06-11 13:12:30,2026-06-11 13:42:40,32,5720,5740,183040,183680,take_profit,0.3497
2026-06-11,181710,2026-06-11 12:44:10,2026-06-11 14:17:03,4,38800,39200,155200,156800,take_profit,1.0309
2026-06-12,042700,2026-06-12 09:32:56,2026-06-12 09:43:00,1,303500,304500,303500,304500,take_profit,0.3295
2026-06-12,047050,2026-06-12 09:43:05,2026-06-12 09:58:47,5,58800,59000,294000,295000,take_profit,0.3401
2026-06-12,081660,2026-06-12 09:33:14,2026-06-12 10:02:18,7,43200,43400,302400,303800,take_profit,0.463
2026-06-12,051600,2026-06-12 10:02:19,2026-06-12 10:03:43,6,50000,50200,300000,301200,take_profit,0.4
2026-06-12,014680,2026-06-12 09:33:09,2026-06-12 10:55:48,1,288500,291500,288500,291500,take_profit,1.0399
2026-06-12,010120,2026-06-12 10:02:00,2026-06-12 11:10:43,1,236000,237000,236000,237000,take_profit,0.4237
2026-06-12,062040,2026-06-12 10:06:57,2026-06-12 11:18:40,1,226500,229000,226500,229000,take_profit,1.1038
2026-06-12,018670,2026-06-12 11:18:40,2026-06-12 11:28:15,1,224500,225500,224500,225500,take_profit,0.4454
2026-06-12,195870,2026-06-12 11:28:19,2026-06-12 11:33:14,4,79000,79600,316000,318400,take_profit,0.7595
2026-06-12,009970,2026-06-12 11:11:02,2026-06-12 11:39:46,1,188700,190400,188700,190400,take_profit,0.9009
