trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-10,2026-06-10T09:31:38,BUY-2026-06-10-004990-20260610T093138,004990,BUY,7,25700,179900,26.985,0.0,26.985,backtest_replay,,,,,,,7,179900,25700.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:31:39,BUY-2026-06-10-081660-20260610T093139,081660,BUY,4,40200,160800,24.12,0.0,24.12,backtest_replay,,,,,,,4,160800,40200.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:31:42,BUY-2026-06-10-005090-20260610T093142,005090,BUY,3,52800,158400,23.76,0.0,23.76,backtest_replay,,,,,,,3,158400,52800.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:42:15,SELL-2026-06-10-005090-20260610T094215,005090,SELL,3,51400,154200,23.13,277.56,300.69,backtest_replay,,,,,,,3,158400,52800.0,3,154200,-4200.0,-4524.45,-2.6515,-2.8563,CLOSED
2026-06-10,2026-06-10T09:42:16,BUY-2026-06-10-000430-20260610T094216,000430,BUY,33,5930,195690,29.3535,0.0,29.3535,backtest_replay,,,,,,,33,195690,5930.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:45:47,SELL-2026-06-10-000430-20260610T094547,000430,SELL,33,5960,196680,29.502,354.024,383.526,backtest_replay,,,,,,,33,195690,5930.0,33,196680,990.0,577.1205,0.5059,0.2949,CLOSED
2026-06-10,2026-06-10T09:47:34,BUY-2026-06-10-181710-20260610T094734,181710,BUY,4,40550,162200,24.33,0.0,24.33,backtest_replay,,,,,,,4,162200,40550.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:00:30,SELL-2026-06-10-081660-20260610T100030,081660,SELL,4,40350,161400,24.21,290.52,314.72999999999996,backtest_replay,,,,,,,4,160800,40200.0,4,161400,600.0,261.15,0.3731,0.1624,CLOSED
2026-06-10,2026-06-10T10:00:34,BUY-2026-06-10-005090-20260610T100034,005090,BUY,3,51400,154200,23.13,0.0,23.13,backtest_replay,,,,,,,6,312600,52100.0,3,154200,-2100.0,-2447.58,-1.3436,-1.5660,OPEN
2026-06-10,2026-06-10T10:02:22,SELL-2026-06-10-005090-20260610T100222,005090,SELL,3,51800,155400,23.31,279.72,303.03000000000003,backtest_replay,,,,,,,6,312600,52100.0,6,309600,-3000.0,-3650.61,-0.9597,-1.1678,CLOSED
2026-06-10,2026-06-10T10:02:27,BUY-2026-06-10-000430-20260610T100227,000430,BUY,34,5850,198900,29.835,0.0,29.835,backtest_replay,,,,,,,67,394590,5889.403,33,196680,2329.7015,1886.987,1.1987,0.9709,OPEN
2026-06-10,2026-06-10T10:29:23,SELL-2026-06-10-181710-20260610T102923,181710,SELL,4,41100,164400,24.66,295.92,320.58000000000004,backtest_replay,,,,,,,4,162200,40550.0,4,164400,2200.0,1855.09,1.3564,1.1437,CLOSED
2026-06-10,2026-06-10T10:31:19,BUY-2026-06-10-088350-20260610T103119,088350,BUY,41,4875,199875,29.9812,0.0,29.9812,backtest_replay,,,,,,,41,199875,4875.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:33:16,BUY-2026-06-10-028670-20260610T103316,028670,BUY,40,5010,200400,30.06,0.0,30.06,backtest_replay,,,,,,,40,200400,5010.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:33:16,SELL-2026-06-10-004990-20260610T103316,004990,SELL,7,25800,180600,27.09,325.08,352.16999999999996,backtest_replay,,,,,,,7,179900,25700.0,7,180600,700.0,320.845,0.3891,0.1783,CLOSED
2026-06-10,2026-06-10T10:33:23,SELL-2026-06-10-088350-20260610T103323,088350,SELL,41,4890,200490,30.0735,360.882,390.95550000000003,backtest_replay,,,,,,,41,199875,4875.0,41,200490,615.0,194.0633,0.3077,0.0971,CLOSED
2026-06-10,2026-06-10T10:35:15,BUY-2026-06-10-161390-20260610T103515,161390,BUY,2,71600,143200,21.48,0.0,21.48,backtest_replay,,,,,,,2,143200,71600.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:43:02,BUY-2026-06-10-092200-20260610T104302,092200,BUY,20,9790,195800,29.37,0.0,29.37,backtest_replay,,,,,,,20,195800,9790.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:43:02,SELL-2026-06-10-000430-20260610T104302,000430,SELL,34,5700,193800,29.07,348.84,377.90999999999997,backtest_replay,,,,,,,67,394590,5889.403,67,390480,-4110.0,-4930.6245,-1.0416,-1.2496,CLOSED
2026-06-10,2026-06-10T10:48:46,SELL-2026-06-10-028670-20260610T104846,028670,SELL,40,5030,201200,30.18,362.16,392.34000000000003,backtest_replay,,,,,,,40,200400,5010.0,40,201200,800.0,377.6,0.3992,0.1884,CLOSED
2026-06-10,2026-06-10T10:48:50,BUY-2026-06-10-078930-20260610T104850,078930,BUY,2,73800,147600,22.14,0.0,22.14,backtest_replay,,,,,,,2,147600,73800.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:50:55,SELL-2026-06-10-078930-20260610T105055,078930,SELL,2,74100,148200,22.23,266.76,288.99,backtest_replay,,,,,,,2,147600,73800.0,2,148200,600.0,288.87,0.4065,0.1957,CLOSED
2026-06-10,2026-06-10T10:50:59,BUY-2026-06-10-028670-20260610T105059,028670,BUY,39,5040,196560,29.484,0.0,29.484,backtest_replay,,,,,,,79,396960,5024.8101,40,201200,207.5949,-244.2891,0.1033,-0.1215,OPEN
2026-06-10,2026-06-10T11:03:28,SELL-2026-06-10-092200-20260610T110328,092200,SELL,20,9530,190600,28.59,343.08,371.66999999999996,backtest_replay,,,,,,,20,195800,9790.0,20,190600,-5200.0,-5601.04,-2.6558,-2.8606,CLOSED
2026-06-10,2026-06-10T11:03:29,BUY-2026-06-10-000430-20260610T110329,000430,BUY,35,5660,198100,29.715,0.0,29.715,backtest_replay,,,,,,,102,592690,5810.6863,67,390480,1164.0196,313.6801,0.2990,0.0806,OPEN
2026-06-10,2026-06-10T11:30:17,SELL-2026-06-10-028670-20260610T113017,028670,SELL,39,5070,197730,29.6595,355.914,385.57349999999997,backtest_replay,,,,,,,79,396960,5024.8101,79,398930,1970.0,1132.5425,0.4963,0.2853,CLOSED
2026-06-10,2026-06-10T11:30:18,BUY-2026-06-10-181710-20260610T113018,181710,BUY,4,40450,161800,24.27,0.0,24.27,backtest_replay,,,,,,,8,324000,40500.0,4,164400,2400.0,2030.82,1.4815,1.2536,OPEN
2026-06-10,2026-06-10T11:49:46,BUY-2026-06-10-281820-20260610T114946,281820,BUY,3,66100,198300,29.745,0.0,29.745,backtest_replay,,,,,,,3,198300,66100.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T11:49:46,SELL-2026-06-10-181710-20260610T114946,181710,SELL,4,40600,162400,24.36,292.32,316.68,backtest_replay,,,,,,,8,324000,40500.0,8,326800,2800.0,2114.14,0.8642,0.6525,CLOSED
2026-06-10,2026-06-10T11:51:41,SELL-2026-06-10-161390-20260610T115141,161390,SELL,2,70900,141800,21.27,255.24,276.51,backtest_replay,,,,,,,2,143200,71600.0,2,141800,-1400.0,-1697.99,-0.9777,-1.1857,CLOSED
2026-06-10,2026-06-10T11:51:42,SELL-2026-06-10-000430-20260610T115142,000430,SELL,35,5590,195650,29.3475,352.17,381.51750000000004,backtest_replay,,,,,,,102,592690,5810.6863,102,586130,-6560.0,-7791.857,-1.1068,-1.3147,CLOSED
