trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-16,2026-06-16T06:00:09,SELL-2026-06-16-004990-20260616T060009,004990,SELL,10,26750,267500,40.125,481.5,521.625,backtest_replay,,,,,,,0,0,,10,267500,,,,,OPEN
2026-06-16,2026-06-16T06:00:11,SELL-2026-06-16-020150-20260616T060011,020150,SELL,5,55900,279500,41.925,503.1,545.025,backtest_replay,,,,,,,0,0,,5,279500,,,,,OPEN
2026-06-16,2026-06-16T09:31:33,BUY-2026-06-16-302440-20260616T093133,302440,BUY,7,39950,279650,41.9475,0.0,41.9475,backtest_replay,,,,,,,7,279650,39950.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T09:31:34,BUY-2026-06-16-020150-20260616T093134,020150,BUY,5,55900,279500,41.925,0.0,41.925,backtest_replay,,,,,,,5,279500,55900.0,5,279500,0.0,-586.95,0.0000,-0.2100,CLOSED
2026-06-16,2026-06-16T09:31:35,BUY-2026-06-16-004990-20260616T093135,004990,BUY,10,27100,271000,40.65,0.0,40.65,backtest_replay,,,,,,,10,271000,27100.0,10,267500,-3500.0,-4062.275,-1.2915,-1.4990,CLOSED
2026-06-16,2026-06-16T12:16:29,SELL-2026-06-16-302440-20260616T121629,302440,SELL,7,40200,281400,42.21,506.52,548.73,backtest_replay,,,,,,,7,279650,39950.0,7,281400,1750.0,1159.3225,0.6258,0.4146,CLOSED
2026-06-16,2026-06-16T12:19:35,BUY-2026-06-16-484870-20260616T121935,484870,BUY,3,88300,264900,39.735,0.0,39.735,backtest_replay,,,,,,,3,264900,88300.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T12:30:23,SELL-2026-06-16-484870-20260616T123023,484870,SELL,3,89700,269100,40.365,484.38,524.745,backtest_replay,,,,,,,3,264900,88300.0,3,269100,4200.0,3635.52,1.5855,1.3724,CLOSED
2026-06-16,2026-06-16T12:30:24,BUY-2026-06-16-016380-20260616T123024,016380,BUY,47,6110,287170,43.0755,0.0,43.0755,backtest_replay,,,,,,,47,287170,6110.0,0,0,,,,,OPEN
2026-06-16,2026-06-16T13:52:02,SELL-2026-06-16-016380-20260616T135202,016380,SELL,47,6130,288110,43.2165,518.598,561.8145,backtest_replay,,,,,,,47,287170,6110.0,47,288110,940.0,335.11,0.3273,0.1167,CLOSED
2026-06-16,2026-06-16T13:54:01,BUY-2026-06-16-484870-20260616T135401,484870,BUY,3,88400,265200,39.78,0.0,39.78,backtest_replay,,,,,,,6,530100,88350.0,3,269100,4050.0,3445.74,1.5280,1.3000,OPEN
2026-06-16,2026-06-16T14:23:17,SELL-2026-06-16-484870-20260616T142317,484870,SELL,3,88900,266700,40.005,480.06,520.065,backtest_replay,,,,,,,6,530100,88350.0,6,535800,5700.0,4575.675,1.0753,0.8632,CLOSED
