session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,005090,2026-06-10 09:31:43,2026-06-10 09:45:43,3,52800,51300,158400,153900,stop_loss,-2.8409
2026-06-10,008770,2026-06-10 09:49:09,2026-06-10 09:52:58,3,53600,53900,160800,161700,take_profit,0.5597
2026-06-10,281820,2026-06-10 09:53:01,2026-06-10 09:54:54,3,66000,66400,198000,199200,take_profit,0.6061
2026-06-10,000430,2026-06-10 09:54:56,2026-06-10 09:56:46,34,5850,5900,198900,200600,take_profit,0.8547
2026-06-10,004990,2026-06-10 09:36:55,2026-06-10 10:17:49,7,25550,25700,178850,179900,take_profit,0.5871
2026-06-10,078930,2026-06-10 09:58:36,2026-06-10 10:35:16,2,73200,73700,146400,147400,take_profit,0.6831
2026-06-10,005090,2026-06-10 10:17:49,2026-06-10 10:35:24,3,52100,52600,156300,157800,take_profit,0.9597
2026-06-10,028670,2026-06-10 09:33:28,2026-06-10 11:18:23,39,5110,4975,199290,194025,stop_loss,-2.6419
2026-06-10,000430,2026-06-10 10:43:03,2026-06-10 11:26:51,35,5700,5550,199500,194250,stop_loss,-2.6316
2026-06-10,195870,2026-06-10 11:18:29,2026-06-10 11:30:25,2,75800,76500,151600,153000,take_profit,0.9235
2026-06-10,181710,2026-06-10 10:55:06,2026-06-10 11:51:35,4,40900,40600,163600,162400,force_exit_last_trace,-0.7335
2026-06-10,009420,2026-06-10 11:29:06,2026-06-10 11:51:38,4,49750,49750,199000,199000,force_exit_last_trace,0.0
2026-06-11,120110,2026-06-11 09:32:12,2026-06-11 09:35:57,2,68400,68800,136800,137600,take_profit,0.5848
2026-06-11,000430,2026-06-11 09:32:19,2026-06-11 09:43:15,33,5490,5330,181170,175890,stop_loss,-2.9144
2026-06-11,499790,2026-06-11 09:40:35,2026-06-11 09:43:42,3,51500,51900,154500,155700,take_profit,0.7767
2026-06-11,000430,2026-06-11 09:45:46,2026-06-11 09:51:17,35,5250,5100,183750,178500,stop_loss,-2.8571
2026-06-11,005090,2026-06-11 09:35:36,2026-06-11 09:57:07,3,49850,50600,149550,151800,take_profit,1.5045
2026-06-11,499790,2026-06-11 09:57:52,2026-06-11 10:00:02,3,50100,50500,150300,151500,take_profit,0.7984
2026-06-11,181710,2026-06-11 09:46:20,2026-06-11 10:05:26,4,39500,39750,158000,159000,take_profit,0.6329
2026-06-11,005090,2026-06-11 10:00:42,2026-06-11 10:25:27,3,50700,49600,152100,148800,stop_loss,-2.1696
2026-06-11,092200,2026-06-11 10:19:22,2026-06-11 10:28:28,20,9120,9180,182400,183600,take_profit,0.6579
2026-06-11,005090,2026-06-11 10:29:00,2026-06-11 10:45:34,3,49500,50100,148500,150300,take_profit,1.2121
2026-06-11,000430,2026-06-11 10:45:37,2026-06-11 11:04:15,36,4995,4910,179820,176760,stop_loss,-1.7017
2026-06-11,181710,2026-06-11 10:29:07,2026-06-11 11:23:29,4,39500,38750,158000,155000,stop_loss,-1.8987
2026-06-11,000370,2026-06-11 09:51:39,2026-06-11 12:03:46,30,6130,6190,183900,185700,take_profit,0.9788
2026-06-11,005090,2026-06-11 11:07:08,2026-06-11 12:07:45,3,50100,50400,150300,151200,take_profit,0.5988
2026-06-11,003160,2026-06-11 11:23:31,2026-06-11 12:41:01,6,28350,28500,170100,171000,take_profit,0.5291
2026-06-12,001800,2026-06-12 09:38:53,2026-06-12 09:52:28,8,26450,26800,211600,214400,take_profit,1.3233
2026-06-12,003160,2026-06-12 09:33:22,2026-06-12 09:52:33,8,29450,29750,235600,238000,take_profit,1.0187
2026-06-12,195870,2026-06-12 09:53:42,2026-06-12 10:21:36,2,81300,78900,162600,157800,stop_loss,-2.952
2026-06-12,181710,2026-06-12 10:21:37,2026-06-12 10:34:04,5,40200,40850,201000,204250,take_profit,1.6169
2026-06-12,298050,2026-06-12 09:33:19,2026-06-12 10:50:23,1,202000,203500,202000,203500,take_profit,0.7426
2026-06-12,018670,2026-06-12 10:54:12,2026-06-12 11:05:18,1,223500,225000,223500,225000,take_profit,0.6711
2026-06-12,285130,2026-06-12 09:33:14,2026-06-12 11:22:37,5,43800,44250,219000,221250,take_profit,1.0274
2026-06-12,009970,2026-06-12 10:35:41,2026-06-12 11:39:46,1,188800,190400,188800,190400,take_profit,0.8475
2026-06-12,499790,2026-06-12 11:07:07,2026-06-12 13:50:30,4,49750,48800,199000,195200,stop_loss,-1.9095
2026-06-12,001800,2026-06-12 09:53:38,2026-06-12 14:02:42,8,26650,27000,213200,216000,take_profit,1.3133
2026-06-15,005090,2026-06-15 09:34:40,2026-06-15 10:08:29,4,55800,54300,223200,217200,stop_loss,-2.6882
2026-06-15,012750,2026-06-15 09:42:26,2026-06-15 10:08:32,2,79500,80200,159000,160400,take_profit,0.8805
2026-06-15,020150,2026-06-15 09:42:30,2026-06-15 10:17:14,4,55900,54300,223600,217200,stop_loss,-2.8623
2026-06-15,090460,2026-06-15 10:17:15,2026-06-15 10:25:52,8,26650,26850,213200,214800,take_profit,0.7505
2026-06-15,009420,2026-06-15 09:42:31,2026-06-15 10:27:54,4,51900,52200,207600,208800,take_profit,0.578
2026-06-15,020150,2026-06-15 10:25:52,2026-06-15 11:20:06,4,54500,54800,218000,219200,take_profit,0.5505
2026-06-15,005090,2026-06-15 10:28:00,2026-06-15 13:08:14,4,54000,54300,216000,217200,take_profit,0.5556
2026-06-15,217590,2026-06-15 10:08:32,2026-06-15 13:45:15,11,20000,19230,220000,211530,stop_loss,-3.85
2026-06-15,181710,2026-06-15 11:20:07,2026-06-15 14:41:34,5,39350,38550,196750,192750,stop_loss,-2.033
2026-06-15,352820,2026-06-15 10:08:33,2026-06-15 14:58:55,1,220500,217500,220500,217500,force_exit_last_trace,-1.3605
2026-06-16,006110,2026-06-16 09:31:50,2026-06-16 09:34:45,4,52300,53000,209200,212000,take_profit,1.3384
2026-06-16,499790,2026-06-16 09:31:48,2026-06-16 09:42:07,4,48750,47950,195000,191800,stop_loss,-1.641
2026-06-16,484870,2026-06-16 09:42:08,2026-06-16 09:46:10,2,89800,90700,179600,181400,take_profit,1.0022
2026-06-16,006110,2026-06-16 09:46:14,2026-06-16 09:50:52,4,52100,52600,208400,210400,take_profit,0.9597
2026-06-16,000430,2026-06-16 09:34:45,2026-06-16 11:53:56,44,4995,4915,219780,216260,stop_loss,-1.6016
2026-06-16,302440,2026-06-16 09:31:33,2026-06-16 12:16:30,5,39950,40200,199750,201000,take_profit,0.6258
2026-06-16,051600,2026-06-16 09:54:07,2026-06-16 14:33:53,4,53800,52300,215200,209200,stop_loss,-2.7881
2026-06-16,020150,2026-06-16 09:31:34,2026-06-16 15:00:11,3,55900,55900,167700,167700,force_exit_time,0.0
2026-06-17,111770,2026-06-17 09:34:03,2026-06-17 09:49:53,2,80000,80500,160000,161000,take_profit,0.625
2026-06-17,011170,2026-06-17 09:49:54,2026-06-17 09:55:56,2,77300,78000,154600,156000,take_profit,0.9056
2026-06-17,450080,2026-06-17 09:55:56,2026-06-17 10:01:59,3,56900,57200,170700,171600,take_profit,0.5272
2026-06-17,003000,2026-06-17 09:34:26,2026-06-17 10:02:22,45,4675,4725,210375,212625,take_profit,1.0695
2026-06-17,001530,2026-06-17 09:35:51,2026-06-17 10:04:04,9,23550,23800,211950,214200,take_profit,1.0616
2026-06-17,001120,2026-06-17 09:34:13,2026-06-17 10:04:12,5,40250,40550,201250,202750,take_profit,0.7453
2026-06-17,010820,2026-06-17 09:34:27,2026-06-17 10:04:20,25,8420,8480,210500,212000,take_profit,0.7126
2026-06-17,006360,2026-06-17 09:39:46,2026-06-17 10:08:11,7,30000,30150,210000,211050,take_profit,0.5
2026-06-17,229640,2026-06-17 10:04:21,2026-06-17 10:08:17,3,64100,64800,192300,194400,take_profit,1.092
2026-06-17,005070,2026-06-17 10:02:14,2026-06-17 10:14:24,4,46050,46400,184200,185600,take_profit,0.76
2026-06-17,111770,2026-06-17 10:14:09,2026-06-17 10:20:23,2,80000,80600,160000,161200,take_profit,0.75
2026-06-17,009420,2026-06-17 10:04:08,2026-06-17 10:22:30,3,53200,54000,159600,162000,take_profit,1.5038
2026-06-17,077970,2026-06-17 10:22:31,2026-06-17 10:47:26,5,37600,37850,188000,189250,take_profit,0.6649
2026-06-17,000210,2026-06-17 10:03:48,2026-06-17 10:51:36,3,54300,55000,162900,165000,take_profit,1.2891
2026-06-17,001430,2026-06-17 10:04:22,2026-06-17 10:51:37,4,47050,47300,188200,189200,take_profit,0.5313
2026-06-17,004800,2026-06-17 10:22:46,2026-06-17 11:00:04,1,200500,202000,200500,202000,take_profit,0.7481
2026-06-17,012750,2026-06-17 09:34:06,2026-06-17 11:03:59,2,77700,75900,155400,151800,stop_loss,-2.3166
2026-06-17,077970,2026-06-17 10:59:49,2026-06-17 11:06:04,5,37800,38050,189000,190250,take_profit,0.6614
2026-06-17,000210,2026-06-17 10:53:24,2026-06-17 11:15:22,3,55000,55400,165000,166200,take_profit,0.7273
2026-06-17,001800,2026-06-17 09:36:10,2026-06-17 11:22:44,7,26750,26900,187250,188300,take_profit,0.5607
2026-06-17,001530,2026-06-17 10:51:42,2026-06-17 11:42:59,9,23450,23650,211050,212850,take_profit,0.8529
2026-06-17,000240,2026-06-17 09:34:08,2026-06-17 12:18:50,7,27200,26450,190400,185150,stop_loss,-2.7574
2026-06-17,003000,2026-06-17 10:26:53,2026-06-17 12:42:09,45,4695,4725,211275,212625,take_profit,0.639
2026-06-17,108320,2026-06-17 11:06:15,2026-06-17 12:48:31,4,48900,49200,195600,196800,take_profit,0.6135
2026-06-17,001120,2026-06-17 10:08:14,2026-06-17 12:55:12,5,40350,39550,201750,197750,stop_loss,-1.9827
2026-06-17,003160,2026-06-17 11:15:25,2026-06-17 12:55:20,7,29200,29450,204400,206150,take_profit,0.8562
2026-06-17,012750,2026-06-17 11:26:33,2026-06-17 13:48:10,2,75900,74200,151800,148400,stop_loss,-2.2398
2026-06-17,029780,2026-06-17 09:36:21,2026-06-17 14:32:32,4,51700,49900,206800,199600,stop_loss,-3.4816
2026-06-17,081660,2026-06-17 11:03:59,2026-06-17 14:41:33,5,41250,40500,206250,202500,stop_loss,-1.8182
2026-06-17,192650,2026-06-17 11:00:11,2026-06-17 15:01:21,35,5960,5830,208600,204050,force_exit_time,-2.1812
