trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-10,2026-06-10T09:31:43,BUY-2026-06-10-005090-20260610T093143,005090,BUY,3,52800,158400,23.76,0.0,23.76,backtest_replay,,,,,,,3,158400,52800.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:33:28,BUY-2026-06-10-028670-20260610T093328,028670,BUY,39,5110,199290,29.8935,0.0,29.8935,backtest_replay,,,,,,,39,199290,5110.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:36:55,BUY-2026-06-10-004990-20260610T093655,004990,BUY,7,25550,178850,26.8275,0.0,26.8275,backtest_replay,,,,,,,7,178850,25550.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:45:43,SELL-2026-06-10-005090-20260610T094543,005090,SELL,3,51300,153900,23.085,277.02,300.10499999999996,backtest_replay,,,,,,,3,158400,52800.0,3,153900,-4500.0,-4823.865,-2.8409,-3.0454,CLOSED
2026-06-10,2026-06-10T09:49:09,BUY-2026-06-10-008770-20260610T094909,008770,BUY,3,53600,160800,24.12,0.0,24.12,backtest_replay,,,,,,,3,160800,53600.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:52:58,SELL-2026-06-10-008770-20260610T095258,008770,SELL,3,53900,161700,24.255,291.06,315.315,backtest_replay,,,,,,,3,160800,53600.0,3,161700,900.0,560.565,0.5597,0.3486,CLOSED
2026-06-10,2026-06-10T09:53:01,BUY-2026-06-10-281820-20260610T095301,281820,BUY,3,66000,198000,29.7,0.0,29.7,backtest_replay,,,,,,,3,198000,66000.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:54:54,SELL-2026-06-10-281820-20260610T095454,281820,SELL,3,66400,199200,29.88,358.56,388.44,backtest_replay,,,,,,,3,198000,66000.0,3,199200,1200.0,781.86,0.6061,0.3949,CLOSED
2026-06-10,2026-06-10T09:54:56,BUY-2026-06-10-000430-20260610T095456,000430,BUY,34,5850,198900,29.835,0.0,29.835,backtest_replay,,,,,,,34,198900,5850.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:56:46,SELL-2026-06-10-000430-20260610T095646,000430,SELL,34,5900,200600,30.09,361.08,391.16999999999996,backtest_replay,,,,,,,34,198900,5850.0,34,200600,1700.0,1278.995,0.8547,0.6430,CLOSED
