session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,085620,2026-06-10 09:31:36,2026-06-10 09:36:57,9,21800,21950,196200,197550,take_profit,0.6881
2026-06-10,069960,2026-06-10 09:31:35,2026-06-10 09:42:08,1,165200,166200,165200,166200,take_profit,0.6053
2026-06-10,085620,2026-06-10 09:42:08,2026-06-10 09:49:11,9,21600,21700,194400,195300,take_profit,0.463
2026-06-10,181710,2026-06-10 09:36:57,2026-06-10 09:51:08,4,41150,40350,164600,161400,stop_loss,-1.9441
2026-06-10,008770,2026-06-10 09:51:08,2026-06-10 09:52:59,3,53700,53900,161100,161700,take_profit,0.3724
2026-06-10,036460,2026-06-10 09:49:11,2026-06-10 09:54:52,5,34150,34250,170750,171250,take_profit,0.2928
2026-06-10,462870,2026-06-10 09:52:59,2026-06-10 10:00:31,6,30650,31100,183900,186600,take_profit,1.4682
2026-06-10,181710,2026-06-10 09:54:52,2026-06-10 10:00:32,4,40150,40350,160600,161400,take_profit,0.4981
2026-06-10,005090,2026-06-10 10:00:34,2026-06-10 10:02:22,3,51400,51800,154200,155400,take_profit,0.7782
2026-06-10,005940,2026-06-10 09:31:32,2026-06-10 10:04:11,6,30650,30850,183900,185100,take_profit,0.6525
2026-06-10,181710,2026-06-10 10:02:23,2026-06-10 10:04:20,4,40350,40550,161400,162200,take_profit,0.4957
2026-06-10,000430,2026-06-10 10:00:35,2026-06-10 10:04:23,34,5860,5750,199240,195500,stop_loss,-1.8771
2026-06-10,066575,2026-06-10 10:06:12,2026-06-10 10:10:18,2,78100,78400,156200,156800,take_profit,0.3841
2026-06-10,009420,2026-06-10 10:10:19,2026-06-10 10:12:13,3,50300,50400,150900,151200,take_profit,0.1988
2026-06-10,383220,2026-06-10 10:06:13,2026-06-10 10:19:45,2,75500,75700,151000,151400,take_profit,0.2649
2026-06-10,009420,2026-06-10 10:19:46,2026-06-10 10:31:21,3,50400,50600,151200,151800,take_profit,0.3968
2026-06-10,003160,2026-06-10 10:31:26,2026-06-10 10:35:25,7,28300,28450,198100,199150,take_profit,0.53
2026-06-10,064400,2026-06-10 10:37:18,2026-06-10 10:50:53,2,96400,96600,192800,193200,take_profit,0.2075
2026-06-10,005940,2026-06-10 10:50:53,2026-06-10 10:59:04,6,31100,31150,186600,186900,take_profit,0.1608
2026-06-10,161390,2026-06-10 10:04:12,2026-06-10 11:03:16,2,72000,70900,144000,141800,stop_loss,-1.5278
2026-06-10,064400,2026-06-10 11:03:16,2026-06-10 11:24:47,2,95900,94400,191800,188800,stop_loss,-1.5641
2026-06-10,192080,2026-06-10 10:59:13,2026-06-10 11:29:09,2,71300,71600,142600,143200,take_profit,0.4208
2026-06-10,028670,2026-06-10 10:12:13,2026-06-10 11:30:17,39,5050,5070,196950,197730,take_profit,0.396
2026-06-10,088350,2026-06-10 11:24:49,2026-06-10 11:34:39,41,4830,4845,198030,198645,take_profit,0.3106
2026-06-10,181710,2026-06-10 11:29:09,2026-06-10 11:49:46,4,40450,40600,161800,162400,take_profit,0.3708
2026-06-10,009420,2026-06-10 11:30:20,2026-06-10 11:51:41,4,49900,49750,199600,199000,force_exit_last_trace,-0.3006
2026-06-10,175330,2026-06-10 11:34:39,2026-06-10 11:51:44,7,25500,25450,178500,178150,force_exit_last_trace,-0.1961
2026-06-10,281820,2026-06-10 11:49:46,2026-06-10 11:51:43,3,66100,66500,198300,199500,force_exit_last_trace,0.6051
2026-06-11,180640,2026-06-11 09:32:11,2026-06-11 09:33:36,1,112700,113700,112700,113700,take_profit,0.8873
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 09:38:29,7,23350,22900,163450,160300,stop_loss,-1.9272
2026-06-11,085620,2026-06-11 09:32:12,2026-06-11 09:38:29,8,20750,20400,166000,163200,stop_loss,-1.6867
2026-06-11,120110,2026-06-11 09:38:29,2026-06-11 09:43:10,2,68600,69200,137200,138400,take_profit,0.8746
2026-06-11,005090,2026-06-11 09:38:30,2026-06-11 09:51:15,3,49500,50200,148500,150600,take_profit,1.4141
2026-06-11,016380,2026-06-11 09:51:15,2026-06-11 10:00:04,33,5550,5570,183150,183810,take_profit,0.3604
2026-06-11,181710,2026-06-11 09:43:11,2026-06-11 10:05:25,4,39400,39750,157600,159000,take_profit,0.8883
2026-06-11,005090,2026-06-11 10:00:04,2026-06-11 10:05:58,3,50600,50800,151800,152400,take_profit,0.3953
2026-06-11,323410,2026-06-11 10:05:58,2026-06-11 10:08:01,8,22850,22950,182800,183600,take_profit,0.4376
2026-06-11,499790,2026-06-11 10:05:26,2026-06-11 10:08:33,3,51000,51100,153000,153300,take_profit,0.1961
2026-06-11,000370,2026-06-11 10:08:33,2026-06-11 10:11:15,30,6120,6160,183600,184800,take_profit,0.6536
2026-06-11,475150,2026-06-11 10:08:07,2026-06-11 10:13:21,4,41250,40500,165000,162000,stop_loss,-1.8182
2026-06-11,005090,2026-06-11 10:13:23,2026-06-11 10:22:00,3,50700,49900,152100,149700,stop_loss,-1.5779
2026-06-11,016380,2026-06-11 10:22:00,2026-06-11 10:22:45,32,5580,5600,178560,179200,take_profit,0.3584
2026-06-11,323410,2026-06-11 10:13:15,2026-06-11 10:45:27,7,23050,22650,161350,158550,stop_loss,-1.7354
2026-06-11,001450,2026-06-11 10:45:29,2026-06-11 10:48:28,4,37200,37350,148800,149400,take_profit,0.4032
2026-06-11,005090,2026-06-11 10:22:45,2026-06-11 10:55:12,3,49850,50400,149550,151200,take_profit,1.1033
2026-06-11,012750,2026-06-11 09:33:36,2026-06-11 10:55:54,2,72400,71300,144800,142600,stop_loss,-1.5193
2026-06-11,323410,2026-06-11 10:55:53,2026-06-11 10:58:54,8,22700,22800,181600,182400,take_profit,0.4405
2026-06-11,181710,2026-06-11 10:48:31,2026-06-11 11:10:38,4,39550,38950,158200,155800,stop_loss,-1.5171
2026-06-11,000370,2026-06-11 10:58:57,2026-06-11 11:14:31,30,6090,6110,182700,183300,take_profit,0.3284
2026-06-11,003160,2026-06-11 11:13:08,2026-06-11 11:37:20,6,28600,28100,171600,168600,stop_loss,-1.7483
2026-06-11,016380,2026-06-11 11:37:20,2026-06-11 11:55:50,32,5650,5670,180800,181440,take_profit,0.354
2026-06-11,000430,2026-06-11 11:17:29,2026-06-11 11:59:41,37,4870,4885,180190,180745,take_profit,0.308
2026-06-11,010690,2026-06-11 11:55:51,2026-06-11 11:59:41,18,9900,9940,178200,178920,take_profit,0.404
2026-06-11,005090,2026-06-11 10:55:54,2026-06-11 12:07:57,3,50200,50400,150600,151200,take_profit,0.3984
2026-06-11,217590,2026-06-11 12:07:57,2026-06-11 12:12:52,7,23200,22700,162400,158900,stop_loss,-2.1552
2026-06-11,120110,2026-06-11 12:00:24,2026-06-11 12:26:09,2,69600,69900,139200,139800,take_profit,0.431
2026-06-11,281820,2026-06-11 12:12:54,2026-06-11 12:29:55,2,73500,73800,147000,147600,take_profit,0.4082
2026-06-11,475150,2026-06-11 12:29:56,2026-06-11 12:32:57,4,40650,40850,162600,163400,take_profit,0.492
2026-06-11,323410,2026-06-11 12:26:09,2026-06-11 12:36:49,8,22750,22850,182000,182800,take_profit,0.4396
2026-06-11,120110,2026-06-11 12:32:57,2026-06-11 12:40:25,2,71100,71400,142200,142800,take_profit,0.4219
2026-06-11,181710,2026-06-11 12:00:28,2026-06-11 12:40:26,4,38400,38550,153600,154200,take_profit,0.3906
2026-06-11,323410,2026-06-11 12:40:59,2026-06-11 12:44:03,8,22850,22950,182800,183600,take_profit,0.4376
2026-06-11,475150,2026-06-11 12:40:26,2026-06-11 12:44:10,4,40850,41000,163400,164000,take_profit,0.3672
2026-06-11,005090,2026-06-11 12:36:58,2026-06-11 12:44:12,3,50500,50700,151500,152100,take_profit,0.396
2026-06-11,092200,2026-06-11 12:44:13,2026-06-11 12:45:11,19,9430,9480,179170,180120,take_profit,0.5302
2026-06-11,092200,2026-06-11 12:48:29,2026-06-11 12:48:47,19,9450,9480,179550,180120,take_profit,0.3175
2026-06-11,066575,2026-06-11 12:51:48,2026-06-11 12:55:22,2,75100,75500,150200,151000,take_profit,0.5326
2026-06-11,217590,2026-06-11 12:55:24,2026-06-11 13:01:41,8,22950,23000,183600,184000,take_profit,0.2179
2026-06-11,016380,2026-06-11 13:01:41,2026-06-11 13:02:57,32,5740,5750,183680,184000,take_profit,0.1742
2026-06-11,016380,2026-06-11 13:03:37,2026-06-11 13:04:46,32,5740,5750,183680,184000,take_profit,0.1742
2026-06-11,005090,2026-06-11 12:45:11,2026-06-11 13:05:16,3,50600,51300,151800,153900,take_profit,1.3834
2026-06-11,016380,2026-06-11 13:05:17,2026-06-11 13:05:45,32,5750,5760,184000,184320,take_profit,0.1739
2026-06-11,217590,2026-06-11 13:04:48,2026-06-11 13:06:44,8,22650,22800,181200,182400,take_profit,0.6623
2026-06-11,066575,2026-06-11 13:05:50,2026-06-11 13:07:32,2,75000,75200,150000,150400,take_profit,0.2667
2026-06-11,000430,2026-06-11 13:07:46,2026-06-11 13:08:08,36,5020,5030,180720,181080,take_profit,0.1992
2026-06-11,012750,2026-06-11 13:07:03,2026-06-11 13:28:59,2,74000,74200,148000,148400,take_profit,0.2703
2026-06-11,281820,2026-06-11 13:29:04,2026-06-11 13:29:26,2,76700,77000,153400,154000,take_profit,0.3911
2026-06-11,000430,2026-06-11 13:29:41,2026-06-11 13:35:04,36,5030,5040,181080,181440,take_profit,0.1988
2026-06-11,217590,2026-06-11 13:35:09,2026-06-11 13:48:26,8,22850,22500,182800,180000,stop_loss,-1.5317
2026-06-11,000430,2026-06-11 13:48:44,2026-06-11 13:53:25,36,5030,5040,181080,181440,take_profit,0.1988
2026-06-11,000430,2026-06-11 13:53:47,2026-06-11 14:00:15,36,5020,5000,180720,180000,force_exit_time,-0.3984
2026-06-11,016380,2026-06-11 13:08:10,2026-06-11 14:00:17,32,5750,5710,184000,182720,force_exit_time,-0.6957
2026-06-11,181710,2026-06-11 12:44:10,2026-06-11 14:00:19,4,38800,38800,155200,155200,force_exit_time,0.0
2026-06-11,281820,2026-06-11 14:00:21,2026-06-11 14:00:43,2,76400,76200,152800,152400,force_exit_time,-0.2618
2026-06-11,000430,2026-06-11 14:00:37,2026-06-11 14:00:58,36,4975,4985,179100,179460,force_exit_time,0.201
2026-06-11,092200,2026-06-11 14:00:38,2026-06-11 14:01:00,19,9540,9520,181260,180880,force_exit_time,-0.2096
2026-06-12,443060,2026-06-12 09:33:00,2026-06-12 09:38:37,1,248500,251500,248500,251500,take_profit,1.2072
2026-06-12,042700,2026-06-12 09:32:56,2026-06-12 09:43:00,1,303500,304500,303500,304500,take_profit,0.3295
2026-06-12,047040,2026-06-12 09:38:39,2026-06-12 09:52:14,14,21950,22050,307300,308700,take_profit,0.4556
2026-06-12,047050,2026-06-12 09:43:05,2026-06-12 09:58:47,5,58800,59000,294000,295000,take_profit,0.3401
2026-06-12,014830,2026-06-12 09:58:47,2026-06-12 10:03:40,4,71900,72100,287600,288400,take_profit,0.2782
2026-06-12,078930,2026-06-12 09:52:15,2026-06-12 10:50:37,4,73300,73700,293200,294800,take_profit,0.5457
2026-06-12,009970,2026-06-12 10:50:38,2026-06-12 10:54:23,1,188100,189500,188100,189500,take_profit,0.7443
2026-06-12,020150,2026-06-12 10:54:23,2026-06-12 11:00:13,5,56400,56600,282000,283000,take_profit,0.3546
2026-06-12,009970,2026-06-12 11:00:13,2026-06-12 11:39:46,1,189200,190400,189200,190400,take_profit,0.6342
2026-06-12,499790,2026-06-12 11:39:50,2026-06-12 11:55:23,6,49750,49900,298500,299400,take_profit,0.3015
2026-06-12,030200,2026-06-12 09:32:59,2026-06-12 12:27:31,5,57500,56600,287500,283000,stop_loss,-1.5652
2026-06-12,192080,2026-06-12 10:03:40,2026-06-12 13:27:48,4,72300,72700,289200,290800,take_profit,0.5533
2026-06-12,085620,2026-06-12 13:27:48,2026-06-12 13:35:21,11,28750,29500,316250,324500,take_profit,2.6087
2026-06-12,018670,2026-06-12 13:35:21,2026-06-12 13:37:48,1,225500,226000,225500,226000,take_profit,0.2217
