trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-10,2026-06-10T09:31:32,BUY-2026-06-10-005940-20260610T093132,005940,BUY,6,30650,183900,27.585,0.0,27.585,backtest_replay,,,,,,,6,183900,30650.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:31:35,BUY-2026-06-10-069960-20260610T093135,069960,BUY,1,165200,165200,24.78,0.0,24.78,backtest_replay,,,,,,,1,165200,165200.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:31:36,BUY-2026-06-10-085620-20260610T093136,085620,BUY,9,21800,196200,29.43,0.0,29.43,backtest_replay,,,,,,,9,196200,21800.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:36:57,BUY-2026-06-10-181710-20260610T093657,181710,BUY,4,41150,164600,24.69,0.0,24.69,backtest_replay,,,,,,,4,164600,41150.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:36:57,SELL-2026-06-10-085620-20260610T093657,085620,SELL,9,21950,197550,29.6325,355.59,385.22249999999997,backtest_replay,,,,,,,9,196200,21800.0,9,197550,1350.0,935.3475,0.6881,0.4767,CLOSED
2026-06-10,2026-06-10T09:42:08,BUY-2026-06-10-085620-20260610T094208,085620,BUY,9,21600,194400,29.16,0.0,29.16,backtest_replay,,,,,,,18,390600,21700.0,9,197550,2250.0,1806.1875,1.1521,0.9248,OPEN
2026-06-10,2026-06-10T09:42:08,SELL-2026-06-10-069960-20260610T094208,069960,SELL,1,166200,166200,24.93,299.16,324.09000000000003,backtest_replay,,,,,,,1,165200,165200.0,1,166200,1000.0,651.13,0.6053,0.3941,CLOSED
2026-06-10,2026-06-10T09:49:12,BUY-2026-06-10-009420-20260610T094912,009420,BUY,3,50400,151200,22.68,0.0,22.68,backtest_replay,,,,,,,3,151200,50400.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:49:12,SELL-2026-06-10-085620-20260610T094912,085620,SELL,9,21700,195300,29.295,351.54,380.83500000000004,backtest_replay,,,,,,,18,390600,21700.0,18,392850,2250.0,1425.3525,0.5760,0.3649,CLOSED
2026-06-10,2026-06-10T10:02:25,SELL-2026-06-10-009420-20260610T100225,009420,SELL,3,50700,152100,22.815,273.78,296.59499999999997,backtest_replay,,,,,,,3,151200,50400.0,3,152100,900.0,580.725,0.5952,0.3841,CLOSED
2026-06-10,2026-06-10T10:04:06,BUY-2026-06-10-078930-20260610T100406,078930,BUY,2,73400,146800,22.02,0.0,22.02,backtest_replay,,,,,,,2,146800,73400.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:04:11,SELL-2026-06-10-005940-20260610T100411,005940,SELL,6,30850,185100,27.765,333.18,360.945,backtest_replay,,,,,,,6,183900,30650.0,6,185100,1200.0,811.47,0.6525,0.4413,CLOSED
2026-06-10,2026-06-10T10:04:17,BUY-2026-06-10-028670-20260610T100417,028670,BUY,39,5080,198120,29.718,0.0,29.718,backtest_replay,,,,,,,39,198120,5080.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:35:16,BUY-2026-06-10-175330-20260610T103516,175330,BUY,7,25600,179200,26.88,0.0,26.88,backtest_replay,,,,,,,7,179200,25600.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:35:16,SELL-2026-06-10-078930-20260610T103516,078930,SELL,2,73700,147400,22.11,265.32,287.43,backtest_replay,,,,,,,2,146800,73400.0,2,147400,600.0,290.55,0.4087,0.1979,CLOSED
2026-06-10,2026-06-10T10:37:15,SELL-2026-06-10-181710-20260610T103715,181710,SELL,4,41450,165800,24.87,298.44,323.31,backtest_replay,,,,,,,4,164600,41150.0,4,165800,1200.0,852.0,0.7290,0.5176,CLOSED
2026-06-10,2026-06-10T10:37:18,BUY-2026-06-10-064400-20260610T103718,064400,BUY,2,96400,192800,28.92,0.0,28.92,backtest_replay,,,,,,,2,192800,96400.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:50:53,SELL-2026-06-10-064400-20260610T105053,064400,SELL,2,96600,193200,28.98,347.76,376.74,backtest_replay,,,,,,,2,192800,96400.0,2,193200,400.0,-5.66,0.2075,-0.0029,CLOSED
2026-06-10,2026-06-10T10:50:54,BUY-2026-06-10-161390-20260610T105054,161390,BUY,2,71100,142200,21.33,0.0,21.33,backtest_replay,,,,,,,2,142200,71100.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:57:03,SELL-2026-06-10-175330-20260610T105703,175330,SELL,7,25750,180250,27.0375,324.45,351.4875,backtest_replay,,,,,,,7,179200,25600.0,7,180250,1050.0,671.6325,0.5859,0.3748,CLOSED
2026-06-10,2026-06-10T10:59:00,BUY-2026-06-10-055550-20260610T105900,055550,BUY,2,99400,198800,29.82,0.0,29.82,backtest_replay,,,,,,,2,198800,99400.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T11:18:25,BUY-2026-06-10-009420-20260610T111825,009420,BUY,4,50100,200400,30.06,0.0,30.06,backtest_replay,,,,,,,7,351600,50228.5714,3,152100,1414.2857,1064.9507,0.9386,0.7067,OPEN
2026-06-10,2026-06-10T11:18:25,SELL-2026-06-10-161390-20260610T111825,161390,SELL,2,71300,142600,21.39,256.68,278.07,backtest_replay,,,,,,,2,142200,71100.0,2,142600,400.0,100.6,0.2813,0.0707,CLOSED
2026-06-10,2026-06-10T11:51:38,SELL-2026-06-10-009420-20260610T115138,009420,SELL,4,49750,199000,29.85,358.2,388.05,backtest_replay,,,,,,,7,351600,50228.5714,7,351100,-500.0,-1237.385,-0.1422,-0.3519,CLOSED
2026-06-10,2026-06-10T11:51:38,SELL-2026-06-10-028670-20260610T115138,028670,SELL,39,5080,198120,29.718,356.616,386.334,backtest_replay,,,,,,,39,198120,5080.0,39,198120,0.0,-416.052,0.0000,-0.2100,CLOSED
2026-06-10,2026-06-10T11:51:43,SELL-2026-06-10-055550-20260610T115143,055550,SELL,2,97900,195800,29.37,352.44,381.81,backtest_replay,,,,,,,2,198800,99400.0,2,195800,-3000.0,-3411.63,-1.5091,-1.7161,CLOSED
2026-06-11,2026-06-11T09:32:08,BUY-2026-06-11-180640-20260611T093208,180640,BUY,1,112700,112700,16.905,0.0,16.905,backtest_replay,,,,,,,1,112700,112700.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:32:10,BUY-2026-06-11-323410-20260611T093210,323410,BUY,7,23350,163450,24.5175,0.0,24.5175,backtest_replay,,,,,,,7,163450,23350.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:32:12,BUY-2026-06-11-120110-20260611T093212,120110,BUY,2,68400,136800,20.52,0.0,20.52,backtest_replay,,,,,,,2,136800,68400.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:33:36,BUY-2026-06-11-279570-20260611T093336,279570,BUY,31,5800,179800,26.97,0.0,26.97,backtest_replay,,,,,,,31,179800,5800.0,0,0,,,,,OPEN
