session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,005090,2026-06-10 09:31:42,2026-06-10 09:33:27,3,52800,52100,158400,156300,stop_loss,-1.3258
2026-06-10,028670,2026-06-10 09:33:28,2026-06-10 09:42:10,39,5110,5060,199290,197340,stop_loss,-0.9785
2026-06-10,004990,2026-06-10 09:31:38,2026-06-10 09:44:02,7,25700,25450,179900,178150,stop_loss,-0.9728
2026-06-10,085620,2026-06-10 09:44:03,2026-06-10 09:49:11,9,21550,21700,193950,195300,take_profit,0.6961
2026-06-10,008770,2026-06-10 09:42:11,2026-06-10 09:52:59,3,53600,53900,160800,161700,take_profit,0.5597
2026-06-10,028670,2026-06-10 09:49:12,2026-06-10 09:56:40,39,5060,5080,197340,198120,take_profit,0.3953
2026-06-10,004990,2026-06-10 09:56:40,2026-06-10 09:58:33,7,25500,25650,178500,179550,take_profit,0.5882
2026-06-10,081660,2026-06-10 09:31:39,2026-06-10 10:00:30,4,40200,40350,160800,161400,take_profit,0.3731
2026-06-10,462870,2026-06-10 09:52:59,2026-06-10 10:00:31,6,30650,31100,183900,186600,take_profit,1.4682
2026-06-10,005090,2026-06-10 10:00:34,2026-06-10 10:02:22,3,51400,51800,154200,155400,take_profit,0.7782
2026-06-10,181710,2026-06-10 09:58:34,2026-06-10 10:04:20,4,40250,40550,161000,162200,take_profit,0.7453
2026-06-10,000430,2026-06-10 10:00:35,2026-06-10 10:04:23,34,5860,5750,199240,195500,stop_loss,-1.8771
2026-06-10,092200,2026-06-10 10:06:16,2026-06-10 10:12:19,20,9870,9760,197400,195200,stop_loss,-1.1145
2026-06-10,069960,2026-06-10 10:08:20,2026-06-10 10:14:12,1,162100,163500,162100,163500,take_profit,0.8637
2026-06-10,069960,2026-06-10 10:15:53,2026-06-10 10:17:55,1,162900,163900,162900,163900,take_profit,0.6139
2026-06-10,181710,2026-06-10 10:19:49,2026-06-10 10:29:23,4,40200,41100,160800,164400,take_profit,2.2388
2026-06-10,088350,2026-06-10 10:31:19,2026-06-10 10:33:23,41,4875,4890,199875,200490,take_profit,0.3077
2026-06-10,078930,2026-06-10 10:04:13,2026-06-10 10:35:17,2,73400,73700,146800,147400,take_profit,0.4087
2026-06-10,028670,2026-06-10 10:14:06,2026-06-10 10:44:50,39,5050,5000,196950,195000,stop_loss,-0.9901
2026-06-10,161390,2026-06-10 10:35:15,2026-06-10 10:44:54,2,71600,71100,143200,142200,stop_loss,-0.6983
2026-06-10,000430,2026-06-10 10:41:01,2026-06-10 10:44:55,34,5730,5640,194820,191760,stop_loss,-1.5707
2026-06-10,000370,2026-06-10 10:46:56,2026-06-10 10:51:04,30,6510,6540,195300,196200,take_profit,0.4608
2026-06-10,192080,2026-06-10 10:46:53,2026-06-10 10:55:05,2,71000,71300,142000,142600,take_profit,0.4225
2026-06-10,281820,2026-06-10 10:53:02,2026-06-10 10:55:06,2,67500,67800,135000,135600,take_profit,0.4444
2026-06-10,000430,2026-06-10 10:46:57,2026-06-10 10:57:03,35,5650,5690,197750,199150,take_profit,0.708
2026-06-10,181710,2026-06-10 10:55:06,2026-06-10 11:13:45,4,40900,40600,163600,162400,stop_loss,-0.7335
2026-06-10,028670,2026-06-10 10:56:58,2026-06-10 11:18:22,39,5040,4975,196560,194025,stop_loss,-1.2897
2026-06-10,009420,2026-06-10 11:18:25,2026-06-10 11:24:52,4,50100,49750,200400,199000,stop_loss,-0.6986
2026-06-10,192080,2026-06-10 10:59:13,2026-06-10 11:29:09,2,71300,71600,142600,143200,take_profit,0.4208
2026-06-10,005090,2026-06-10 11:24:57,2026-06-10 11:45:32,3,51600,51900,154800,155700,take_profit,0.5814
2026-06-10,181710,2026-06-10 11:29:09,2026-06-10 11:49:46,4,40450,40600,161800,162400,take_profit,0.3708
2026-06-10,005940,2026-06-10 11:13:51,2026-06-10 11:51:45,6,30750,30800,184500,184800,force_exit_last_trace,0.1626
2026-06-10,004990,2026-06-10 11:47:22,2026-06-10 11:51:38,7,25600,25600,179200,179200,force_exit_last_trace,0.0
2026-06-10,281820,2026-06-10 11:49:46,2026-06-10 11:51:43,3,66100,66500,198300,199500,force_exit_last_trace,0.6051
2026-06-11,120110,2026-06-11 09:32:14,2026-06-11 09:35:59,2,68400,68800,136800,137600,take_profit,0.5848
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 09:37:56,7,23350,23000,163450,161000,stop_loss,-1.4989
2026-06-11,085620,2026-06-11 09:32:12,2026-06-11 09:37:59,8,20750,20450,166000,163600,stop_loss,-1.4458
2026-06-11,009420,2026-06-11 09:38:00,2026-06-11 09:40:34,3,47650,48300,142950,144900,take_profit,1.3641
2026-06-11,000430,2026-06-11 09:35:59,2026-06-11 09:40:40,33,5440,5370,179520,177210,stop_loss,-1.2868
2026-06-11,085620,2026-06-11 09:40:34,2026-06-11 09:41:08,9,20400,20500,183600,184500,take_profit,0.4902
2026-06-11,120110,2026-06-11 09:41:07,2026-06-11 09:43:10,2,68800,69200,137600,138400,take_profit,0.5814
2026-06-11,000430,2026-06-11 09:41:08,2026-06-11 09:43:38,34,5370,5320,182580,180880,stop_loss,-0.9311
2026-06-11,005090,2026-06-11 09:38:03,2026-06-11 09:51:15,3,49500,50200,148500,150600,take_profit,1.4141
2026-06-11,279570,2026-06-11 09:43:39,2026-06-11 09:53:43,32,5750,5680,184000,181760,stop_loss,-1.2174
2026-06-11,005090,2026-06-11 09:53:47,2026-06-11 09:57:10,3,49950,50600,149850,151800,take_profit,1.3013
2026-06-11,016380,2026-06-11 09:51:15,2026-06-11 10:00:04,33,5550,5570,183150,183810,take_profit,0.3604
2026-06-11,092200,2026-06-11 09:57:11,2026-06-11 10:03:04,19,9300,9230,176700,175370,stop_loss,-0.7527
2026-06-11,120110,2026-06-11 10:03:32,2026-06-11 10:05:23,2,68600,69200,137200,138400,take_profit,0.8746
2026-06-11,181710,2026-06-11 09:43:11,2026-06-11 10:05:25,4,39400,39750,157600,159000,take_profit,0.8883
2026-06-11,005090,2026-06-11 10:00:04,2026-06-11 10:05:58,3,50600,50800,151800,152400,take_profit,0.3953
2026-06-11,323410,2026-06-11 10:05:58,2026-06-11 10:08:01,8,22850,22950,182800,183600,take_profit,0.4376
2026-06-11,016380,2026-06-11 10:05:27,2026-06-11 10:08:09,33,5570,5590,183810,184470,take_profit,0.3591
2026-06-11,005090,2026-06-11 10:08:09,2026-06-11 10:10:44,3,50400,50700,151200,152100,take_profit,0.5952
2026-06-11,000370,2026-06-11 10:06:00,2026-06-11 10:11:15,30,6120,6160,183600,184800,take_profit,0.6536
2026-06-11,005090,2026-06-11 10:11:14,2026-06-11 10:19:20,3,50700,50100,152100,150300,stop_loss,-1.1834
2026-06-11,092200,2026-06-11 10:08:31,2026-06-11 10:19:21,19,9230,9120,175370,173280,stop_loss,-1.1918
2026-06-11,016380,2026-06-11 10:19:20,2026-06-11 10:25:28,32,5600,5630,179200,180160,take_profit,0.5357
2026-06-11,005090,2026-06-11 10:19:45,2026-06-11 10:25:28,3,50100,49600,150300,148800,stop_loss,-0.998
2026-06-11,000430,2026-06-11 10:25:29,2026-06-11 10:29:03,36,5070,5010,182520,180360,stop_loss,-1.1834
2026-06-11,323410,2026-06-11 10:13:15,2026-06-11 10:36:54,7,23050,22800,161350,159600,stop_loss,-1.0846
2026-06-11,005090,2026-06-11 10:26:04,2026-06-11 10:55:12,3,49650,50400,148950,151200,take_profit,1.5106
2026-06-11,181710,2026-06-11 10:37:01,2026-06-11 10:58:25,4,39550,39300,158200,157200,stop_loss,-0.6321
2026-06-11,323410,2026-06-11 10:55:53,2026-06-11 10:58:54,8,22700,22800,181600,182400,take_profit,0.4405
2026-06-11,181710,2026-06-11 10:58:57,2026-06-11 11:01:22,4,39300,39500,157200,158000,take_profit,0.5089
2026-06-11,181710,2026-06-11 11:01:50,2026-06-11 11:04:12,4,39450,39000,157800,156000,stop_loss,-1.1407
2026-06-11,181710,2026-06-11 11:04:41,2026-06-11 11:20:00,4,39050,38800,156200,155200,stop_loss,-0.6402
2026-06-11,005090,2026-06-11 10:58:27,2026-06-11 11:23:31,3,50300,49850,150900,149550,stop_loss,-0.8946
2026-06-11,217590,2026-06-11 11:20:02,2026-06-11 11:23:31,7,24100,23850,168700,166950,stop_loss,-1.0373
2026-06-11,016380,2026-06-11 11:23:31,2026-06-11 11:55:50,32,5650,5670,180800,181440,take_profit,0.354
2026-06-11,000370,2026-06-11 10:29:06,2026-06-11 11:56:33,30,6080,6150,182400,184500,take_profit,1.1513
2026-06-11,005090,2026-06-11 11:55:50,2026-06-11 12:07:57,3,50100,50400,150300,151200,take_profit,0.5988
2026-06-11,181710,2026-06-11 11:56:34,2026-06-11 12:13:48,4,38400,38100,153600,152400,stop_loss,-0.7812
2026-06-11,120110,2026-06-11 11:56:30,2026-06-11 12:25:38,2,69500,69800,139000,139600,take_profit,0.4317
2026-06-12,081660,2026-06-12 09:33:14,2026-06-12 09:35:22,7,43200,42900,302400,300300,stop_loss,-0.6944
2026-06-12,014680,2026-06-12 09:33:09,2026-06-12 09:38:46,1,288500,286000,288500,286000,stop_loss,-0.8666
2026-06-12,042700,2026-06-12 09:32:56,2026-06-12 09:43:00,1,303500,304500,303500,304500,take_profit,0.3295
2026-06-12,285130,2026-06-12 09:35:22,2026-06-12 09:43:25,7,43750,43450,306250,304150,stop_loss,-0.6857
2026-06-12,014820,2026-06-12 09:43:26,2026-06-12 09:47:56,14,22150,22250,310100,311500,take_profit,0.4515
2026-06-12,001800,2026-06-12 09:38:54,2026-06-12 09:52:27,11,26450,26800,290950,294800,take_profit,1.3233
2026-06-12,014830,2026-06-12 09:47:57,2026-06-12 09:52:34,4,71400,71700,285600,286800,take_profit,0.4202
2026-06-12,047050,2026-06-12 09:43:05,2026-06-12 09:58:47,5,58800,59000,294000,295000,take_profit,0.3401
2026-06-12,285130,2026-06-12 09:53:40,2026-06-12 10:02:26,7,43700,44050,305900,308350,take_profit,0.8009
2026-06-12,192080,2026-06-12 09:52:28,2026-06-12 10:12:08,4,72500,71900,290000,287600,stop_loss,-0.8276
2026-06-12,298050,2026-06-12 10:03:36,2026-06-12 10:26:24,1,202500,200000,202500,200000,stop_loss,-1.2346
2026-06-12,001800,2026-06-12 10:12:08,2026-06-12 10:40:54,11,26450,26650,290950,293150,take_profit,0.7561
2026-06-12,085620,2026-06-12 10:40:57,2026-06-12 10:44:06,11,28550,28000,314050,308000,stop_loss,-1.9264
2026-06-12,285130,2026-06-12 10:26:25,2026-06-12 10:49:09,7,43550,43850,304850,306950,take_profit,0.6889
2026-06-12,097950,2026-06-12 10:44:09,2026-06-12 11:00:10,1,200500,202000,200500,202000,take_profit,0.7481
2026-06-12,010120,2026-06-12 10:02:00,2026-06-12 11:10:43,1,236000,237000,236000,237000,take_profit,0.4237
2026-06-12,020150,2026-06-12 11:11:02,2026-06-12 11:28:12,5,57700,57200,288500,286000,stop_loss,-0.8666
2026-06-12,195870,2026-06-12 11:28:19,2026-06-12 11:33:14,4,79000,79600,316000,318400,take_profit,0.7595
2026-06-12,009970,2026-06-12 11:00:13,2026-06-12 11:39:46,1,189200,190400,189200,190400,take_profit,0.6342
2026-06-12,001800,2026-06-12 10:50:32,2026-06-12 11:45:35,11,26750,26500,294250,291500,stop_loss,-0.9346
2026-06-12,006360,2026-06-12 11:43:58,2026-06-12 11:49:35,10,29000,29100,290000,291000,take_profit,0.3448
2026-06-12,499790,2026-06-12 11:33:16,2026-06-12 11:55:23,6,49750,49900,298500,299400,take_profit,0.3015
2026-06-12,014680,2026-06-12 11:45:35,2026-06-12 12:25:34,1,287500,289000,287500,289000,take_profit,0.5217
2026-06-12,120110,2026-06-12 11:49:36,2026-06-12 12:25:40,4,76500,76000,306000,304000,stop_loss,-0.6536
2026-06-12,025540,2026-06-12 11:55:24,2026-06-12 13:00:14,4,75100,74600,300400,298400,stop_loss,-0.6658
2026-06-15,103590,2026-06-15 09:34:24,2026-06-15 09:37:56,3,87900,88500,263700,265500,take_profit,0.6826
2026-06-15,001430,2026-06-15 09:34:37,2026-06-15 09:37:57,6,49100,49450,294600,296700,take_profit,0.7128
2026-06-15,192650,2026-06-15 09:37:57,2026-06-15 09:42:47,49,6210,6250,304290,306250,take_profit,0.6441
2026-06-15,005090,2026-06-15 09:37:56,2026-06-15 09:44:10,5,55600,55100,278000,275500,stop_loss,-0.8993
2026-06-15,092200,2026-06-15 09:42:48,2026-06-15 09:46:31,32,9250,9200,296000,294400,stop_loss,-0.5405
2026-06-15,001120,2026-06-15 09:44:11,2026-06-15 09:48:42,7,40000,40200,280000,281400,take_profit,0.5
2026-06-15,012750,2026-06-15 09:46:31,2026-06-15 09:48:43,3,79400,78900,238200,236700,stop_loss,-0.6297
2026-06-15,006360,2026-06-15 09:34:32,2026-06-15 09:53:09,10,30300,30550,303000,305500,take_profit,0.8251
2026-06-15,005090,2026-06-15 09:48:42,2026-06-15 09:53:21,5,54700,55200,273500,276000,take_profit,0.9141
2026-06-15,229640,2026-06-15 09:53:13,2026-06-15 09:55:25,4,63300,63500,253200,254000,take_profit,0.316
2026-06-15,001510,2026-06-15 09:53:22,2026-06-15 09:57:33,93,3280,3295,305040,306435,take_profit,0.4573
2026-06-15,336260,2026-06-15 09:57:33,2026-06-15 10:02:01,3,76600,77200,229800,231600,take_profit,0.7833
2026-06-15,005090,2026-06-15 09:57:30,2026-06-15 10:08:30,5,54900,54300,274500,271500,stop_loss,-1.0929
2026-06-15,009420,2026-06-15 10:08:32,2026-06-15 10:25:51,5,51500,51800,257500,259000,take_profit,0.5825
2026-06-15,352820,2026-06-15 10:02:01,2026-06-15 10:40:58,1,221500,219000,221500,219000,stop_loss,-1.1287
2026-06-15,005090,2026-06-15 10:43:08,2026-06-15 10:47:32,5,54200,53700,271000,268500,stop_loss,-0.9225
2026-06-15,001120,2026-06-15 10:47:32,2026-06-15 10:53:48,7,41250,41450,288750,290150,take_profit,0.4848
2026-06-15,120110,2026-06-15 09:48:43,2026-06-15 11:01:39,4,74900,74400,299600,297600,stop_loss,-0.6676
2026-06-15,020150,2026-06-15 10:25:51,2026-06-15 11:03:58,5,54500,54000,272500,270000,stop_loss,-0.9174
2026-06-15,010820,2026-06-15 11:01:40,2026-06-15 11:06:15,38,7850,7800,298300,296400,stop_loss,-0.6369
2026-06-15,005090,2026-06-15 10:53:48,2026-06-15 11:08:31,5,53500,53000,267500,265000,stop_loss,-0.9346
2026-06-15,020150,2026-06-15 11:08:33,2026-06-15 11:10:51,5,54200,54400,271000,272000,take_profit,0.369
2026-06-15,001510,2026-06-15 11:03:59,2026-06-15 11:34:54,94,3245,3265,305030,306910,take_profit,0.6163
2026-06-15,085620,2026-06-15 11:10:53,2026-06-15 11:34:55,11,27600,28100,303600,309100,take_profit,1.8116
2026-06-15,192650,2026-06-15 11:37:09,2026-06-15 11:53:22,48,6240,6180,299520,296640,stop_loss,-0.9615
2026-06-15,001510,2026-06-15 11:53:24,2026-06-15 12:02:50,93,3265,3275,303645,304575,take_profit,0.3063
2026-06-15,181710,2026-06-15 11:34:56,2026-06-15 12:14:40,7,39250,39000,274750,273000,stop_loss,-0.6369
2026-06-15,352820,2026-06-15 11:06:16,2026-06-15 14:58:53,1,219000,217500,219000,217500,force_exit_last_trace,-0.6849
2026-06-16,020150,2026-06-16 09:31:34,2026-06-16 09:34:43,5,55900,55400,279500,277000,stop_loss,-0.8945
2026-06-16,302440,2026-06-16 09:31:33,2026-06-16 09:45:23,7,39950,39700,279650,277900,stop_loss,-0.6258
2026-06-16,003720,2026-06-16 09:34:44,2026-06-16 09:48:36,34,8510,8450,289340,287300,stop_loss,-0.7051
2026-06-16,020150,2026-06-16 09:45:23,2026-06-16 09:57:40,5,55600,56000,278000,280000,take_profit,0.7194
2026-06-16,004990,2026-06-16 09:31:35,2026-06-16 10:02:20,10,27100,26800,271000,268000,stop_loss,-1.107
2026-06-16,051600,2026-06-16 09:48:36,2026-06-16 10:03:52,5,54000,53500,270000,267500,stop_loss,-0.9259
2026-06-16,079900,2026-06-16 10:03:52,2026-06-16 10:05:04,4,58900,59200,235600,236800,take_profit,0.5093
2026-06-16,499790,2026-06-16 10:02:20,2026-06-16 10:06:36,6,48250,48500,289500,291000,take_profit,0.5181
2026-06-16,302440,2026-06-16 09:57:40,2026-06-16 10:06:37,7,39600,39950,277200,279650,take_profit,0.8838
2026-06-16,005070,2026-06-16 10:05:04,2026-06-16 10:10:15,6,47100,46850,282600,281100,stop_loss,-0.5308
2026-06-16,001250,2026-06-16 10:10:15,2026-06-16 10:35:12,94,3100,3130,291400,294220,take_profit,0.9677
2026-06-16,004990,2026-06-16 10:07:42,2026-06-16 10:48:49,10,26750,26500,267500,265000,stop_loss,-0.9346
2026-06-16,000430,2026-06-16 10:35:12,2026-06-16 10:48:51,58,5000,4970,290000,288260,stop_loss,-0.6
2026-06-16,005090,2026-06-16 10:07:41,2026-06-16 10:50:57,5,51700,52200,258500,261000,take_profit,0.9671
2026-06-16,285130,2026-06-16 10:50:58,2026-06-16 10:55:33,6,45750,45950,274500,275700,take_profit,0.4372
2026-06-16,000210,2026-06-16 10:48:49,2026-06-16 11:05:55,5,54300,54800,271500,274000,take_profit,0.9208
2026-06-16,016380,2026-06-16 10:55:33,2026-06-16 11:08:55,48,6090,6120,292320,293760,take_profit,0.4926
2026-06-16,022100,2026-06-16 11:08:56,2026-06-16 11:40:18,10,28150,28250,281500,282500,take_profit,0.3552
2026-06-16,484870,2026-06-16 11:05:55,2026-06-16 12:30:23,3,88600,89700,265800,269100,take_profit,1.2415
2026-06-16,108320,2026-06-16 10:48:51,2026-06-16 12:33:39,5,49550,49900,247750,249500,take_profit,0.7064
2026-06-16,020150,2026-06-16 11:40:18,2026-06-16 12:55:38,5,55200,54700,276000,273500,stop_loss,-0.9058
2026-06-17,028260,2026-06-17 09:13:37,2026-06-17 09:21:19,1,481000,478000,481000,478000,stop_loss,-0.6237
2026-06-17,012330,2026-06-17 09:13:38,2026-06-17 09:21:20,1,637000,631000,637000,631000,stop_loss,-0.9419
2026-06-17,005380,2026-06-17 09:13:36,2026-06-17 09:49:29,1,621000,616000,621000,616000,stop_loss,-0.8052
2026-06-17,009540,2026-06-17 09:21:23,2026-06-17 09:52:17,1,432500,435000,432500,435000,take_profit,0.578
2026-06-17,006400,2026-06-17 09:52:17,2026-06-17 10:01:39,1,537000,540000,537000,540000,take_profit,0.5587
2026-06-17,028260,2026-06-17 09:49:29,2026-06-17 10:04:23,1,471500,473500,471500,473500,take_profit,0.4242
2026-06-17,010120,2026-06-17 09:21:22,2026-06-17 10:07:46,2,252000,254000,504000,508000,take_profit,0.7937
