trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-10,2026-06-10T09:31:38,BUY-2026-06-10-004990-20260610T093138,004990,BUY,7,25700,179900,26.985,0.0,26.985,backtest_replay,,,,,,,7,179900,25700.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:31:39,BUY-2026-06-10-081660-20260610T093139,081660,BUY,4,40200,160800,24.12,0.0,24.12,backtest_replay,,,,,,,4,160800,40200.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:31:42,BUY-2026-06-10-005090-20260610T093142,005090,BUY,3,52800,158400,23.76,0.0,23.76,backtest_replay,,,,,,,3,158400,52800.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:33:27,SELL-2026-06-10-005090-20260610T093327,005090,SELL,3,52100,156300,23.445,281.34,304.78499999999997,backtest_replay,,,,,,,3,158400,52800.0,3,156300,-2100.0,-2428.545,-1.3258,-1.5332,CLOSED
2026-06-10,2026-06-10T09:33:28,BUY-2026-06-10-028670-20260610T093328,028670,BUY,39,5110,199290,29.8935,0.0,29.8935,backtest_replay,,,,,,,39,199290,5110.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:42:10,SELL-2026-06-10-028670-20260610T094210,028670,SELL,39,5060,197340,29.601,355.212,384.813,backtest_replay,,,,,,,39,199290,5110.0,39,197340,-1950.0,-2364.7065,-0.9785,-1.1866,CLOSED
2026-06-10,2026-06-10T09:42:11,BUY-2026-06-10-008770-20260610T094211,008770,BUY,3,53600,160800,24.12,0.0,24.12,backtest_replay,,,,,,,3,160800,53600.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:44:02,SELL-2026-06-10-004990-20260610T094402,004990,SELL,7,25450,178150,26.7225,320.67,347.39250000000004,backtest_replay,,,,,,,7,179900,25700.0,7,178150,-1750.0,-2124.3775,-0.9728,-1.1809,CLOSED
2026-06-10,2026-06-10T09:44:03,BUY-2026-06-10-085620-20260610T094403,085620,BUY,9,21550,193950,29.0925,0.0,29.0925,backtest_replay,,,,,,,9,193950,21550.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:49:11,SELL-2026-06-10-085620-20260610T094911,085620,SELL,9,21700,195300,29.295,351.54,380.83500000000004,backtest_replay,,,,,,,9,193950,21550.0,9,195300,1350.0,940.0725,0.6961,0.4847,CLOSED
2026-06-10,2026-06-10T09:49:12,BUY-2026-06-10-028670-20260610T094912,028670,BUY,39,5060,197340,29.601,0.0,29.601,backtest_replay,,,,,,,78,396630,5085.0,39,197340,-975.0,-1419.3075,-0.4916,-0.7157,OPEN
2026-06-10,2026-06-10T09:52:59,BUY-2026-06-10-462870-20260610T095259,462870,BUY,6,30650,183900,27.585,0.0,27.585,backtest_replay,,,,,,,6,183900,30650.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:52:59,SELL-2026-06-10-008770-20260610T095259,008770,SELL,3,53900,161700,24.255,291.06,315.315,backtest_replay,,,,,,,3,160800,53600.0,3,161700,900.0,560.565,0.5597,0.3486,CLOSED
2026-06-10,2026-06-10T09:56:40,BUY-2026-06-10-004990-20260610T095640,004990,BUY,7,25500,178500,26.775,0.0,26.775,backtest_replay,,,,,,,14,358400,25600.0,7,178150,-1050.0,-1451.1525,-0.5859,-0.8098,OPEN
2026-06-10,2026-06-10T09:56:40,SELL-2026-06-10-028670-20260610T095640,028670,SELL,39,5080,198120,29.718,356.616,386.334,backtest_replay,,,,,,,78,396630,5085.0,78,395460,-1170.0,-2000.6415,-0.2950,-0.5044,CLOSED
2026-06-10,2026-06-10T09:58:33,SELL-2026-06-10-004990-20260610T095833,004990,SELL,7,25650,179550,26.9325,323.19,350.1225,backtest_replay,,,,,,,14,358400,25600.0,14,357700,-700.0,-1451.275,-0.1953,-0.4049,CLOSED
2026-06-10,2026-06-10T09:58:34,BUY-2026-06-10-181710-20260610T095834,181710,BUY,4,40250,161000,24.15,0.0,24.15,backtest_replay,,,,,,,4,161000,40250.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:00:30,SELL-2026-06-10-081660-20260610T100030,081660,SELL,4,40350,161400,24.21,290.52,314.72999999999996,backtest_replay,,,,,,,4,160800,40200.0,4,161400,600.0,261.15,0.3731,0.1624,CLOSED
2026-06-10,2026-06-10T10:00:31,SELL-2026-06-10-462870-20260610T100031,462870,SELL,6,31100,186600,27.99,335.88,363.87,backtest_replay,,,,,,,6,183900,30650.0,6,186600,2700.0,2308.545,1.4682,1.2553,CLOSED
2026-06-10,2026-06-10T10:00:34,BUY-2026-06-10-005090-20260610T100034,005090,BUY,3,51400,154200,23.13,0.0,23.13,backtest_replay,,,,,,,6,312600,52100.0,3,156300,0.0,-351.675,0.0000,-0.2250,OPEN
2026-06-10,2026-06-10T10:00:35,BUY-2026-06-10-000430-20260610T100035,000430,BUY,34,5860,199240,29.886,0.0,29.886,backtest_replay,,,,,,,34,199240,5860.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:02:22,SELL-2026-06-10-005090-20260610T100222,005090,SELL,3,51800,155400,23.31,279.72,303.03000000000003,backtest_replay,,,,,,,6,312600,52100.0,6,311700,-900.0,-1554.705,-0.2879,-0.4973,CLOSED
2026-06-10,2026-06-10T10:04:13,BUY-2026-06-10-078930-20260610T100413,078930,BUY,2,73400,146800,22.02,0.0,22.02,backtest_replay,,,,,,,2,146800,73400.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:04:20,SELL-2026-06-10-181710-20260610T100420,181710,SELL,4,40550,162200,24.33,291.96,316.28999999999996,backtest_replay,,,,,,,4,161000,40250.0,4,162200,1200.0,859.56,0.7453,0.5339,CLOSED
2026-06-10,2026-06-10T10:04:23,SELL-2026-06-10-000430-20260610T100423,000430,SELL,34,5750,195500,29.325,351.9,381.22499999999997,backtest_replay,,,,,,,34,199240,5860.0,34,195500,-3740.0,-4151.111,-1.8771,-2.0835,CLOSED
2026-06-10,2026-06-10T10:06:16,BUY-2026-06-10-092200-20260610T100616,092200,BUY,20,9870,197400,29.61,0.0,29.61,backtest_replay,,,,,,,20,197400,9870.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:08:20,BUY-2026-06-10-069960-20260610T100820,069960,BUY,1,162100,162100,24.315,0.0,24.315,backtest_replay,,,,,,,1,162100,162100.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:12:19,SELL-2026-06-10-092200-20260610T101219,092200,SELL,20,9760,195200,29.28,351.36,380.64,backtest_replay,,,,,,,20,197400,9870.0,20,195200,-2200.0,-2610.25,-1.1145,-1.3223,CLOSED
2026-06-10,2026-06-10T10:14:06,BUY-2026-06-10-028670-20260610T101406,028670,BUY,39,5050,196950,29.5425,0.0,29.5425,backtest_replay,,,,,,,117,593580,5073.3333,78,395460,-260.0,-1120.184,-0.0657,-0.2831,OPEN
2026-06-10,2026-06-10T10:14:12,SELL-2026-06-10-069960-20260610T101412,069960,SELL,1,163500,163500,24.525,294.3,318.825,backtest_replay,,,,,,,1,162100,162100.0,1,163500,1400.0,1056.86,0.8637,0.6520,CLOSED
2026-06-10,2026-06-10T10:15:53,BUY-2026-06-10-069960-20260610T101553,069960,BUY,1,162900,162900,24.435,0.0,24.435,backtest_replay,,,,,,,2,325000,162500.0,1,163500,1000.0,632.425,0.6154,0.3892,OPEN
