session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,036460,2026-06-10 09:34:56,2026-06-10 09:56:39,5,34150,34350,170750,171750,take_profit,0.5857
2026-06-10,181710,2026-06-10 09:56:43,2026-06-10 10:04:20,4,40200,40550,160800,162200,take_profit,0.8706
2026-06-10,000430,2026-06-10 10:04:24,2026-06-10 10:23:43,34,5750,5790,195500,196860,take_profit,0.6957
2026-06-10,092200,2026-06-10 10:25:37,2026-06-10 10:29:24,20,9740,9810,194800,196200,take_profit,0.7187
2026-06-10,000430,2026-06-10 10:33:21,2026-06-10 10:35:28,35,5720,5790,200200,202650,take_profit,1.2238
2026-06-10,005090,2026-06-10 09:31:43,2026-06-10 11:51:37,3,52800,51700,158400,155100,force_exit_last_trace,-2.0833
2026-06-10,028670,2026-06-10 09:33:28,2026-06-10 11:51:38,39,5110,5080,199290,198120,force_exit_last_trace,-0.5871
2026-06-10,000430,2026-06-10 10:43:03,2026-06-10 11:51:39,35,5700,5590,199500,195650,force_exit_last_trace,-1.9298
2026-06-11,120110,2026-06-11 09:32:12,2026-06-11 09:35:57,2,68400,68800,136800,137600,take_profit,0.5848
2026-06-11,005090,2026-06-11 09:36:01,2026-06-11 09:57:07,3,49850,50600,149550,151800,take_profit,1.5045
2026-06-11,181710,2026-06-11 09:57:08,2026-06-11 10:05:26,4,39550,39750,158200,159000,take_profit,0.5057
2026-06-11,000370,2026-06-11 10:05:57,2026-06-11 10:11:16,30,6120,6160,183600,184800,take_profit,0.6536
2026-06-11,005090,2026-06-11 10:15:59,2026-06-11 13:05:17,3,50600,51300,151800,153900,take_profit,1.3834
2026-06-11,323410,2026-06-11 09:32:10,2026-06-11 14:59:55,7,23350,23100,163450,161700,force_exit_last_trace,-1.0707
2026-06-11,000430,2026-06-11 09:32:19,2026-06-11 14:59:55,33,5490,4975,181170,164175,force_exit_last_trace,-9.3807
2026-06-12,081660,2026-06-12 09:33:08,2026-06-12 10:02:19,7,43200,43400,302400,303800,take_profit,0.463
2026-06-12,298050,2026-06-12 09:33:19,2026-06-12 10:50:23,1,202000,203500,202000,203500,take_profit,0.7426
2026-06-12,285130,2026-06-12 09:33:14,2026-06-12 11:22:37,7,43800,44250,306600,309750,take_profit,1.0274
2026-06-12,018670,2026-06-12 10:50:34,2026-06-12 11:28:16,1,224500,225500,224500,225500,take_profit,0.4454
2026-06-12,014820,2026-06-12 11:29:06,2026-06-12 11:38:11,14,22000,22100,308000,309400,take_profit,0.4545
2026-06-12,499790,2026-06-12 11:22:37,2026-06-12 11:55:21,6,49700,49900,298200,299400,take_profit,0.4024
2026-06-12,192080,2026-06-12 10:03:33,2026-06-12 13:27:49,4,72300,72700,289200,290800,take_profit,0.5533
2026-06-12,001800,2026-06-12 11:39:39,2026-06-12 14:02:42,11,26550,27000,292050,297000,take_profit,1.6949
2026-06-12,014820,2026-06-12 11:56:51,2026-06-12 15:00:37,14,22150,21700,310100,303800,force_exit_time,-2.0316
2026-06-15,018260,2026-06-15 09:42:10,2026-06-15 09:48:45,1,246000,247000,246000,247000,take_profit,0.4065
2026-06-15,066570,2026-06-15 09:42:06,2026-06-15 09:52:43,1,248500,251000,248500,251000,take_profit,1.006
2026-06-15,005090,2026-06-15 09:34:40,2026-06-15 14:43:54,5,55800,56300,279000,281500,take_profit,0.8961
2026-06-15,352820,2026-06-15 09:52:52,2026-06-15 14:58:55,1,222500,217500,222500,217500,force_exit_last_trace,-2.2472
2026-06-15,499790,2026-06-15 09:53:20,2026-06-15 14:58:51,6,48950,47550,293700,285300,force_exit_last_trace,-2.8601
2026-06-16,499790,2026-06-16 09:31:48,2026-06-16 10:12:13,6,48750,49150,292500,294900,take_profit,0.8205
2026-06-16,285130,2026-06-16 10:12:16,2026-06-16 11:02:51,6,45850,46150,275100,276900,take_profit,0.6543
2026-06-16,302440,2026-06-16 09:31:33,2026-06-16 12:16:30,7,39950,40200,279650,281400,take_profit,0.6258
2026-06-16,484870,2026-06-16 11:02:51,2026-06-16 12:30:23,3,88600,89700,265800,269100,take_profit,1.2415
2026-06-16,020150,2026-06-16 09:31:34,2026-06-16 15:00:11,5,55900,55900,279500,279500,force_exit_time,0.0
2026-06-17,018260,2026-06-17 09:13:46,2026-06-17 09:17:59,3,226000,227000,678000,681000,take_profit,0.4425
2026-06-17,035420,2026-06-17 09:13:41,2026-06-17 09:18:00,2,237000,239500,474000,479000,take_profit,1.0549
2026-06-17,251270,2026-06-17 09:18:01,2026-06-17 09:21:43,17,41000,41400,697000,703800,take_profit,0.9756
2026-06-17,007070,2026-06-17 09:18:00,2026-06-17 09:43:47,28,25100,25350,702800,709800,take_profit,0.996
2026-06-17,111770,2026-06-17 09:21:43,2026-06-17 10:20:23,8,80200,80600,641600,644800,take_profit,0.4988
2026-06-17,071050,2026-06-17 09:13:47,2026-06-17 10:51:12,2,245000,246000,490000,492000,take_profit,0.4082
2026-06-17,005387,2026-06-17 10:51:17,2026-06-17 10:59:55,2,245500,246500,491000,493000,take_profit,0.4073
2026-06-17,005385,2026-06-17 11:00:03,2026-06-17 11:18:59,2,246500,248500,493000,497000,take_profit,0.8114
2026-06-17,001800,2026-06-17 09:43:47,2026-06-17 13:43:44,26,26850,27050,698100,703300,take_profit,0.7449
2026-06-17,030000,2026-06-17 10:20:30,2026-06-17 15:01:10,34,20400,20050,693600,681700,force_exit_time,-1.7157
2026-06-17,081660,2026-06-17 11:19:00,2026-06-17 15:01:31,17,41300,40500,702100,688500,force_exit_time,-1.937
