session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,005090,2026-06-10 09:31:42,2026-06-10 09:33:27,3,52800,52100,158400,156300,stop_loss,-1.3258
2026-06-10,028670,2026-06-10 09:33:28,2026-06-10 09:42:10,39,5110,5060,199290,197340,stop_loss,-0.9785
2026-06-10,181710,2026-06-10 09:36:57,2026-06-10 09:44:03,4,41150,40700,164600,162800,stop_loss,-1.0936
2026-06-10,008770,2026-06-10 09:42:11,2026-06-10 09:52:59,3,53600,53900,160800,161700,take_profit,0.5597
2026-06-10,281820,2026-06-10 09:53:01,2026-06-10 09:54:56,3,66000,66400,198000,199200,take_profit,0.6061
2026-06-10,192080,2026-06-10 09:44:07,2026-06-10 09:56:42,2,71800,72200,143600,144400,take_profit,0.5571
2026-06-10,005090,2026-06-10 09:56:45,2026-06-10 10:00:34,3,51000,51400,153000,154200,take_profit,0.7843
2026-06-10,181710,2026-06-10 09:56:43,2026-06-10 10:04:20,4,40200,40550,160800,162200,take_profit,0.8706
2026-06-10,069960,2026-06-10 10:08:20,2026-06-10 10:14:12,1,162100,163500,162100,163500,take_profit,0.8637
2026-06-10,004990,2026-06-10 09:36:56,2026-06-10 10:17:49,7,25550,25700,178850,179900,take_profit,0.5871
2026-06-10,000430,2026-06-10 10:04:23,2026-06-10 10:23:44,34,5750,5790,195500,196860,take_profit,0.6957
2026-06-10,005090,2026-06-10 10:17:49,2026-06-10 10:35:26,3,52100,52600,156300,157800,take_profit,0.9597
2026-06-10,000430,2026-06-10 10:33:21,2026-06-10 10:35:27,35,5720,5790,200200,202650,take_profit,1.2238
2026-06-10,000430,2026-06-10 10:43:02,2026-06-10 10:44:55,35,5700,5640,199500,197400,stop_loss,-1.0526
2026-06-10,028670,2026-06-10 10:44:50,2026-06-10 10:48:46,40,5000,5030,200000,201200,take_profit,0.6
2026-06-10,000430,2026-06-10 10:46:57,2026-06-10 10:57:03,35,5650,5690,197750,199150,take_profit,0.708
2026-06-10,281820,2026-06-10 11:03:26,2026-06-10 11:09:40,2,67300,66700,134600,133400,stop_loss,-0.8915
2026-06-10,181710,2026-06-10 10:55:06,2026-06-10 11:13:45,4,40900,40600,163600,162400,stop_loss,-0.7335
2026-06-10,028670,2026-06-10 11:01:09,2026-06-10 11:18:22,39,5020,4975,195780,194025,stop_loss,-0.8964
2026-06-10,195870,2026-06-10 11:18:29,2026-06-10 11:30:24,2,75800,76500,151600,153000,take_profit,0.9235
2026-06-10,192080,2026-06-10 11:18:27,2026-06-10 11:43:08,2,71300,71700,142600,143400,take_profit,0.561
2026-06-10,005090,2026-06-10 11:20:47,2026-06-10 11:45:32,3,51600,51900,154800,155700,take_profit,0.5814
2026-06-10,085620,2026-06-10 11:49:41,2026-06-10 11:51:39,9,21950,22150,197550,199350,take_profit,0.9112
2026-06-10,281820,2026-06-10 11:32:43,2026-06-10 11:51:43,3,66000,66500,198000,199500,take_profit,0.7576
2026-06-10,004990,2026-06-10 11:45:28,2026-06-10 11:51:38,7,25600,25600,179200,179200,force_exit_last_trace,0.0
2026-06-11,120110,2026-06-11 09:32:14,2026-06-11 09:35:59,2,68400,68800,136800,137600,take_profit,0.5848
2026-06-11,000430,2026-06-11 09:32:19,2026-06-11 09:35:59,33,5490,5440,181170,179520,stop_loss,-0.9107
2026-06-11,005090,2026-06-11 09:35:36,2026-06-11 09:38:03,3,49850,49500,149550,148500,stop_loss,-0.7021
2026-06-11,499790,2026-06-11 09:40:38,2026-06-11 09:43:42,3,51500,51900,154500,155700,take_profit,0.7767
2026-06-11,000430,2026-06-11 09:45:45,2026-06-11 09:48:35,35,5250,5140,183750,179900,stop_loss,-2.0952
2026-06-11,005090,2026-06-11 09:38:30,2026-06-11 09:51:15,3,49500,50200,148500,150600,take_profit,1.4141
2026-06-11,005090,2026-06-11 09:51:37,2026-06-11 09:57:10,3,50200,50600,150600,151800,take_profit,0.7968
2026-06-11,499790,2026-06-11 09:57:53,2026-06-11 10:00:03,3,50100,50500,150300,151500,take_profit,0.7984
2026-06-11,181710,2026-06-11 09:43:11,2026-06-11 10:05:25,4,39400,39750,157600,159000,take_profit,0.8883
2026-06-11,005090,2026-06-11 10:00:53,2026-06-11 10:19:20,3,50700,50100,152100,150300,stop_loss,-1.1834
2026-06-11,005090,2026-06-11 10:19:45,2026-06-11 10:25:28,3,50100,49600,150300,148800,stop_loss,-0.998
2026-06-11,092200,2026-06-11 10:19:21,2026-06-11 10:28:27,20,9120,9180,182400,183600,take_profit,0.6579
2026-06-11,000370,2026-06-11 09:51:38,2026-06-11 10:29:06,30,6130,6080,183900,182400,stop_loss,-0.8157
2026-06-11,005090,2026-06-11 10:29:04,2026-06-11 10:45:34,3,49500,50100,148500,150300,take_profit,1.2121
2026-06-11,000430,2026-06-11 10:45:36,2026-06-11 10:49:13,36,4995,4970,179820,178920,stop_loss,-0.5005
2026-06-11,005090,2026-06-11 10:51:44,2026-06-11 10:55:12,3,50000,50400,150000,151200,take_profit,0.8
2026-06-11,181710,2026-06-11 10:29:07,2026-06-11 11:04:12,4,39500,39000,158000,156000,stop_loss,-1.2658
2026-06-11,005090,2026-06-11 11:01:23,2026-06-11 11:13:08,3,50000,50300,150000,150900,take_profit,0.6
2026-06-11,181710,2026-06-11 11:04:41,2026-06-11 11:23:29,4,39050,38750,156200,155000,stop_loss,-0.7682
2026-06-11,005090,2026-06-11 11:14:29,2026-06-11 11:23:31,3,50200,49850,150600,149550,stop_loss,-0.6972
2026-06-11,003160,2026-06-11 11:23:30,2026-06-11 11:37:20,6,28350,28100,170100,168600,stop_loss,-0.8818
2026-06-11,181710,2026-06-11 11:38:13,2026-06-11 11:41:39,4,38300,38500,153200,154000,take_profit,0.5222
2026-06-11,005090,2026-06-11 11:24:19,2026-06-11 11:51:51,3,49900,50300,149700,150900,take_profit,0.8016
2026-06-11,000370,2026-06-11 10:31:56,2026-06-11 11:56:33,30,6080,6150,182400,184500,take_profit,1.1513
2026-06-11,499790,2026-06-11 11:51:51,2026-06-11 12:04:35,3,49600,49900,148800,149700,take_profit,0.6048
2026-06-11,181710,2026-06-11 11:44:26,2026-06-11 12:13:48,4,38350,38100,153400,152400,stop_loss,-0.6519
2026-06-11,005090,2026-06-11 11:59:40,2026-06-11 12:32:59,3,50200,50500,150600,151500,take_profit,0.5976
2026-06-12,014680,2026-06-12 09:35:23,2026-06-12 09:38:46,1,288500,286000,288500,286000,stop_loss,-0.8666
2026-06-12,298050,2026-06-12 09:33:21,2026-06-12 09:43:24,1,202000,199500,202000,199500,stop_loss,-1.2376
2026-06-12,001800,2026-06-12 09:38:54,2026-06-12 09:52:27,11,26450,26800,290950,294800,take_profit,1.3233
2026-06-12,062040,2026-06-12 09:44:35,2026-06-12 09:58:45,1,230500,227500,230500,227500,stop_loss,-1.3015
2026-06-12,192080,2026-06-12 09:52:28,2026-06-12 10:12:08,4,72500,71900,290000,287600,stop_loss,-0.8276
2026-06-12,195870,2026-06-12 10:03:37,2026-06-12 10:17:05,3,81100,80200,243300,240600,stop_loss,-1.1097
2026-06-12,001800,2026-06-12 10:12:08,2026-06-12 10:40:54,11,26450,26650,290950,293150,take_profit,0.7561
2026-06-12,009970,2026-06-12 10:44:12,2026-06-12 10:54:23,1,188400,189500,188400,189500,take_profit,0.5839
2026-06-12,018670,2026-06-12 10:54:25,2026-06-12 11:05:26,1,223500,225000,223500,225000,take_profit,0.6711
2026-06-12,285130,2026-06-12 09:33:22,2026-06-12 11:22:39,7,43800,44250,306600,309750,take_profit,1.0274
2026-06-12,009970,2026-06-12 11:07:04,2026-06-12 11:39:46,1,188500,190400,188500,190400,take_profit,1.008
2026-06-12,499790,2026-06-12 11:44:05,2026-06-12 11:55:23,6,49600,49900,297600,299400,take_profit,0.6048
2026-06-12,001800,2026-06-12 11:24:04,2026-06-12 12:13:04,11,26550,26300,292050,289300,stop_loss,-0.9416
2026-06-12,499790,2026-06-12 11:57:01,2026-06-12 12:25:47,6,49850,49550,299100,297300,stop_loss,-0.6018
2026-06-12,014820,2026-06-12 10:17:09,2026-06-12 14:51:31,14,22100,21800,309400,305200,stop_loss,-1.3575
2026-06-15,005090,2026-06-15 09:34:44,2026-06-15 09:42:44,5,55800,55200,279000,276000,stop_loss,-1.0753
2026-06-15,012750,2026-06-15 09:42:26,2026-06-15 09:48:43,3,79500,78900,238500,236700,stop_loss,-0.7547
2026-06-15,092200,2026-06-15 09:42:48,2026-06-15 09:48:43,32,9250,9150,296000,292800,stop_loss,-1.0811
2026-06-15,020150,2026-06-15 09:42:29,2026-06-15 10:06:22,5,55900,55200,279500,276000,stop_loss,-1.2522
2026-06-15,499790,2026-06-15 09:53:20,2026-06-15 10:12:52,6,48950,48600,293700,291600,stop_loss,-0.715
2026-06-15,217590,2026-06-15 10:06:23,2026-06-15 10:25:52,15,20000,19620,300000,294300,stop_loss,-1.9
2026-06-15,010820,2026-06-15 10:30:08,2026-06-15 10:36:39,39,7810,7860,304590,306540,take_profit,0.6402
2026-06-15,005090,2026-06-15 10:27:59,2026-06-15 10:51:48,5,54000,53400,270000,267000,stop_loss,-1.1111
2026-06-15,020150,2026-06-15 10:40:55,2026-06-15 11:03:58,5,54600,54000,273000,270000,stop_loss,-1.0989
2026-06-15,005090,2026-06-15 10:53:48,2026-06-15 11:08:31,5,53500,53000,267500,265000,stop_loss,-0.9346
2026-06-15,010820,2026-06-15 11:03:58,2026-06-15 11:10:52,39,7810,7850,304590,306150,take_profit,0.5122
2026-06-15,085620,2026-06-15 11:10:53,2026-06-15 11:34:55,11,27600,28100,303600,309100,take_profit,1.8116
2026-06-15,120110,2026-06-15 09:48:43,2026-06-15 11:46:24,4,74900,73900,299600,295600,stop_loss,-1.3351
2026-06-15,003540,2026-06-15 11:46:29,2026-06-15 12:00:32,10,29750,29900,297500,299000,take_profit,0.5042
2026-06-15,181710,2026-06-15 11:34:56,2026-06-15 12:25:37,7,39250,38950,274750,272650,stop_loss,-0.7643
2026-06-16,020150,2026-06-16 09:31:34,2026-06-16 09:34:43,5,55900,55400,279500,277000,stop_loss,-0.8945
2026-06-16,081660,2026-06-16 09:31:38,2026-06-16 09:43:45,6,43200,42900,259200,257400,stop_loss,-0.6944
2026-06-16,302440,2026-06-16 09:31:33,2026-06-16 09:45:23,7,39950,39700,279650,277900,stop_loss,-0.6258
2026-06-16,484870,2026-06-16 09:43:45,2026-06-16 09:50:52,3,89700,91000,269100,273000,take_profit,1.4493
2026-06-16,004990,2026-06-16 09:45:23,2026-06-16 09:50:54,10,26950,27100,269500,271000,take_profit,0.5566
2026-06-16,000500,2026-06-16 09:53:58,2026-06-16 09:57:35,1,259000,262500,259000,262500,take_profit,1.3514
2026-06-16,051600,2026-06-16 09:54:07,2026-06-16 10:06:33,5,53800,53300,269000,266500,stop_loss,-0.9294
2026-06-16,302440,2026-06-16 09:57:39,2026-06-16 10:06:37,7,39600,39950,277200,279650,take_profit,0.8838
2026-06-16,003720,2026-06-16 09:34:44,2026-06-16 10:12:23,34,8510,8420,289340,286280,stop_loss,-1.0576
2026-06-16,033240,2026-06-16 10:06:34,2026-06-16 10:17:41,8,35800,36200,286400,289600,take_profit,1.1173
2026-06-16,015860,2026-06-16 10:12:23,2026-06-16 10:22:30,39,7410,7460,288990,290940,take_profit,0.6748
2026-06-16,012750,2026-06-16 10:22:31,2026-06-16 10:34:46,3,77900,82200,233700,246600,take_profit,5.5199
2026-06-16,005090,2026-06-16 10:07:41,2026-06-16 10:50:57,5,51700,52200,258500,261000,take_profit,0.9671
2026-06-16,285130,2026-06-16 10:17:41,2026-06-16 11:02:52,6,45700,46150,274200,276900,take_profit,0.9847
2026-06-16,097950,2026-06-16 10:34:46,2026-06-16 12:16:23,1,200000,201000,200000,201000,take_profit,0.5
2026-06-16,108320,2026-06-16 10:50:57,2026-06-16 12:33:39,5,49600,49900,248000,249500,take_profit,0.6048
2026-06-16,000210,2026-06-16 11:05:55,2026-06-16 06:00:09,5,54800,54700,274000,273500,force_exit_last_trace,-0.1825
2026-06-17,006260,2026-06-17 09:13:47,2026-06-17 09:17:54,1,421000,417000,421000,417000,stop_loss,-0.9501
2026-06-17,181710,2026-06-17 09:17:54,2026-06-17 09:27:57,18,38250,38600,688500,694800,take_profit,0.915
2026-06-17,326030,2026-06-17 09:13:53,2026-06-17 09:39:44,8,88400,89000,707200,712000,take_profit,0.6787
2026-06-17,002380,2026-06-17 09:13:58,2026-06-17 10:01:58,1,554000,558000,554000,558000,take_profit,0.722
2026-06-17,000210,2026-06-17 09:27:57,2026-06-17 10:33:15,13,54000,54800,702000,712400,take_profit,1.4815
2026-06-17,005090,2026-06-17 10:33:18,2026-06-17 10:39:27,12,56400,58100,676800,697200,take_profit,3.0142
2026-06-17,285130,2026-06-17 10:39:28,2026-06-17 10:51:46,15,45750,46050,686250,690750,take_profit,0.6557
2026-06-17,012750,2026-06-17 10:02:03,2026-06-17 11:03:58,9,77300,75900,695700,683100,stop_loss,-1.8111
2026-06-17,001800,2026-06-17 09:39:44,2026-06-17 11:30:32,26,26800,26950,696800,700700,take_profit,0.5597
2026-06-17,001530,2026-06-17 10:51:48,2026-06-17 11:43:03,30,23450,23650,703500,709500,take_profit,0.8529
2026-06-17,000240,2026-06-17 11:04:00,2026-06-17 11:43:03,26,26750,26500,695500,689000,stop_loss,-0.9346
2026-06-17,000430,2026-06-17 11:30:40,2026-06-17 11:49:31,142,4985,4960,707870,704320,stop_loss,-0.5015
2026-06-17,012750,2026-06-17 11:43:04,2026-06-17 13:14:19,9,75700,75200,681300,676800,stop_loss,-0.6605
2026-06-17,081660,2026-06-17 11:43:31,2026-06-17 13:26:06,17,41100,40750,698700,692750,stop_loss,-0.8516
2026-06-17,000155,2026-06-17 11:53:38,2026-06-17 14:34:32,1,558000,553000,558000,553000,stop_loss,-0.8961
