trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-10,2026-06-10T09:31:42,BUY-2026-06-10-005090-20260610T093142,005090,BUY,3,52800,158400,23.76,0.0,23.76,backtest_replay,,,,,,,3,158400,52800.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:33:27,SELL-2026-06-10-005090-20260610T093327,005090,SELL,3,52100,156300,23.445,281.34,304.78499999999997,backtest_replay,,,,,,,3,158400,52800.0,3,156300,-2100.0,-2428.545,-1.3258,-1.5332,CLOSED
2026-06-10,2026-06-10T09:33:28,BUY-2026-06-10-028670-20260610T093328,028670,BUY,39,5110,199290,29.8935,0.0,29.8935,backtest_replay,,,,,,,39,199290,5110.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:36:56,BUY-2026-06-10-004990-20260610T093656,004990,BUY,7,25550,178850,26.8275,0.0,26.8275,backtest_replay,,,,,,,7,178850,25550.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:36:57,BUY-2026-06-10-181710-20260610T093657,181710,BUY,4,41150,164600,24.69,0.0,24.69,backtest_replay,,,,,,,4,164600,41150.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:42:10,SELL-2026-06-10-028670-20260610T094210,028670,SELL,39,5060,197340,29.601,355.212,384.813,backtest_replay,,,,,,,39,199290,5110.0,39,197340,-1950.0,-2364.7065,-0.9785,-1.1866,CLOSED
2026-06-10,2026-06-10T09:42:11,BUY-2026-06-10-008770-20260610T094211,008770,BUY,3,53600,160800,24.12,0.0,24.12,backtest_replay,,,,,,,3,160800,53600.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:44:03,SELL-2026-06-10-181710-20260610T094403,181710,SELL,4,40700,162800,24.42,293.04,317.46000000000004,backtest_replay,,,,,,,4,164600,41150.0,4,162800,-1800.0,-2142.15,-1.0936,-1.3014,CLOSED
2026-06-10,2026-06-10T09:44:07,BUY-2026-06-10-192080-20260610T094407,192080,BUY,2,71800,143600,21.54,0.0,21.54,backtest_replay,,,,,,,2,143600,71800.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:52:59,SELL-2026-06-10-008770-20260610T095259,008770,SELL,3,53900,161700,24.255,291.06,315.315,backtest_replay,,,,,,,3,160800,53600.0,3,161700,900.0,560.565,0.5597,0.3486,CLOSED
2026-06-10,2026-06-10T09:53:01,BUY-2026-06-10-281820-20260610T095301,281820,BUY,3,66000,198000,29.7,0.0,29.7,backtest_replay,,,,,,,3,198000,66000.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:54:56,SELL-2026-06-10-281820-20260610T095456,281820,SELL,3,66400,199200,29.88,358.56,388.44,backtest_replay,,,,,,,3,198000,66000.0,3,199200,1200.0,781.86,0.6061,0.3949,CLOSED
2026-06-10,2026-06-10T09:56:42,SELL-2026-06-10-192080-20260610T095642,192080,SELL,2,72200,144400,21.66,259.92,281.58000000000004,backtest_replay,,,,,,,2,143600,71800.0,2,144400,800.0,496.88,0.5571,0.3460,CLOSED
2026-06-10,2026-06-10T09:56:43,BUY-2026-06-10-181710-20260610T095643,181710,BUY,4,40200,160800,24.12,0.0,24.12,backtest_replay,,,,,,,8,325400,40675.0,4,162800,100.0,-266.27,0.0615,-0.1637,OPEN
2026-06-10,2026-06-10T09:56:45,BUY-2026-06-10-005090-20260610T095645,005090,BUY,3,51000,153000,22.95,0.0,22.95,backtest_replay,,,,,,,6,311400,51900.0,3,156300,600.0,248.505,0.3854,0.1596,OPEN
2026-06-10,2026-06-10T10:00:34,SELL-2026-06-10-005090-20260610T100034,005090,SELL,3,51400,154200,23.13,277.56,300.69,backtest_replay,,,,,,,6,311400,51900.0,6,310500,-900.0,-1552.185,-0.2890,-0.4985,CLOSED
2026-06-10,2026-06-10T10:04:20,SELL-2026-06-10-181710-20260610T100420,181710,SELL,4,40550,162200,24.33,291.96,316.28999999999996,backtest_replay,,,,,,,8,325400,40675.0,8,325000,-400.0,-1082.56,-0.1229,-0.3327,CLOSED
2026-06-10,2026-06-10T10:04:23,BUY-2026-06-10-000430-20260610T100423,000430,BUY,34,5750,195500,29.325,0.0,29.325,backtest_replay,,,,,,,34,195500,5750.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:08:20,BUY-2026-06-10-069960-20260610T100820,069960,BUY,1,162100,162100,24.315,0.0,24.315,backtest_replay,,,,,,,1,162100,162100.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:14:12,SELL-2026-06-10-069960-20260610T101412,069960,SELL,1,163500,163500,24.525,294.3,318.825,backtest_replay,,,,,,,1,162100,162100.0,1,163500,1400.0,1056.86,0.8637,0.6520,CLOSED
2026-06-10,2026-06-10T10:17:49,BUY-2026-06-10-005090-20260610T101749,005090,BUY,3,52100,156300,23.445,0.0,23.445,backtest_replay,,,,,,,9,467700,51966.6667,6,310500,-1300.0,-1975.63,-0.4169,-0.6336,OPEN
2026-06-10,2026-06-10T10:17:49,SELL-2026-06-10-004990-20260610T101749,004990,SELL,7,25700,179900,26.985,323.82,350.805,backtest_replay,,,,,,,7,178850,25550.0,7,179900,1050.0,672.3675,0.5871,0.3759,CLOSED
2026-06-10,2026-06-10T10:23:44,SELL-2026-06-10-000430-20260610T102344,000430,SELL,34,5790,196860,29.529,354.348,383.877,backtest_replay,,,,,,,34,195500,5750.0,34,196860,1360.0,946.798,0.6957,0.4843,CLOSED
2026-06-10,2026-06-10T10:33:21,BUY-2026-06-10-000430-20260610T103321,000430,BUY,35,5720,200200,30.03,0.0,30.03,backtest_replay,,,,,,,69,395700,5734.7826,34,196860,1877.3913,1434.1593,0.9629,0.7355,OPEN
2026-06-10,2026-06-10T10:35:26,SELL-2026-06-10-005090-20260610T103526,005090,SELL,3,52600,157800,23.67,284.04,307.71000000000004,backtest_replay,,,,,,,9,467700,51966.6667,9,468300,600.0,-383.34,0.1283,-0.0820,CLOSED
2026-06-10,2026-06-10T10:35:27,SELL-2026-06-10-000430-20260610T103527,000430,SELL,35,5790,202650,30.3975,364.77,395.16749999999996,backtest_replay,,,,,,,69,395700,5734.7826,69,399510,3810.0,2971.6005,0.9629,0.7510,CLOSED
2026-06-10,2026-06-10T10:43:02,BUY-2026-06-10-000430-20260610T104302,000430,BUY,35,5700,199500,29.925,0.0,29.925,backtest_replay,,,,,,,104,595200,5723.0769,69,399510,4617.6923,3749.3678,1.1694,0.9495,OPEN
2026-06-10,2026-06-10T10:44:50,BUY-2026-06-10-028670-20260610T104450,028670,BUY,40,5000,200000,30.0,0.0,30.0,backtest_replay,,,,,,,79,399290,5054.3038,39,197340,222.1519,-222.5546,0.1127,-0.1129,OPEN
2026-06-10,2026-06-10T10:44:55,SELL-2026-06-10-000430-20260610T104455,000430,SELL,35,5640,197400,29.61,355.32,384.93,backtest_replay,,,,,,,104,595200,5723.0769,104,596910,1710.0,456.7455,0.2873,0.0767,CLOSED
2026-06-10,2026-06-10T10:46:57,BUY-2026-06-10-000430-20260610T104657,000430,BUY,35,5650,197750,29.6625,0.0,29.6625,backtest_replay,,,,,,,139,792950,5704.6763,104,596910,3623.6691,2340.7521,0.6108,0.3945,OPEN
2026-06-10,2026-06-10T10:48:46,SELL-2026-06-10-028670-20260610T104846,028670,SELL,40,5030,201200,30.18,362.16,392.34000000000003,backtest_replay,,,,,,,79,399290,5054.3038,79,398540,-750.0,-1587.0465,-0.1878,-0.3975,CLOSED
2026-06-10,2026-06-10T10:55:06,BUY-2026-06-10-181710-20260610T105506,181710,BUY,4,40900,163600,24.54,0.0,24.54,backtest_replay,,,,,,,12,489000,40750.0,8,325000,-1000.0,-1707.1,-0.3067,-0.5237,OPEN
2026-06-10,2026-06-10T10:57:03,SELL-2026-06-10-000430-20260610T105703,000430,SELL,35,5690,199150,29.8725,358.47,388.34250000000003,backtest_replay,,,,,,,139,792950,5704.6763,139,796060,3110.0,1438.7405,0.3922,0.1814,CLOSED
