session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-10,008770,2026-06-10 09:44:02,2026-06-10 09:52:58,3,53400,53900,160200,161700,take_profit,0.9363
2026-06-10,281820,2026-06-10 09:53:01,2026-06-10 09:54:54,3,66000,66400,198000,199200,take_profit,0.6061
2026-06-10,000430,2026-06-10 10:04:24,2026-06-10 10:23:43,34,5750,5790,195500,196860,take_profit,0.6957
2026-06-10,005090,2026-06-10 10:17:49,2026-06-10 10:35:24,3,52100,52600,156300,157800,take_profit,0.9597
2026-06-10,181710,2026-06-10 09:36:57,2026-06-10 10:37:15,4,41150,41450,164600,165800,take_profit,0.729
2026-06-10,028670,2026-06-10 10:44:48,2026-06-10 10:48:44,40,5000,5030,200000,201200,take_profit,0.6
2026-06-10,000430,2026-06-10 10:44:55,2026-06-10 10:57:03,35,5640,5690,197400,199150,take_profit,0.8865
2026-06-10,009420,2026-06-10 11:26:49,2026-06-10 11:30:21,4,49600,49900,198400,199600,take_profit,0.6048
2026-06-10,181710,2026-06-10 10:55:06,2026-06-10 11:51:35,4,40900,40600,163600,162400,force_exit_last_trace,-0.7335
2026-06-11,092200,2026-06-11 09:35:38,2026-06-11 09:51:38,19,9310,9380,176890,178220,take_profit,0.7519
2026-06-11,005090,2026-06-11 09:35:36,2026-06-11 09:57:07,3,49850,50600,149550,151800,take_profit,1.5045
2026-06-11,181710,2026-06-11 09:43:12,2026-06-11 10:05:26,4,39400,39750,157600,159000,take_profit,0.8883
2026-06-11,092200,2026-06-11 10:03:02,2026-06-11 10:48:34,19,9230,9320,175370,177080,take_profit,0.9751
2026-06-11,005090,2026-06-11 10:22:00,2026-06-11 10:55:12,3,49900,50400,149700,151200,take_profit,1.002
2026-06-11,005090,2026-06-11 11:01:23,2026-06-11 11:13:09,3,50000,50300,150000,150900,take_profit,0.6
2026-06-11,000370,2026-06-11 09:51:39,2026-06-11 12:03:46,30,6130,6190,183900,185700,take_profit,0.9788
2026-06-11,181710,2026-06-11 10:49:13,2026-06-11 14:59:56,4,39500,39100,158000,156400,force_exit_last_trace,-1.0127
2026-06-11,217590,2026-06-11 11:20:03,2026-06-11 14:59:59,7,24100,21800,168700,152600,force_exit_last_trace,-9.5436
2026-06-12,195870,2026-06-12 09:40:00,2026-06-12 09:43:21,2,80800,81600,161600,163200,take_profit,0.9901
2026-06-12,298050,2026-06-12 09:33:19,2026-06-12 10:50:23,1,202000,203500,202000,203500,take_profit,0.7426
2026-06-12,009970,2026-06-12 10:50:37,2026-06-12 10:54:22,1,188100,189500,188100,189500,take_profit,0.7443
2026-06-12,018670,2026-06-12 10:55:40,2026-06-12 11:05:18,1,223500,225000,223500,225000,take_profit,0.6711
2026-06-12,285130,2026-06-12 09:33:14,2026-06-12 11:22:37,5,43800,44250,219000,221250,take_profit,1.0274
2026-06-12,062040,2026-06-12 09:43:09,2026-06-12 11:24:07,1,229500,231500,229500,231500,take_profit,0.8715
2026-06-12,009970,2026-06-12 11:07:02,2026-06-12 11:39:46,1,188500,190400,188500,190400,take_profit,1.008
2026-06-12,001800,2026-06-12 09:52:28,2026-06-12 15:00:47,8,26800,26650,214400,213200,force_exit_time,-0.5597
2026-06-15,012750,2026-06-15 09:42:26,2026-06-15 10:08:32,2,79500,80200,159000,160400,take_profit,0.8805
2026-06-15,005090,2026-06-15 09:42:36,2026-06-15 14:31:43,4,55200,55600,220800,222400,take_profit,0.7246
2026-06-15,120110,2026-06-15 09:42:33,2026-06-15 14:58:52,3,75100,72300,225300,216900,force_exit_last_trace,-3.7284
2026-06-15,092200,2026-06-15 09:42:49,2026-06-15 14:58:52,24,9250,9010,222000,216240,force_exit_last_trace,-2.5946
2026-06-15,352820,2026-06-15 10:08:33,2026-06-15 14:58:55,1,220500,217500,220500,217500,force_exit_last_trace,-1.3605
2026-06-16,003720,2026-06-16 09:34:44,2026-06-16 13:37:08,25,8510,8780,212750,219500,take_profit,3.1727
2026-06-16,000430,2026-06-16 09:34:45,2026-06-16 14:49:39,44,4995,5060,219780,222640,take_profit,1.3013
2026-06-16,020150,2026-06-16 09:31:34,2026-06-16 15:00:11,3,55900,55900,167700,167700,force_exit_time,0.0
2026-06-16,011930,2026-06-16 09:31:56,2026-06-16 13:52:04,9,22600,21850,203400,196650,force_exit_last_trace,-3.3186
2026-06-17,111770,2026-06-17 09:34:03,2026-06-17 09:49:53,2,80000,80500,160000,161000,take_profit,0.625
2026-06-17,003000,2026-06-17 09:34:26,2026-06-17 10:02:22,45,4675,4725,210375,212625,take_profit,1.0695
2026-06-17,001530,2026-06-17 09:39:29,2026-06-17 10:04:04,9,23400,23800,210600,214200,take_profit,1.7094
2026-06-17,001120,2026-06-17 09:34:13,2026-06-17 10:04:12,5,40250,40550,201250,202750,take_profit,0.7453
2026-06-17,229640,2026-06-17 09:50:02,2026-06-17 10:08:17,3,63800,64800,191400,194400,take_profit,1.5674
2026-06-17,108320,2026-06-17 09:50:12,2026-06-17 10:08:26,4,48800,49100,195200,196400,take_profit,0.6148
2026-06-17,020150,2026-06-17 09:49:56,2026-06-17 10:10:15,3,55200,55600,165600,166800,take_profit,0.7246
2026-06-17,000210,2026-06-17 10:03:48,2026-06-17 10:51:36,3,54300,55000,162900,165000,take_profit,1.2891
2026-06-17,004800,2026-06-17 10:22:46,2026-06-17 11:00:04,1,200500,202000,200500,202000,take_profit,0.7481
2026-06-17,001530,2026-06-17 10:51:42,2026-06-17 11:42:59,9,23450,23650,211050,212850,take_profit,0.8529
2026-06-17,003000,2026-06-17 10:26:53,2026-06-17 12:42:09,45,4695,4725,211275,212625,take_profit,0.639
2026-06-17,195870,2026-06-17 10:04:25,2026-06-17 13:00:05,2,80500,82200,161000,164400,take_profit,2.1118
2026-06-17,001800,2026-06-17 09:43:47,2026-06-17 13:43:44,7,26850,27050,187950,189350,take_profit,0.7449
2026-06-17,000240,2026-06-17 09:34:08,2026-06-17 15:01:04,7,27200,25700,190400,179900,force_exit_time,-5.5147
2026-06-17,012750,2026-06-17 09:34:06,2026-06-17 15:01:05,2,77700,73700,155400,147400,force_exit_time,-5.148
2026-06-17,281820,2026-06-17 10:33:11,2026-06-17 15:01:08,2,94000,91300,188000,182600,force_exit_time,-2.8723
2026-06-17,001120,2026-06-17 10:08:14,2026-06-17 15:01:15,5,40350,39550,201750,197750,force_exit_time,-1.9827
2026-06-17,029780,2026-06-17 09:36:21,2026-06-17 15:01:16,4,51700,49550,206800,198200,force_exit_time,-4.1586
2026-06-17,081660,2026-06-17 11:03:59,2026-06-17 15:01:31,5,41250,40500,206250,202500,force_exit_time,-1.8182
