trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-10,2026-06-10T09:33:28,BUY-2026-06-10-028670-20260610T093328,028670,BUY,39,5110,199290,29.8935,0.0,29.8935,backtest_replay,,,,,,,39,199290,5110.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:36:55,BUY-2026-06-10-004990-20260610T093655,004990,BUY,7,25550,178850,26.8275,0.0,26.8275,backtest_replay,,,,,,,7,178850,25550.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T09:36:57,BUY-2026-06-10-181710-20260610T093657,181710,BUY,4,41150,164600,24.69,0.0,24.69,backtest_replay,,,,,,,4,164600,41150.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:17:49,BUY-2026-06-10-005090-20260610T101749,005090,BUY,3,52100,156300,23.445,0.0,23.445,backtest_replay,,,,,,,3,156300,52100.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:17:49,SELL-2026-06-10-004990-20260610T101749,004990,SELL,7,25700,179900,26.985,323.82,350.805,backtest_replay,,,,,,,7,178850,25550.0,7,179900,1050.0,672.3675,0.5871,0.3759,CLOSED
2026-06-10,2026-06-10T10:35:24,SELL-2026-06-10-005090-20260610T103524,005090,SELL,3,52600,157800,23.67,284.04,307.71000000000004,backtest_replay,,,,,,,3,156300,52100.0,3,157800,1500.0,1168.845,0.9597,0.7478,CLOSED
2026-06-10,2026-06-10T10:37:15,SELL-2026-06-10-181710-20260610T103715,181710,SELL,4,41450,165800,24.87,298.44,323.31,backtest_replay,,,,,,,4,164600,41150.0,4,165800,1200.0,852.0,0.7290,0.5176,CLOSED
2026-06-10,2026-06-10T10:43:03,BUY-2026-06-10-000430-20260610T104303,000430,BUY,35,5700,199500,29.925,0.0,29.925,backtest_replay,,,,,,,35,199500,5700.0,0,0,,,,,OPEN
2026-06-10,2026-06-10T10:55:06,BUY-2026-06-10-181710-20260610T105506,181710,BUY,4,40900,163600,24.54,0.0,24.54,backtest_replay,,,,,,,8,328200,41025.0,4,165800,1700.0,1327.46,1.0360,0.8089,OPEN
2026-06-10,2026-06-10T11:51:35,SELL-2026-06-10-181710-20260610T115135,181710,SELL,4,40600,162400,24.36,292.32,316.68,backtest_replay,,,,,,,8,328200,41025.0,8,328200,0.0,-689.22,0.0000,-0.2100,CLOSED
2026-06-10,2026-06-10T11:51:38,SELL-2026-06-10-028670-20260610T115138,028670,SELL,39,5080,198120,29.718,356.616,386.334,backtest_replay,,,,,,,39,199290,5110.0,39,198120,-1170.0,-1586.2275,-0.5871,-0.7959,CLOSED
2026-06-10,2026-06-10T11:51:39,SELL-2026-06-10-000430-20260610T115139,000430,SELL,35,5590,195650,29.3475,352.17,381.51750000000004,backtest_replay,,,,,,,35,199500,5700.0,35,195650,-3850.0,-4261.4425,-1.9298,-2.1361,CLOSED
2026-06-11,2026-06-11T09:32:12,BUY-2026-06-11-120110-20260611T093212,120110,BUY,2,68400,136800,20.52,0.0,20.52,backtest_replay,,,,,,,2,136800,68400.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:32:19,BUY-2026-06-11-000430-20260611T093219,000430,BUY,33,5490,181170,27.1755,0.0,27.1755,backtest_replay,,,,,,,33,181170,5490.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:35:36,BUY-2026-06-11-005090-20260611T093536,005090,BUY,3,49850,149550,22.4325,0.0,22.4325,backtest_replay,,,,,,,3,149550,49850.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:35:57,SELL-2026-06-11-120110-20260611T093557,120110,SELL,2,68800,137600,20.64,247.68,268.32,backtest_replay,,,,,,,2,136800,68400.0,2,137600,800.0,511.16,0.5848,0.3737,CLOSED
2026-06-11,2026-06-11T09:40:35,BUY-2026-06-11-499790-20260611T094035,499790,BUY,3,51500,154500,23.175,0.0,23.175,backtest_replay,,,,,,,3,154500,51500.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:43:42,SELL-2026-06-11-499790-20260611T094342,499790,SELL,3,51900,155700,23.355,280.26,303.615,backtest_replay,,,,,,,3,154500,51500.0,3,155700,1200.0,873.21,0.7767,0.5652,CLOSED
2026-06-11,2026-06-11T09:46:20,BUY-2026-06-11-181710-20260611T094620,181710,BUY,4,39500,158000,23.7,0.0,23.7,backtest_replay,,,,,,,4,158000,39500.0,0,0,,,,,OPEN
2026-06-11,2026-06-11T09:57:07,SELL-2026-06-11-005090-20260611T095707,005090,SELL,3,50600,151800,22.77,273.24,296.01,backtest_replay,,,,,,,3,149550,49850.0,3,151800,2250.0,1931.5575,1.5045,1.2916,CLOSED
2026-06-11,2026-06-11T09:57:52,BUY-2026-06-11-499790-20260611T095752,499790,BUY,3,50100,150300,22.545,0.0,22.545,backtest_replay,,,,,,,6,304800,50800.0,3,155700,3300.0,2950.665,2.1654,1.9361,OPEN
2026-06-11,2026-06-11T10:00:02,SELL-2026-06-11-499790-20260611T100002,499790,SELL,3,50500,151500,22.725,272.7,295.425,backtest_replay,,,,,,,6,304800,50800.0,6,307200,2400.0,1755.24,0.7874,0.5759,CLOSED
2026-06-11,2026-06-11T10:03:02,BUY-2026-06-11-092200-20260611T100302,092200,BUY,19,9230,175370,26.3055,0.0,26.3055,backtest_replay,,,,,,,19,175370,9230.0,0,0,,,,,OPEN
