session_date,ticker,entry_time,exit_time,entry_price,exit_price,exit_reason,pnl_percent
2026-06-10,064400,2026-06-10 09:34:59,2026-06-10 09:36:58,97300,97600,take_profit,0.3083
2026-06-10,005090,2026-06-10 09:31:42,2026-06-10 09:49:18,52800,51000,stop_loss,-3.4091
2026-06-10,000430,2026-06-10 09:49:19,2026-06-10 09:51:12,5890,5920,take_profit,0.5093
2026-06-10,161390,2026-06-10 09:38:33,2026-06-10 09:54:54,71700,72000,take_profit,0.4184
2026-06-10,000430,2026-06-10 09:54:55,2026-06-10 09:56:46,5850,5900,take_profit,0.8547
2026-06-10,192080,2026-06-10 09:51:12,2026-06-10 09:58:37,72000,72600,take_profit,0.8333
2026-06-10,081660,2026-06-10 09:31:39,2026-06-10 10:00:30,40200,40350,take_profit,0.3731
2026-06-10,092200,2026-06-10 09:56:46,2026-06-10 10:00:35,9790,9870,take_profit,0.8172
2026-06-10,181710,2026-06-10 10:00:32,2026-06-10 10:04:20,40350,40550,take_profit,0.4957
2026-06-10,066575,2026-06-10 10:06:12,2026-06-10 10:10:18,78100,78400,take_profit,0.3841
2026-06-10,004990,2026-06-10 09:31:38,2026-06-10 10:33:16,25700,25800,take_profit,0.3891
2026-06-10,078930,2026-06-10 09:58:37,2026-06-10 10:35:17,73200,73700,take_profit,0.6831
2026-06-10,489790,2026-06-10 10:33:22,2026-06-10 10:37:21,69200,69500,take_profit,0.4335
2026-06-10,078930,2026-06-10 10:39:09,2026-06-10 10:41:00,73800,74000,take_profit,0.271
2026-06-10,000430,2026-06-10 10:00:35,2026-06-10 10:44:55,5860,5640,stop_loss,-3.7543
2026-06-10,078930,2026-06-10 10:46:47,2026-06-10 10:50:55,73800,74100,take_profit,0.4065
2026-06-10,000430,2026-06-10 10:51:06,2026-06-10 10:57:03,5630,5690,take_profit,1.0657
2026-06-10,092200,2026-06-10 10:41:02,2026-06-10 11:07:44,9810,9490,stop_loss,-3.262
2026-06-10,066575,2026-06-10 11:09:37,2026-06-10 11:51:40,78600,79000,take_profit,0.5089
2026-06-10,028670,2026-06-10 09:33:28,2026-06-10 11:51:38,5110,5080,force_exit_last_trace,-0.5871
