session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-26,081660,2026-06-26 09:30:10,2026-06-26 09:54:10,11,38300,38900,421300,427900,take_profit,1.5666
2026-06-26,007070,2026-06-26 10:02:37,2026-06-26 11:16:09,19,22050,22250,418950,422750,take_profit,0.907
2026-06-26,000210,2026-06-26 09:30:10,2026-06-26 11:56:11,10,42800,40850,428000,408500,stop_loss,-4.5561
2026-06-26,009970,2026-06-26 09:33:50,2026-06-26 15:00:05,2,167900,163700,335800,327400,force_exit_time,-2.5015
2026-06-29,085620,2026-06-29 09:30:17,2026-06-29 09:33:58,19,20100,20300,381900,385700,take_profit,0.995
2026-06-29,003030,2026-06-29 09:30:17,2026-06-29 09:37:00,3,119100,120000,357300,360000,take_profit,0.7557
2026-06-29,005389,2026-06-29 09:30:17,2026-06-29 09:40:20,1,200000,201500,200000,201500,take_profit,0.75
2026-06-29,006110,2026-06-29 09:42:19,2026-06-29 10:09:58,9,39900,40350,359100,363150,take_profit,1.1278
2026-06-29,02826K,2026-06-29 09:42:19,2026-06-29 14:35:12,1,274500,279000,274500,279000,take_profit,1.6393
2026-06-30,180640,2026-06-30 09:30:19,2026-06-30 09:37:20,2,114800,116000,229600,232000,take_profit,1.0453
2026-06-30,009970,2026-06-30 09:30:19,2026-06-30 14:59:42,1,170900,164400,170900,164400,force_exit_last_trace,-3.8034
2026-06-30,006110,2026-06-30 09:30:19,2026-06-30 14:59:44,7,42050,41900,294350,293300,force_exit_last_trace,-0.3567
2026-07-01,000400,2026-07-01 09:30:23,2026-07-01 09:49:26,158,2085,2100,329430,331800,take_profit,0.7194
2026-07-01,005090,2026-07-01 09:52:25,2026-07-01 10:03:01,7,41850,42250,292950,295750,take_profit,0.9558
2026-07-01,005935,2026-07-01 10:12:16,2026-07-01 10:25:26,1,205500,207000,205500,207000,take_profit,0.7299
2026-07-01,005090,2026-07-01 10:40:26,2026-07-01 14:17:21,7,41800,42100,292600,294700,take_profit,0.7177
2026-07-02,071970,2026-07-02 09:30:23,2026-07-02 09:36:18,5,65400,66400,327000,332000,take_profit,1.5291
2026-07-02,014680,2026-07-02 09:30:23,2026-07-02 10:20:39,1,279000,283000,279000,283000,take_profit,1.4337
2026-07-02,483650,2026-07-02 10:25:48,2026-07-02 10:29:24,1,242000,244000,242000,244000,take_profit,0.8264
2026-07-03,499790,2026-07-03 09:30:24,2026-07-03 10:07:46,9,35700,36200,321300,325800,take_profit,1.4006
2026-07-03,071970,2026-07-03 10:37:11,2026-07-03 10:46:37,5,62500,63400,312500,317000,take_profit,1.44
2026-07-03,014680,2026-07-03 10:46:41,2026-07-03 11:05:53,1,259500,262000,259500,262000,take_profit,0.9634
2026-07-03,033240,2026-07-03 09:30:24,2026-07-03 11:08:50,13,25600,26250,332800,341250,take_profit,2.5391
2026-07-03,105630,2026-07-03 11:05:57,2026-07-03 11:11:32,38,8650,8730,328700,331740,take_profit,0.9249
2026-07-03,120110,2026-07-03 11:17:41,2026-07-03 11:57:52,5,58700,59200,293500,296000,take_profit,0.8518
2026-07-03,071970,2026-07-03 11:17:41,2026-07-03 15:00:09,5,66200,65000,331000,325000,force_exit_time,-1.8127
