session_date,ticker,entry_time,exit_time,quantity,entry_price,exit_price,buy_amount_krw,sell_amount_krw,exit_reason,pnl_percent
2026-06-25,000500,2026-06-25 09:54:01,2026-06-25 10:02:58,1,305000,306500,305000,306500,take_profit,0.4918
2026-06-25,204320,2026-06-25 10:03:18,2026-06-25 10:33:25,7,49750,49900,348250,349300,take_profit,0.3015
2026-06-25,010120,2026-06-25 10:34:32,2026-06-25 10:37:12,1,221500,222500,221500,222500,take_profit,0.4515
2026-06-25,005490,2026-06-25 10:37:13,2026-06-25 10:38:35,1,326000,327000,326000,327000,take_profit,0.3067
2026-06-25,009830,2026-06-25 10:38:42,2026-06-25 10:51:38,11,33700,34050,370700,374550,take_profit,1.0386
2026-06-25,096770,2026-06-25 10:52:50,2026-06-25 14:59:59,3,98800,95300,296400,285900,force_exit_last_trace,-3.5425
2026-06-26,373220,2026-06-26 09:30:13,2026-06-26 09:37:19,1,346500,348000,346500,348000,take_profit,0.4329
2026-06-26,192080,2026-06-26 09:37:19,2026-06-26 10:08:33,7,59500,60400,416500,422800,take_profit,1.5126
2026-06-26,009970,2026-06-26 10:08:33,2026-06-26 11:16:15,2,165400,167600,330800,335200,take_profit,1.3301
2026-06-26,000120,2026-06-26 10:08:33,2026-06-26 12:10:09,6,72100,70200,432600,421200,force_exit_last_trace,-2.6352
