trade_date,filled_at,broker_order_id,ticker,side,quantity,price,amount,estimated_fee,estimated_tax,estimated_total_cost,source,cash,account_value,adjusted_account_value,adjusted_pnl,loss_percent,kospi_change_percent,cum_buy_quantity,cum_buy_amount,avg_buy_price,cum_sell_quantity,cum_sell_amount,realized_pnl_before_costs,estimated_net_realized_pnl,realized_return_percent_before_costs,estimated_net_realized_return_percent,position_status
2026-06-25,2026-06-25T09:54:01,BUY-2026-06-25-000500-20260625T095401,000500,BUY,1,305000,305000,45.75,0.0,45.75,backtest_replay,,,,,,,1,305000,305000.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T10:02:58,SELL-2026-06-25-000500-20260625T100258,000500,SELL,1,306500,306500,45.975,551.7,597.6750000000001,backtest_replay,,,,,,,1,305000,305000.0,1,306500,1500.0,856.575,0.4918,0.2808,CLOSED
2026-06-25,2026-06-25T10:03:18,BUY-2026-06-25-204320-20260625T100318,204320,BUY,7,49750,348250,52.2375,0.0,52.2375,backtest_replay,,,,,,,7,348250,49750.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T10:33:25,SELL-2026-06-25-204320-20260625T103325,204320,SELL,7,49900,349300,52.395,628.74,681.135,backtest_replay,,,,,,,7,348250,49750.0,7,349300,1050.0,316.6275,0.3015,0.0909,CLOSED
2026-06-25,2026-06-25T10:34:32,BUY-2026-06-25-010120-20260625T103432,010120,BUY,1,221500,221500,33.225,0.0,33.225,backtest_replay,,,,,,,1,221500,221500.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T10:37:12,SELL-2026-06-25-010120-20260625T103712,010120,SELL,1,222500,222500,33.375,400.5,433.875,backtest_replay,,,,,,,1,221500,221500.0,1,222500,1000.0,532.9,0.4515,0.2406,CLOSED
2026-06-25,2026-06-25T10:37:13,BUY-2026-06-25-005490-20260625T103713,005490,BUY,1,326000,326000,48.9,0.0,48.9,backtest_replay,,,,,,,1,326000,326000.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T10:38:35,SELL-2026-06-25-005490-20260625T103835,005490,SELL,1,327000,327000,49.05,588.6,637.65,backtest_replay,,,,,,,1,326000,326000.0,1,327000,1000.0,313.45,0.3067,0.0962,CLOSED
2026-06-25,2026-06-25T10:38:42,BUY-2026-06-25-009830-20260625T103842,009830,BUY,11,33700,370700,55.605,0.0,55.605,backtest_replay,,,,,,,11,370700,33700.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T10:51:38,SELL-2026-06-25-009830-20260625T105138,009830,SELL,11,34050,374550,56.1825,674.19,730.3725000000001,backtest_replay,,,,,,,11,370700,33700.0,11,374550,3850.0,3064.0225,1.0386,0.8266,CLOSED
2026-06-25,2026-06-25T10:52:50,BUY-2026-06-25-096770-20260625T105250,096770,BUY,3,98800,296400,44.46,0.0,44.46,backtest_replay,,,,,,,3,296400,98800.0,0,0,,,,,OPEN
2026-06-25,2026-06-25T14:59:59,SELL-2026-06-25-096770-20260625T145959,096770,SELL,3,95300,285900,42.885,514.62,557.505,backtest_replay,,,,,,,3,296400,98800.0,3,285900,-10500.0,-11101.965,-3.5425,-3.7456,CLOSED
2026-06-26,2026-06-26T09:30:13,BUY-2026-06-26-373220-20260626T093013,373220,BUY,1,346500,346500,51.975,0.0,51.975,backtest_replay,,,,,,,1,346500,346500.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T09:37:19,BUY-2026-06-26-192080-20260626T093719,192080,BUY,7,59500,416500,62.475,0.0,62.475,backtest_replay,,,,,,,7,416500,59500.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T09:37:19,SELL-2026-06-26-373220-20260626T093719,373220,SELL,1,348000,348000,52.2,626.4,678.6,backtest_replay,,,,,,,1,346500,346500.0,1,348000,1500.0,769.425,0.4329,0.2221,CLOSED
2026-06-26,2026-06-26T10:08:33,BUY-2026-06-26-000120-20260626T100833,000120,BUY,6,72100,432600,64.89,0.0,64.89,backtest_replay,,,,,,,6,432600,72100.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T10:08:33,BUY-2026-06-26-009970-20260626T100833,009970,BUY,2,165400,330800,49.62,0.0,49.62,backtest_replay,,,,,,,2,330800,165400.0,0,0,,,,,OPEN
2026-06-26,2026-06-26T10:08:33,SELL-2026-06-26-192080-20260626T100833,192080,SELL,7,60400,422800,63.42,761.04,824.4599999999999,backtest_replay,,,,,,,7,416500,59500.0,7,422800,6300.0,5413.065,1.5126,1.2997,CLOSED
2026-06-26,2026-06-26T11:16:15,SELL-2026-06-26-009970-20260626T111615,009970,SELL,2,167600,335200,50.28,603.36,653.64,backtest_replay,,,,,,,2,330800,165400.0,2,335200,4400.0,3696.74,1.3301,1.1175,CLOSED
2026-06-26,2026-06-26T12:10:09,SELL-2026-06-26-000120-20260626T121009,000120,SELL,6,70200,421200,63.18,758.16,821.3399999999999,backtest_replay,,,,,,,6,432600,72100.0,6,421200,-11400.0,-12286.23,-2.6352,-2.8401,CLOSED
