broker_order_id,ticker,side,quantity,price,filled_at,source,raw_json
0127172,259960,BUY,1,236000,2026-07-13T09:31:39,eod_reconciliation,"{""rows"": [{""ord_no"": ""0127172"", ""stk_nm"": ""크래프톤"", ""io_tp_nm"": ""+매수"", ""ord_pric"": ""236000"", ""ord_qty"": ""1"", ""cntr_pric"": ""236000"", ""cntr_qty"": ""1"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""0"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""093139"", ""stk_cd"": ""259960"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}], ""latest_row"": {""ord_no"": ""0127172"", ""stk_nm"": ""크래프톤"", ""io_tp_nm"": ""+매수"", ""ord_pric"": ""236000"", ""ord_qty"": ""1"", ""cntr_pric"": ""236000"", ""cntr_qty"": ""1"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""0"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""093139"", ""stk_cd"": ""259960"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}}"
0127183,259960,SELL,1,237500,2026-07-13T09:31:40,eod_reconciliation,"{""rows"": [{""ord_no"": ""0127183"", ""stk_nm"": ""크래프톤"", ""io_tp_nm"": ""-매도"", ""ord_pric"": ""237500"", ""ord_qty"": ""1"", ""cntr_pric"": ""237500"", ""cntr_qty"": ""1"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""474"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""093140"", ""stk_cd"": ""259960"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}], ""latest_row"": {""ord_no"": ""0127183"", ""stk_nm"": ""크래프톤"", ""io_tp_nm"": ""-매도"", ""ord_pric"": ""237500"", ""ord_qty"": ""1"", ""cntr_pric"": ""237500"", ""cntr_qty"": ""1"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""474"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""093140"", ""stk_cd"": ""259960"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}}"
0127576,443060,BUY,1,198800,2026-07-13T09:31:51,eod_reconciliation,"{""rows"": [{""ord_no"": ""0127576"", ""stk_nm"": ""HD현대마린솔루션"", ""io_tp_nm"": ""+매수"", ""ord_pric"": ""198800"", ""ord_qty"": ""1"", ""cntr_pric"": ""198800"", ""cntr_qty"": ""1"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""20"", ""tdy_trde_tax"": ""0"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""093151"", ""stk_cd"": ""443060"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}], ""latest_row"": {""ord_no"": ""0127576"", ""stk_nm"": ""HD현대마린솔루션"", ""io_tp_nm"": ""+매수"", ""ord_pric"": ""198800"", ""ord_qty"": ""1"", ""cntr_pric"": ""198800"", ""cntr_qty"": ""1"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""20"", ""tdy_trde_tax"": ""0"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""093151"", ""stk_cd"": ""443060"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}}"
0127588,443060,SELL,1,200000,2026-07-13T09:31:51,eod_reconciliation,"{""rows"": [{""ord_no"": ""0127588"", ""stk_nm"": ""HD현대마린솔루션"", ""io_tp_nm"": ""-매도"", ""ord_pric"": ""200000"", ""ord_qty"": ""1"", ""cntr_pric"": ""200000"", ""cntr_qty"": ""1"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""400"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""093151"", ""stk_cd"": ""443060"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}], ""latest_row"": {""ord_no"": ""0127588"", ""stk_nm"": ""HD현대마린솔루션"", ""io_tp_nm"": ""-매도"", ""ord_pric"": ""200000"", ""ord_qty"": ""1"", ""cntr_pric"": ""200000"", ""cntr_qty"": ""1"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""400"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""093151"", ""stk_cd"": ""443060"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}}"
0160385,010820,BUY,43,6290,2026-07-13T09:50:18,eod_reconciliation,"{""rows"": [{""ord_no"": ""0160385"", ""stk_nm"": ""퍼스텍"", ""io_tp_nm"": ""+매수"", ""ord_pric"": ""6290"", ""ord_qty"": ""43"", ""cntr_pric"": ""6290"", ""cntr_qty"": ""43"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""40"", ""tdy_trde_tax"": ""0"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""095018"", ""stk_cd"": ""010820"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}], ""latest_row"": {""ord_no"": ""0160385"", ""stk_nm"": ""퍼스텍"", ""io_tp_nm"": ""+매수"", ""ord_pric"": ""6290"", ""ord_qty"": ""43"", ""cntr_pric"": ""6290"", ""cntr_qty"": ""43"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""40"", ""tdy_trde_tax"": ""0"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""095018"", ""stk_cd"": ""010820"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}}"
0234586,010820,SELL,43,5990,2026-07-13T10:50:56,eod_reconciliation,"{""rows"": [{""ord_no"": ""0234586"", ""stk_nm"": ""퍼스텍"", ""io_tp_nm"": ""-매도"", ""ord_pric"": ""5990"", ""ord_qty"": ""43"", ""cntr_pric"": ""5990"", ""cntr_qty"": ""43"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""514"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""105056"", ""stk_cd"": ""010820"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}], ""latest_row"": {""ord_no"": ""0234586"", ""stk_nm"": ""퍼스텍"", ""io_tp_nm"": ""-매도"", ""ord_pric"": ""5990"", ""ord_qty"": ""43"", ""cntr_pric"": ""5990"", ""cntr_qty"": ""43"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""514"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""105056"", ""stk_cd"": ""010820"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}}"
0237889,336260,BUY,5,46200,2026-07-13T10:53:37,eod_reconciliation,"{""rows"": [{""ord_no"": ""0237889"", ""stk_nm"": ""두산퓨얼셀"", ""io_tp_nm"": ""+매수"", ""ord_pric"": ""46250"", ""ord_qty"": ""5"", ""cntr_pric"": ""46200"", ""cntr_qty"": ""5"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""0"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""105337"", ""stk_cd"": ""336260"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}], ""latest_row"": {""ord_no"": ""0237889"", ""stk_nm"": ""두산퓨얼셀"", ""io_tp_nm"": ""+매수"", ""ord_pric"": ""46250"", ""ord_qty"": ""5"", ""cntr_pric"": ""46200"", ""cntr_qty"": ""5"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""0"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""105337"", ""stk_cd"": ""336260"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}}"
0238064,010820,BUY,45,6000,2026-07-13T10:53:49,eod_reconciliation,"{""rows"": [{""ord_no"": ""0238064"", ""stk_nm"": ""퍼스텍"", ""io_tp_nm"": ""+매수"", ""ord_pric"": ""6000"", ""ord_qty"": ""45"", ""cntr_pric"": ""6000"", ""cntr_qty"": ""45"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""40"", ""tdy_trde_tax"": ""0"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""105349"", ""stk_cd"": ""010820"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}], ""latest_row"": {""ord_no"": ""0238064"", ""stk_nm"": ""퍼스텍"", ""io_tp_nm"": ""+매수"", ""ord_pric"": ""6000"", ""ord_qty"": ""45"", ""cntr_pric"": ""6000"", ""cntr_qty"": ""45"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""40"", ""tdy_trde_tax"": ""0"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""105349"", ""stk_cd"": ""010820"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}}"
0341962,010820,SELL,45,5740,2026-07-13T13:10:19,eod_reconciliation,"{""rows"": [{""ord_no"": ""0341962"", ""stk_nm"": ""퍼스텍"", ""io_tp_nm"": ""-매도"", ""ord_pric"": ""5740"", ""ord_qty"": ""45"", ""cntr_pric"": ""5740"", ""cntr_qty"": ""45"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""516"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""131019"", ""stk_cd"": ""010820"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}], ""latest_row"": {""ord_no"": ""0341962"", ""stk_nm"": ""퍼스텍"", ""io_tp_nm"": ""-매도"", ""ord_pric"": ""5740"", ""ord_qty"": ""45"", ""cntr_pric"": ""5740"", ""cntr_qty"": ""45"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""516"", ""ord_stt"": ""체결"", ""trde_tp"": ""보통"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""131019"", ""stk_cd"": ""010820"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}}"
0417709,336260,SELL,5,45700,2026-07-13T15:01:41,eod_reconciliation,"{""rows"": [{""ord_no"": ""0417709"", ""stk_nm"": ""두산퓨얼셀"", ""io_tp_nm"": ""-매도"", ""ord_pric"": ""0"", ""ord_qty"": ""5"", ""cntr_pric"": ""45700"", ""cntr_qty"": ""5"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""456"", ""ord_stt"": ""체결"", ""trde_tp"": ""시장가"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""150141"", ""stk_cd"": ""336260"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}], ""latest_row"": {""ord_no"": ""0417709"", ""stk_nm"": ""두산퓨얼셀"", ""io_tp_nm"": ""-매도"", ""ord_pric"": ""0"", ""ord_qty"": ""5"", ""cntr_pric"": ""45700"", ""cntr_qty"": ""5"", ""oso_qty"": ""0"", ""tdy_trde_cmsn"": ""30"", ""tdy_trde_tax"": ""456"", ""ord_stt"": ""체결"", ""trde_tp"": ""시장가"", ""orig_ord_no"": ""0000000"", ""ord_tm"": ""150141"", ""stk_cd"": ""336260"", ""stex_tp"": ""1"", ""stex_tp_txt"": ""KRX"", ""sor_yn"": ""N"", ""stop_pric"": ""0""}}"
