broker_order_id,ticker,side,quantity,price,status,raw_json
0127172,259960,BUY,1,236000,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0127172"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0127183,259960,SELL,1,237500,매도주문이 완료되었습니다.,"{""ord_no"": ""0127183"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다."", ""planned_entry_price"": 236000, ""planned_expect_price"": 238000, ""planned_target_price"": 237500, ""planned_profit_tick_distance"": 4, ""planned_stop_loss_tick_distance"": 0, ""planned_stop_loss_tick_multiplier"": 0.0, ""planned_stop_loss_price"": 0}"
0127576,443060,BUY,1,198800,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0127576"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0127588,443060,SELL,1,200000,매도주문이 완료되었습니다.,"{""ord_no"": ""0127588"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다."", ""planned_entry_price"": 198800, ""planned_expect_price"": 200500, ""planned_target_price"": 200000, ""planned_profit_tick_distance"": 4, ""planned_stop_loss_tick_distance"": 0, ""planned_stop_loss_tick_multiplier"": 0.0, ""planned_stop_loss_price"": 0}"
0160385,010820,BUY,43,6290,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0160385"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0160395,010820,SELL,43,6340,매도주문이 완료되었습니다.,"{""ord_no"": ""0160395"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다."", ""planned_entry_price"": 6290, ""planned_expect_price"": 6350, ""planned_target_price"": 6340, ""planned_profit_tick_distance"": 6, ""planned_stop_loss_tick_distance"": 0, ""planned_stop_loss_tick_multiplier"": 0.0, ""planned_stop_loss_price"": 0}"
0234586,010820,SELL,43,5990,매도주문이 완료되었습니다.,"{""ord_no"": ""0234586"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0237889,336260,BUY,5,46250,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0237889"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0237897,336260,SELL,5,46800,매도주문이 완료되었습니다.,"{""ord_no"": ""0237897"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다."", ""planned_entry_price"": 46200, ""planned_expect_price"": 46850, ""planned_target_price"": 46800, ""planned_profit_tick_distance"": 13, ""planned_stop_loss_tick_distance"": 0, ""planned_stop_loss_tick_multiplier"": 0.0, ""planned_stop_loss_price"": 0}"
0238064,010820,BUY,45,6000,KRX 매수주문이 완료되었습니다.,"{""ord_no"": ""0238064"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""KRX 매수주문이 완료되었습니다.""}"
0238077,010820,SELL,45,6050,매도주문이 완료되었습니다.,"{""ord_no"": ""0238077"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다."", ""planned_entry_price"": 6000, ""planned_expect_price"": 6060, ""planned_target_price"": 6050, ""planned_profit_tick_distance"": 6, ""planned_stop_loss_tick_distance"": 0, ""planned_stop_loss_tick_multiplier"": 0.0, ""planned_stop_loss_price"": 0}"
0341962,010820,SELL,45,5740,매도주문이 완료되었습니다.,"{""ord_no"": ""0341962"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
0417709,336260,SELL,5,0,매도주문이 완료되었습니다.,"{""ord_no"": ""0417709"", ""dmst_stex_tp"": ""KRX"", ""return_code"": 0, ""return_msg"": ""매도주문이 완료되었습니다.""}"
